,mean_rank,weight
diffuse large b-cell lymphoma activated b-cell type,483.0,1.0
childhood acute myeloid leukemia,483.5,2.0
cecum adenocarcinoma,484.5,18.0
pericardial effusion,485.0,8.0
adrenal cortex carcinoma,491.0,1.0
colon carcinoma,503.0,19.0
papillary lung adenocarcinoma,503.0,3.0
biphasic synovial sarcoma,504.0,1.0
brachialis muscle,508.0,3.0
paragastric lymph node,511.5,2.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,515.0,1.0
askin tumor,516.5,2.0
skin squamous cell carcinoma,517.0,1.0
pancreatic ductal adenocarcinoma,522.0,39.0
signet ring cell gastric adenocarcinoma,530.0,9.0
left supraclavicular lymph node,534.0,4.0
cutaneous t-cell non-hodgkin lymphoma,535.0,2.0
skin,535.0,3.0
uterine corpus sarcoma,536.0,3.0
mandible,541.0,1.0
cervical squamous cell carcinoma,547.0,1.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",551.0,2.0
familial adenomatous polyposis,553.0,1.0
childhood t lymphoblastic lymphoma,555.0,2.0
benign prostatic hyperplasia,557.0,1.0
b-cell prolymphocytic leukemia,563.0,2.0
adult t acute lymphoblastic leukemia,567.0,5.0
fibrosarcoma,570.0,5.0
"chronic myelogenous leukemia, bcr-abl1 positive",574.5,16.0
head and neck squamous cell carcinoma,576.0,9.0
epstein-barr virus-related burkitt lymphoma,585.0,10.0
hilar cholangiocarcinoma,591.0,1.0
human papillomavirus-related cervical squamous cell carcinoma,592.5,8.0
"chronic eosinophilic leukemia, not otherwise specified",596.0,1.0
obturator lymph node,600.0,3.0
barrett adenocarcinoma,602.0,3.0
vulvar squamous cell carcinoma,608.0,3.0
mediastinal (thymic) large b-cell lymphoma,612.0,1.0
buccal mucosa squamous cell carcinoma,615.5,2.0
parotid gland mucoepidermoid carcinoma,619.0,1.0
diffuse large b-cell lymphoma germinal center b-cell type,620.0,8.0
burkitt lymphoma,621.0,8.0
peritoneal effusion,627.0,6.0
mycosis fungoides and sezary syndrome,628.0,2.0
childhood acute monocytic leukemia,642.5,2.0
esophageal adenocarcinoma,643.0,9.0
undifferentiated pleomorphic sarcoma,646.0,4.0
b acute lymphoblastic leukemia,648.0,5.0
human papillomavirus-related endocervical adenocarcinoma,655.0,4.0
cystic fibrosis,668.0,2.0
pyriform fossa squamous cell carcinoma,668.0,1.0
hairy cell leukemia,672.0,3.0
adult acute myeloid leukemia,677.0,22.0
oral dysplasia,684.0,1.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),688.5,4.0
vulvar carcinoma,693.0,1.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,702.0,3.0
cholangiocarcinoma,722.5,2.0
diffuse large b-cell lymphoma,723.0,20.0
childhood b acute lymphoblastic leukemia,740.0,9.0
lymphoblastic lymphoma,743.0,1.0
uterine corpus leiomyosarcoma,754.0,3.0
hereditary spherocytosis,758.0,1.0
primary effusion lymphoma,759.0,3.0
squamous cell carcinoma,760.0,1.0
ovary,763.0,1.0
floor of mouth squamous cell carcinoma,766.0,1.0
cervical carcinoma,768.0,2.0
pleural malignant mesothelioma,775.0,5.0
bone,781.0,1.0
anaplastic astrocytoma,819.0,5.0
splenic lymphoma with circulating villous lymphocytes,827.0,1.0
adult b acute lymphoblastic leukemia,835.0,3.0
left cervical lymph node,850.0,1.0
thyroid gland papillary carcinoma,850.0,1.0
follicular lymphoma,905.0,2.0
epithelioid sarcoma,906.0,1.0
vulvar melanoma,932.0,1.0
meninges,954.0,1.0
acute myelomonocytic leukemia,954.0,1.0
