hgnc_id	hugo	chrom	accession	entrez	ensembl	refseq	uniprot
28394	ABHD17AP1	1q21.2		728917	ENSG00000198658	NG_011738	
34041	ABHD17AP3	1q41		648359	ENSG00000250536	XR_041784	
34042	ABHD17AP4	22q11.21		729495	ENSG00000229107		
34043	ABHD17AP5	22q11.22		91219	ENSG00000263366		
34044	ABHD17AP6	17p11.2		644988	ENSG00000226981		
38508	ABHD17AP7	16p11.2		100133212	ENSG00000260864		
38509	ABHD17AP8	16p11.2		647144	ENSG00000260540		
38510	ABHD17AP9	16p11.2		100132251	ENSG00000261536		
24278	ABHD17B	9q21.13	AF151825	51104	ENSG00000107362	NM_016014	Q5VST6
26925	ABHD17C	15q25.1		58489	ENSG00000136379	NM_021214	Q6PCB6
26111	ABHD18	4q28.2	AK024759	80167	ENSG00000164074	NM_001039717	Q0P651
11320	ABI1	10p12.1	U87166	10006	ENSG00000136754	NM_005470	Q8IZP0
20035	ABI1P1	14q22.3		326268	ENSG00000271484		
24011	ABI2	2q33.2	AF260261	10152	ENSG00000138443	NM_005759	Q9NYB9
29859	ABI3	17q21.32	AB037886	51225	ENSG00000108798	NM_016428	Q9P2A4
17265	ABI3BP	3q12.2	AB056106	25890	ENSG00000154175		Q7Z7G0
76	ABL1	9q34.12	M14752	25	ENSG00000097007	NM_007313	P00519
77	ABL2	1q25.2	M14904	27	ENSG00000143322	NM_005158	P42684
78	ABLIM1	10q25.3	AF005654	3983	ENSG00000099204		O14639
19195	ABLIM2	4p16.1	AB058711	84448	ENSG00000163995	NM_001130083	Q6H8Q1
29132	ABLIM3	5q32	AB020650	22885	ENSG00000173210	NM_014945	O94929
79	ABO	9q34.2	AF134415	28	ENSG00000175164	NM_020469	P16442
81	ABR	17p13.3	L19704	29	ENSG00000159842		Q12979
30655	ABRA	8q23.1	AF503617	137735	ENSG00000174429	NM_139166	Q8N0Z2
21230	ABRACL	6q24.1	BC014953	58527	ENSG00000146386	NM_021243	Q9P1F3
25829	ABRAXAS1	4q21.23	AK023676	84142	ENSG00000163322	NM_139076	Q6UWZ7
28975	ABRAXAS2	10q26.13	D63877	23172	ENSG00000165660	NM_032182	Q15018
17369	ABT1	6p22.2	AB027258	29777	ENSG00000146109		Q9ULW3
39557	ABT1P1	4q23		100420695	ENSG00000250496	NG_025142	
18275	ABTB1	3q21.3	AB053324	80325	ENSG00000114626	NM_172027	Q969K4
23842	ABTB2	11p13	AK056863	25841	ENSG00000166016	NM_145804	Q8N961
82	ACAA1	3p22.2	X14813	30	ENSG00000060971	NM_001607	P09110
83	ACAA2	18q21.1	D16294	10449	ENSG00000167315	NM_006111	P42765
84	ACACA	17q12	U19822	31	ENSG00000278540	NM_198836	Q13085
85	ACACB	12q24.11	U89344	32	ENSG00000076555	NM_001093	O00763
87	ACAD8	11q25	AF126245	27034	ENSG00000151498	NM_014384	Q9UKU7
21497	ACAD9	3q21.3	AF078854	28976	ENSG00000177646	NM_014049	Q9H845
21597	ACAD10	12q24.12	AY323912	80724	ENSG00000111271	NM_025247	Q6JQN1
30211	ACAD11	3q22.1	BC019607	84129	ENSG00000240303	NM_032169	Q709F0
88	ACADL	2q34	M74096	33	ENSG00000115361	NM_001608	P28330
89	ACADM	1p31.1	M16827	34	ENSG00000117054		P11310
90	ACADS	12q24.31	M26393	35	ENSG00000122971	NM_000017	P16219
91	ACADSB	10q26.13	U12778	36	ENSG00000196177	NM_001609	P45954
92	ACADVL	17p13.1	BC012912	37	ENSG00000072778	NM_000018	P49748
319	ACAN	15q26.1	M55172	176	ENSG00000157766	NM_001135	P16112
16467	ACAP1	17p13.1	D30758	9744	ENSG00000072818	NM_014716	Q15027
16469	ACAP2	3q29		23527	ENSG00000114331	NM_012287	Q15057
41426	ACAP2-IT1	3q29			ENSG00000229325		
16754	ACAP3	1p36.33	AF411981	116983	ENSG00000131584	NM_030649	Q96P50
93	ACAT1	11q22.3	D90228	38	ENSG00000075239	NM_000019	P24752
94	ACAT2	6q25.3	AF356877	39	ENSG00000120437	NM_005891	Q9BWD1
15453	ACBD3	1q42.12	AB043587	64746	ENSG00000182827	NM_022735	Q9H3P7
40701	ACBD3-AS1	1q42.12	AW511419	107985353	ENSG00000234478	NR_146443	
23337	ACBD4	17q21.31	BC029164	79777	ENSG00000181513	NM_024722	Q8NC06
23338	ACBD5	10p12.1	AF505653	91452	ENSG00000107897	NM_145698	Q5T8D3
23339	ACBD6	1q25.2-q25.3	BC006505	84320	ENSG00000230124	NM_032360	Q9BR61
17715	ACBD7	10p13	AK095538	414149	ENSG00000176244		Q8N6N7
23989	ACCS	11p11.2	AY026508	84680	ENSG00000110455	NM_032592	Q96QU6
34391	ACCSL	11p11.2		390110	ENSG00000205126	NM_001031854	Q4AC99
25070	ACD	16q22.1	AF070535	65057	ENSG00000102977	NM_022914	Q96AP0
2707	ACE	17q23.3	J04144	1636	ENSG00000159640	NM_000789	P12821
13557	ACE2	Xp22.2	AF291820	59272	ENSG00000130234		Q9BYF1
44365	ACE3P	17q23.3		100129123	ENSG00000224353		
18356	ACER1	19p13.3	AF347024	125981	ENSG00000167769	NM_133492	Q8TDN7
23675	ACER2	9p22.1	AK123581	340485	ENSG00000177076	NM_001010887	Q5QJU3
16066	ACER3	11q13.5	AF214454	55331	ENSG00000078124	NM_018367	Q9NUN7
108	ACHE	7q22.1		43	ENSG00000087085	NM_015831	P22303
17066	ACIN1	14q11.2	AB014570	22985	ENSG00000100813	NM_014977	Q9UKV3
4035	ACKR1	1q23.2	U01839	2532	ENSG00000213088	NM_002036	Q16570
1565	ACKR2	3p22.1	U94888	1238	ENSG00000144648	NM_001296	O00590
23692	ACKR3	2q37.3	BC008459	57007	ENSG00000144476	NM_020311	P25106
1611	ACKR4	3q22.1	AF110640	51554	ENSG00000129048	NM_016557	Q9NPB9
114	ACLS	12p13.3-p11.2		46			
115	ACLY	17q21.2	X64330	47	ENSG00000131473	NM_001096	P53396
19288	ACMSD	2q21.3	AB071418	130013	ENSG00000153086		Q8TDX5
117	ACO1	9p21.1	M58510	48	ENSG00000122729	NM_002197	P21399
118	ACO2	22q13.2	AH006514	50	ENSG00000100412	NM_001098	Q99798
33904	ACOD1	13q22.3		730249	ENSG00000102794	NM_001258406	A6NK06
33128	ACOT1	14q24.3	DQ082754	641371	ENSG00000184227	NM_001037161	Q86TX2
18431	ACOT2	14q24.3	AY005822, AK001939	10965	ENSG00000119673	NM_006821	P49753
19748	ACOT4	14q24.3	BC031799	122970	ENSG00000177465	NM_152331	Q8N9L9
33159	ACOT6	14q24.3	DQ082756, BF109853	641372	ENSG00000205669	NM_001037162	Q3I5F7
24157	ACOT7	1p36.31	AB074417	11332	ENSG00000097021	NM_007274	O00154
15919	ACOT8	20q13.12	AF014404	10005	ENSG00000101473	NM_183386	O14734
17152	ACOT9	Xp22.11	AF132950	23597	ENSG00000123130	NM_012332	Q9Y305
18156	ACOT11	1p32.3	AB014607	26027	ENSG00000162390	NM_015547	Q8WXI4
24436	ACOT12	5q14.1	AB078619	134526	ENSG00000172497	NM_130767	Q8WYK0
20999	ACOT13	6p22.3	AF220186	55856	ENSG00000112304	NM_018473	Q9NPJ3
119	ACOX1	17q25.1	U03254	51	ENSG00000161533		Q15067
120	ACOX2	3p14.3	X95190	8309	ENSG00000168306	NM_003500	Q99424
121	ACOX3	4p16.1	Y11411	8310	ENSG00000087008		O15254
25621	ACOXL	2q13		55289	ENSG00000153093	NM_018308	Q9NUZ1
41112	ACOXL-AS1	2q13		400997	ENSG00000204581	NR_122074	
122	ACP1	2p25.3	M87546	52	ENSG00000143727	NM_004300	P24666
123	ACP2	11p11.2	X15525	53	ENSG00000134575	NM_001610	P11117
14376	ACP4	19q13.33	AF321918	93650	ENSG00000142513	NM_033068	Q9BZG2
124	ACP5	19p13.2	X14618	54	ENSG00000102575		P13686
29609	ACP6	1q21.2	BC009965	51205	ENSG00000162836	NM_016361	Q9NPH0
33781	ACP7	19q13.2		390928	ENSG00000183760	NM_001004318	Q6ZNF0
125	ACPP	3q22.1		55	ENSG00000014257	NM_001099	P15309
126	ACR	22q13.33	CR456366	49	ENSG00000100312	NM_001097	P10323
17195	ACRBP	12p13.31	AB051833	84519	ENSG00000111644	NM_032489	Q8NEB7
127	ACRV1	11q24.2	AK223335	56	ENSG00000134940	NM_001612	P26436
29567	ACSBG1	15q25.1	AB014531	23205	ENSG00000103740	NM_015162	Q96GR2
24174	ACSBG2	19p13.3		81616	ENSG00000130377	NM_030924	Q5FVE4
26101	ACSF2	17q21.33	AK024573, BC012053	80221	ENSG00000167107	NM_025149	Q96CM8
27288	ACSF3	16q24.3	AK075499	197322	ENSG00000176715	NM_174917	Q4G176
3569	ACSL1	4q35.1	BC026290	2180	ENSG00000151726	NM_001995	P33121
3570	ACSL3	2q36.1	D89053	2181	ENSG00000123983	NM_004457	O95573
3571	ACSL4	Xq23	BC034959	2182	ENSG00000068366	NM_004458	O60488
16526	ACSL5	10q25.2	AB033899	51703	ENSG00000197142	NM_016234	Q9ULC5
16496	ACSL6	5q31.1	AB020644	23305	ENSG00000164398	NM_015256	Q9UKU0
18049	ACSM1	16p12.3	AB059429	116285	ENSG00000166743	NM_052956	Q08AH1
32017	ACSM2A	16p12.3	AK091878, AK096039	123876	ENSG00000183747	NM_001010845	Q08AH3
30931	ACSM2B	16p12.3	AY160217	348158	ENSG00000066813	NM_182617	Q68CK6
10522	ACSM3	16p12.3	D16350	6296	ENSG00000005187	NM_005622	Q53FZ2
32016	ACSM4	12p13.31		341392	ENSG00000215009	NM_001080454	P0C7M7
26060	ACSM5	16p12.3		54988	ENSG00000183549	NM_017888	Q6NUN0
51295	ACSM5P1	16p12.3		100421779	ENSG00000260762	NG_026352	
31665	ACSM6	10q23.33		142827	ENSG00000173124	NM_207321	Q6P461
16091	ACSS1	20p11.21		84532	ENSG00000154930	NM_032501	Q9NUB1
15814	ACSS2	20q11.22	AF263614	55902	ENSG00000131069	NM_018677	Q9NR19
24723	ACSS3	12q21.31		79611	ENSG00000111058	NM_024560	Q9H6R3
129	ACTA1	1q42.13	J00068	58	ENSG00000143632	NM_001100	P68133
130	ACTA2	10q23.31	X13839	59	ENSG00000107796	NM_001613	P62736
45169	ACTA2-AS1	10q23.31	AK093340, AX748062	100132116	ENSG00000180139		
132	ACTB	7p22.1	M28424	60	ENSG00000075624	NM_001101	P60709
17780	ACTBL2	5q11.2		345651	ENSG00000169067	NM_001017992	Q562R1
134	ACTBP1	Xp11.3		643309	ENSG00000229145	NG_022596	
135	ACTBP2	5q14.1		62	ENSG00000213763	NG_003019	
136	ACTBP3	18q21.33		63			
137	ACTBP4	5q23.3		64			
139	ACTBP6	8q21.2		66	ENSG00000203413	NG_008793	
140	ACTBP7	15q15.3	V00479	67	ENSG00000185607		
141	ACTBP8	6q15	V00481	68	ENSG00000220267	NG_000840	
142	ACTBP9	18q21.33	D50604	69	ENSG00000266920	NG_003162	
31819	ACTBP10	14q11.2		446207			
33971	ACTBP11	1q41		644220	ENSG00000188460		
150	ACTBP12	1p22.1		100462767	ENSG00000233125	NG_026958	
44626	ACTBP13	3p21.31		389120	ENSG00000234667		
45086	ACTBP14	10q22.1		389976	ENSG00000229001	NG_022182	
143	ACTC1	15q14	BC009978	70	ENSG00000159251	NM_005159	P68032
144	ACTG1	17q25.3		71	ENSG00000184009	NM_001614	P63261
146	ACTG1P1	3q23	D50658	73	ENSG00000178631	NG_001068	
147	ACTG1P2	Yq11.222		74	ENSG00000229129	NG_004636	
148	ACTG1P3	20p13	AF196978	75	ENSG00000215388	NG_000842	
149	ACTG1P4	1p21.1		648740	ENSG00000236085		
151	ACTG1P6	1p21		78			
152	ACTG1P7	1p21		79			
153	ACTG1P8	1p21		80			
154	ACTG1P9	6p12.3	D50659	82	ENSG00000229349	NG_001069	
155	ACTG1P10	Xp11.22	AL139396	83	ENSG00000231340	NG_003039	
37651	ACTG1P11	Yq11.222		414754	ENSG00000229465	NG_004636	
44496	ACTG1P12	3p25.2		100418921	ENSG00000226642		
49058	ACTG1P13	3q12.1		100418920	ENSG00000241305		
49751	ACTG1P14	9p24.1		100418910	ENSG00000230581	NG_023870	
51495	ACTG1P15	15q14		100418951	ENSG00000259904		
51496	ACTG1P16	16q12.1		100418960	ENSG00000260298		
51497	ACTG1P17	15q25.2		283693	ENSG00000259315		
51498	ACTG1P18	6q16.3		100418924	ENSG00000218475		
51499	ACTG1P19	9q31.1		644160	ENSG00000237999		
51500	ACTG1P20	1p36.11		644961	ENSG00000241547		
51501	ACTG1P21	1p31.1		100131291	ENSG00000232672		
51502	ACTG1P22	2p16.1		100131953	ENSG00000271615		
51503	ACTG1P23	3q26.31		442097	ENSG00000230362		
49661	ACTG1P24	17p11.2		441783	ENSG00000226359		
145	ACTG2	2p13.1		72	ENSG00000163017	NM_001615	P63267
24124	ACTL6A	3q26.33	AK098691	86	ENSG00000136518	NM_004301	O96019
160	ACTL6B	7q22.1	AB015906	51412	ENSG00000077080	NM_016188	O94805
161	ACTL7A	9q31.3	BC014610	10881	ENSG00000187003	NM_006687	Q9Y615
162	ACTL7B	9q31.3	BC033789	10880	ENSG00000148156	NM_006686	Q9Y614
24018	ACTL8	1p36.13	AK057339	81569	ENSG00000117148	NM_030812	Q9H568
28494	ACTL9	19p13.2		284382	ENSG00000181786	NM_178525	Q8TC94
16127	ACTL10	20q11.22	AL121906	170487	ENSG00000182584		Q5JWF8
163	ACTN1	14q24.1	M95178	87	ENSG00000072110	NM_001102	P12814
20131	ACTN1-AS1	14q24.1	DB029126, AI147349	161159	ENSG00000259062		
164	ACTN2	1q43	BC047901	88	ENSG00000077522	NM_001103	P35609
165	ACTN3	11q13.2	M86407	89	ENSG00000248746	NM_001104	Q08043
166	ACTN4	19q13.2	D89980	81	ENSG00000130402		O43707
44028	ACTN4P1	4q26		344978	ENSG00000213493		
44032	ACTN4P2	1p34.3		391026	ENSG00000214141		
51621	ACTP1	2q12.3			ENSG00000229890		
167	ACTR1A	10q24.32	X82206	10121	ENSG00000138107		P61163
168	ACTR1B	2q11.2	X82207	10120	ENSG00000115073	NM_005735	P42025
169	ACTR2	2p14	AF006082	10097	ENSG00000138071	NM_001005386	P61160
170	ACTR3	2q14.1	AF006083	10096	ENSG00000115091	NM_005721	P61158
17256	ACTR3B	7q36.1-q36.2		57180	ENSG00000133627	NM_020445	Q9P1U1
37724	ACTR3BP1	Yq11.21		643050	ENSG00000270242	NG_005799	
38677	ACTR3BP2	2p11.1		440888	ENSG00000226481		
38678	ACTR3BP3	16p11.2		647156	ENSG00000260327		
38681	ACTR3BP4	4q24		777774	ENSG00000249283		
38682	ACTR3BP5	10p11.1		399746	ENSG00000227264		
38683	ACTR3BP6	22q11.1		644773	ENSG00000226444		
37282	ACTR3C	7q36.1		653857	ENSG00000106526		Q9C0K3
31820	ACTR3P1	14q11.2		100288580			
38676	ACTR3P2	Xq13.1		100129013	ENSG00000232267		
38679	ACTR3P3	3q12.2		100128020	ENSG00000242573		
14671	ACTR5	20q11.23	AK022847	79913	ENSG00000101442	NM_024855	Q9H9F9
24025	ACTR6	12q23.1	AF212251	64431	ENSG00000075089	NM_022496	Q9GZN1
44210	ACTR6P1	4q25		100421495	ENSG00000248915	NG_025147	
14672	ACTR8	3p21.1		93973	ENSG00000113812	NM_022899	Q9H981
17372	ACTR10	14q23.1	AF220190	55860	ENSG00000131966		Q9NZ32
24027	ACTRT1	Xq25	AF440739	139741	ENSG00000123165	NM_138289	Q8TDG2
24026	ACTRT2	1p36.32	AF440740, AB057364	140625	ENSG00000169717	NM_080431	Q8TDY3
24022	ACTRT3	3q26.2	AK055346	84517	ENSG00000184378	NM_032487	Q9BYD9
171	ACVR1	2q24.1		90	ENSG00000115170	NM_001105	Q04771
172	ACVR1B	12q13.13		91	ENSG00000135503	NM_020328	P36896
18123	ACVR1C	2q24.1	BC022530	130399	ENSG00000123612	NM_145259	Q8NER5
173	ACVR2A	2q22.3-q23.1		92	ENSG00000121989	NM_001616	P27037
174	ACVR2B	3p22.2	X77533	93	ENSG00000114739	NM_001106	Q13705
44161	ACVR2B-AS1	3p22.2	AK025619	100128640	ENSG00000229589	NR_028389	
175	ACVRL1	12q13.13	L17075	94	ENSG00000139567	NM_000020	P37023
177	ACY1	3p21.2	L07548	95	ENSG00000243989	NM_000666	Q03154
24104	ACY3	11q13.2	BC008689	91703	ENSG00000132744	NM_080658	Q96HD9
179	ACYP1	14q24.3	X84194	97	ENSG00000119640		P07311
180	ACYP2	2p16.2	X84195	98	ENSG00000170634		P14621
185	AD5	12p11.23-q13.12					
186	ADA	20q13.12	X02994	100	ENSG00000196839	NM_000022	P00813
1839	ADA2	22q11.1	AF190746	51816	ENSG00000093072		Q9NZK5
30713	ADAD1	4q27	AK057303	132612	ENSG00000164113	NM_139243	Q96M93
44550	ADAD1P1	3p22.2		100422386			
44552	ADAD1P2	18q21.1		100422407	ENSG00000267511		
30714	ADAD2	16q24.1	AF447586	161931	ENSG00000140955	NM_139174	Q8NCV1
31853	ADAL	15q15.3		161823	ENSG00000168803	NM_001324366	Q6DHV7
187	ADAM1A	12q24.12-q24.13	Y09232	8759	ENSG00000229186	NG_001216	
44366	ADAM1B	12q24.13		100420505	ENSG00000226469	NG_024129	
198	ADAM2	8p11.22	U52370	2515	ENSG00000104755	NM_001464	Q99965
209	ADAM3A	8p11.22	X89657	1587	ENSG00000197475	NR_001569	
210	ADAM3B	16q12.1	Y10615	1596	ENSG00000260089	NG_001526	
212	ADAM5	8p11.22	BC047448	255926	ENSG00000196115	NR_001448	Q6NVV9
