,mean_rank,weight
right anterior leg,281.0,3.0
ovarian carcinoma,285.0,6.0
oligodendroglioma,288.0,5.0
"squamous cell breast carcinoma, acantholytic variant",294.0,3.0
amelanotic melanoma,296.0,16.0
adult acute monocytic leukemia,296.0,5.0
peritoneal effusion,296.5,6.0
lung,297.0,7.0
primitive neuroectodermal tumor,302.5,2.0
skin,305.0,3.0
minimally invasive lung adenocarcinoma,305.0,16.0
endometrial adenosquamous carcinoma,306.0,6.0
subcutaneous,307.0,7.0
right axillary lymph node,308.0,1.0
childhood acute myeloid leukemia with maturation,311.0,1.0
diffuse large b-cell lymphoma germinal center b-cell type,313.0,8.0
peritoneum,314.0,1.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,316.0,1.0
papillary renal cell carcinoma,320.0,5.0
childhood t acute lymphoblastic leukemia,320.0,19.0
plasma cell myeloma,321.0,30.0
diffuse large b-cell lymphoma activated b-cell type,321.0,1.0
squamous papilloma,323.0,1.0
lymph node,326.0,105.0
ovarian serous adenocarcinoma,327.0,7.0
intrahepatic cholangiocarcinoma,327.0,6.0
ascites,328.0,103.0
cutaneous t-cell non-hodgkin lymphoma,328.5,2.0
b acute lymphoblastic leukemia,331.0,5.0
pleural effusion,333.5,224.0
ovarian serous cystadenocarcinoma,334.5,4.0
gastric carcinoma,337.0,12.0
hodgkin lymphoma,339.0,11.0
glioblastoma,345.0,84.0
laryngeal squamous cell carcinoma,345.5,12.0
b-cell non-hodgkin lymphoma,346.0,7.0
adult b acute lymphoblastic leukemia,347.0,3.0
abdominal wall,348.0,2.0
hypopharyngeal squamous cell carcinoma,350.0,5.0
gastric adenosquamous carcinoma,350.5,2.0
adrenal cortex carcinoma,351.0,1.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,352.0,3.0
follicular lymphoma,354.5,2.0
"chronic myelogenous leukemia, bcr-abl1 positive",358.5,16.0
thyroid gland undifferentiated (anaplastic) carcinoma,359.0,13.0
marek disease,367.0,1.0
biphasic synovial sarcoma,368.0,1.0
breast adenocarcinoma,373.0,23.0
n/a,375.0,34.0
adult t acute lymphoblastic leukemia,375.0,5.0
erythroleukemia,377.0,3.0
pleural epithelioid mesothelioma,380.5,18.0
epstein-barr virus-related burkitt lymphoma,381.5,10.0
pyriform fossa squamous cell carcinoma,383.0,1.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",387.0,2.0
duodenal adenocarcinoma,390.0,1.0
floor of mouth squamous cell carcinoma,391.0,1.0
esophageal squamous cell carcinoma,392.0,59.0
vulvar leiomyosarcoma,393.0,3.0
rectosigmoid adenocarcinoma,393.0,3.0
malignant ovarian brenner tumor,395.0,1.0
bladder squamous cell carcinoma,396.0,3.0
bladder carcinoma,396.0,51.0
intraperitoneal,397.0,1.0
mucinous gastric adenocarcinoma,397.0,3.0
lung adenocarcinoma,400.0,145.0
left supraclavicular lymph node,400.5,4.0
brachialis muscle,401.0,3.0
hepatocellular carcinoma,401.0,51.0
diffuse large b-cell lymphoma,401.5,20.0
childhood acute myeloid leukemia,403.0,2.0
down syndrome,405.5,2.0
left leg muscle,406.0,3.0
brca1 syndrome,410.0,1.0
"invasive ductal carcinoma, not otherwise specified",410.0,30.0
peripheral blood,411.0,107.0
pancreatic carcinoma,412.5,12.0
astrocytoma,414.0,19.0
thyroid gland sarcoma,417.0,1.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),420.5,4.0
gastric adenocarcinoma,421.0,26.0
spleen,424.0,3.0
vulvar carcinoma,425.0,1.0
human papillomavirus-related cervical squamous cell carcinoma,425.0,8.0
epithelioid cell type gastrointestinal stromal tumor,427.0,3.0
colon adenocarcinoma,428.0,61.0
signet ring cell gastric adenocarcinoma,432.0,9.0
bronchogenic carcinoma,432.5,2.0
neurofibromatosis type 1,434.0,1.0
ovarian adenocarcinoma,435.0,5.0
undifferentiated gallbladder carcinoma,436.0,1.0
pancreatic adenocarcinoma,437.0,39.0
lung giant cell carcinoma,439.0,4.0
celiac axis lymph node,443.0,2.0
undifferentiated pleomorphic sarcoma,443.0,4.0
acute myeloid leukemia,444.0,1.0
ovarian mucinous adenocarcinoma,445.0,4.0
ovarian mixed germ cell tumor,445.0,1.0
pancreatic adenosquamous carcinoma,447.0,5.0
liver,449.5,32.0
oral cavity squamous cell carcinoma,450.0,6.0
tongue squamous cell carcinoma,450.0,34.0
pleural sarcomatoid mesothelioma,451.5,8.0
childhood b acute lymphoblastic leukemia,456.0,9.0
omentum,457.0,7.0
pancreatic ductal adenocarcinoma,459.0,39.0
ovarian mucinous cystadenocarcinoma,460.5,2.0
ovarian clear cell adenocarcinoma,461.0,13.0
endometrial adenocarcinoma,461.0,34.0
cervical carcinoma,464.0,2.0
myelodysplastic syndrome,466.0,1.0
mantle cell lymphoma,466.0,6.0
chronic lymphocytic leukemia,468.0,2.0
mediastinal (thymic) large b-cell lymphoma,474.0,1.0
cecum adenocarcinoma,475.0,18.0
gastric tubular adenocarcinoma,475.0,11.0
hepatoblastoma,475.5,4.0
lymphoblastic lymphoma,476.0,1.0
rectal adenocarcinoma,480.0,11.0
cervical lymph node,481.0,5.0
recurrent bladder carcinoma,481.0,3.0
adenosquamous lung carcinoma,485.0,9.0
human papillomavirus-related endocervical adenocarcinoma,487.5,4.0
chondrosarcoma,491.0,10.0
ductal breast carcinoma,498.5,32.0
splenic lymphoma with circulating villous lymphocytes,499.0,1.0
colon carcinoma,502.0,19.0
fibrosarcoma,503.0,5.0
esophageal adenocarcinoma,505.0,9.0
ampulla of vater adenocarcinoma,508.0,2.0
thoracic lymph duct,514.0,1.0
pleural biphasic mesothelioma,515.0,7.0
pericardial effusion,518.0,8.0
gestational choriocarcinoma,524.0,2.0
buttock,525.0,2.0
skin squamous cell carcinoma,526.0,1.0
non-small cell lung carcinoma,526.0,24.0
primary effusion lymphoma,532.0,3.0
renal cell carcinoma,534.0,37.0
hereditary spherocytosis,535.0,1.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",538.0,2.0
gliosarcoma,540.0,6.0
benign prostatic hyperplasia,558.0,1.0
bone,561.0,1.0
mycosis fungoides and sezary syndrome,562.0,2.0
familial adenomatous polyposis,567.0,1.0
gallbladder carcinoma,570.0,2.0
hilar cholangiocarcinoma,571.0,1.0
hairy cell leukemia,576.0,3.0
childhood t lymphoblastic lymphoma,576.5,2.0
clear cell renal cell carcinoma,580.0,18.0
barrett adenocarcinoma,582.0,3.0
obturator lymph node,585.0,3.0
lymphoma,590.0,1.0
vulvar squamous cell carcinoma,601.0,3.0
paragastric lymph node,601.0,2.0
subcutaneous; right buttock,602.0,3.0
meninges,611.0,1.0
acute myelomonocytic leukemia,611.0,1.0
b-cell prolymphocytic leukemia,612.5,2.0
ovarian cystadenocarcinoma,622.5,6.0
papillary lung adenocarcinoma,631.0,3.0
buccal mucosa squamous cell carcinoma,632.0,2.0
adult acute myeloid leukemia,635.5,22.0
vulvar melanoma,642.0,1.0
cystic fibrosis,653.5,2.0
gastric choriocarcinoma,655.0,1.0
pelvis; innominate bone,658.0,2.0
oral dysplasia,698.0,1.0
brca2 syndrome,701.0,1.0
cholangiocarcinoma,709.5,2.0
squamous cell carcinoma,770.0,1.0
childhood acute monocytic leukemia,783.5,2.0
head and neck squamous cell carcinoma,796.0,9.0
parotid gland mucoepidermoid carcinoma,803.0,1.0
uterine corpus leiomyosarcoma,828.0,3.0
"chronic eosinophilic leukemia, not otherwise specified",829.0,1.0
anaplastic astrocytoma,871.0,5.0
thyroid gland papillary carcinoma,876.0,1.0
left cervical lymph node,876.0,1.0
mandible,884.0,1.0
ovary,912.0,1.0
epithelioid sarcoma,929.0,1.0
pleural malignant mesothelioma,963.0,5.0
