drug_name,BT084
PHF19,0.9745
bendroflumethiazide,0.9741
apicidin,0.9739
rimexolone,0.9739
KIF20A,0.9731000000000001
AURKB,0.9729000000000001
GTF2A2,0.9727
LPGAT1,0.9725
MEST,0.9725
trichostatin-a,0.9722
CPNE3,0.9718000000000001
AP1S2,0.9718000000000001
CCNH,0.9717
EMSY complex LOF,0.9715
DCTD,0.9715
THM-I-94,0.9712999999999999
HMGB4,0.9712000000000001
motesanib,0.9712000000000001
CGRRF1,0.9711
MAPK1,0.9711
RBBP4,0.9708
pyrimethamine,0.9708
CISH,0.9708
parthenolide,0.9708
HNF4A,0.9704
floxuridine,0.9704
ISOX,0.9704
L-701324,0.97
PAQR7,0.9698
CEACAM6,0.9697
BRD-K39187410,0.9693999999999999
AP4S1,0.9693999999999999
CANX,0.9691
E2F3,0.9690000000000001
CAPNS1,0.9686
resveratrol,0.9686
ATP6V1D,0.9684999999999999
CCND2,0.9684
MORF4L1,0.9679000000000001
ATIC,0.9677
GRPR,0.9676
AT-7519,0.9676
TRAF4,0.9672
ALW-II-49-7,0.9672
MYCL1,0.9671
WT-171,0.9669
testosterone,0.9669
GNAS,0.9668000000000001
YWHAH,0.9666
YBX1,0.9662000000000001
HERPUD1,0.9661
CTSL2,0.9661
ESRRA,0.9659
perospirone,0.9658
NUDT5,0.9658
VRK3,0.9658
RO-28-1675,0.9655
PTPN1,0.9653
Cell Cycle Inhibition GOF,0.9652
sumatriptan,0.9652
F2R,0.9647
CHAC1,0.9645
FZD7,0.9643
ATR,0.9642000000000001
rhodomyrtoxin,0.9637
VPS28,0.9634999999999999
BRD-K77681376,0.9634
RPL39L,0.9634
ZBTB24,0.9632
CREB3,0.9629000000000001
SRSF4,0.9627
parthenolide,0.9626
PPP4R1,0.9626
COASY,0.9626
GTDC1,0.9623999999999999
SEC16A,0.9620000000000001
oxymetholone,0.9619
razoxane,0.9618000000000001
SULT2A1,0.9616
SHB,0.9608
HMOX1,0.9608
SH2B3,0.9606999999999999
HG-5-88-01,0.9606
RS-102895,0.9601999999999999
terreic-acid,0.9601000000000001
CBR3,0.96
RRP12,0.9594
LYN,0.9591
PKM2,0.9587
PJA1,0.9587
TRAF2,0.9587
TOMM22,0.9586
pyroxamide,0.9586
DFFB,0.9584999999999999
GMPR2,0.9582999999999999
CMPK1,0.9581000000000001
bifonazole,0.9581000000000001
TRAM2,0.958
CTNND1,0.9578
FBXO11,0.9577
F12,0.9573
RASD1,0.9573
neurodazine,0.9573
trichostatin-a,0.9573
KTN1,0.9568000000000001
HDAC inhibitor,0.9567
FBRS,0.9566
MTSS1,0.9565
farnesylthioacetic-acid,0.9562
PRKDC,0.9561
ABCF1,0.9561
15-delta-prostaglandin-j2,0.9556
aminopurvalanol-a,0.9554
NFKBIB,0.955
ELK3,0.9545999999999999
USP16,0.9545999999999999
BCL2L1,0.9544
MOK,0.9543
CERK,0.9538
capsazepine,0.9538
HC-toxin,0.9538
COBL,0.9536
TOPBP1,0.9534999999999999
ZC3H4,0.9534
HADHA,0.9531000000000001
RALA,0.9531000000000001
scriptaid,0.9529000000000001
camptothecin,0.9528
SRPK1,0.9528
TPR,0.9526
CD-437,0.9523999999999999
TAF13,0.9521
ATP6V1F,0.9518000000000001
RBBP7,0.9517
topotecan,0.9514
CREBBP,0.9506999999999999
RAB11FIP2,0.9506999999999999
ZNF501,0.9506999999999999
DICER1,0.9506
LRPAP1,0.9506
phenoxybenzamine,0.9504
PPARG,0.9501999999999999
xylazine,0.9492
sorafenib,0.9492
danoprevir,0.9489
PD-198306,0.9486
DLX3,0.9483
LHX9,0.9481999999999999
BIRC2,0.9481
HIST1H2AC,0.948
CDK8,0.948
MED4,0.948
UBE2C,0.948
SLC6A8,0.9478
ETV1,0.9477
CREB3,0.9475
APHA-compound-8,0.9475
ELOVL6,0.9473999999999999
NDUFA3,0.9470999999999999
clomifene,0.9470000000000001
GMNN,0.9469
HRSP12,0.9469
ACADSB,0.9469
PIK3C2A,0.9468000000000001
EIF2AK2,0.9467
MED1,0.9465
PFAS,0.9459000000000001
BRD-A05680309,0.9458
PAC-1,0.9458
AS-605240,0.9457
MYCBP,0.9457
HOXC9,0.9455
CHN1,0.9455
BRD-K59222562,0.9453
NFIB,0.9449
TMEM174,0.9449
STAMBP,0.9443
PLK4,0.9442
fulvestrant,0.9442
flucytosine,0.9440999999999999
EPHX2,0.9437000000000001
triamcinolone,0.9436
RELA,0.9434
SEC24B,0.9433
PRPF4,0.9431999999999999
ZK-164015,0.943
ATRX,0.9429000000000001
KCTD2,0.9427
ENMD-2076,0.9426000000000001
nomegestrol,0.9423
PPP1R8,0.9422
POLQ,0.9418000000000001
PRKCZ,0.9418000000000001
chlormadinone,0.9416
STK38,0.9412999999999999
SACM1L,0.9411
CASP3,0.941
angiogenesis-inhibitor,0.9407
IRF2,0.9406
FOXO3,0.9406
NDUFS1,0.9401999999999999
EIF4A2,0.9399
piceatannol,0.9399
SUPT5H,0.9399
MST-312,0.9398000000000001
necrostatin-1,0.9397
RAB31,0.9397
TLE1,0.9396
U-0124,0.9395
PSMD9,0.9395
sitagliptin,0.9394
BCI-hydrochloride,0.9390000000000001
flubendazole,0.9388
oxiconazole,0.9384999999999999
fludarabine,0.9379000000000001
CAY-10577,0.9379000000000001
CLCN3,0.9378
CTNS,0.9377
ZNF768,0.9376000000000001
C2 domain containing LOF,0.9370999999999999
ingenol,0.9370999999999999
CEP57,0.9369
PIK3CD,0.9368000000000001
ethisterone,0.9366
ANP32E,0.9366
ERGIC1,0.9366
PPFIBP2,0.9361
linezolid,0.9359999999999999
chromomycin-a3,0.9359000000000001
BRD-K14236372,0.9358
KCTD5,0.9358
Glucocorticoid receptor agonist,0.9355
DNM1,0.9353
AES,0.9351999999999999
BACH2,0.9351999999999999
etomidate,0.935
TW-37,0.935
EPB41L4B,0.935
TEAD2,0.9347
SCYL3,0.9347
TES,0.9343
ATF1,0.9342
RRM2,0.9342
BRD-K26947839,0.934
ARF6,0.9337000000000001
TERF2IP,0.9336
vorinostat,0.9336
SLC22A4,0.9336
PRKRIR,0.9335
CAY-10618,0.9334
GLDC,0.9331999999999999
LGMN,0.9331
hydrocortisone,0.9327
betamethasone,0.9323
GABBR1,0.9323
SRC-kinase-inhibitor-II,0.9319
PAFAH1B2,0.9319
GRWD1,0.9317
L-168049,0.9316
3-amino-benzamide,0.9309999999999999
GSK-1904529A,0.9309999999999999
MYNN,0.9309000000000001
LSM5,0.9307
CTLA4,0.9306
LIM class homeoboxes GOF,0.9306
LASP1,0.9303
PAC-1,0.9301999999999999
brazilin,0.9301999999999999
IPO13,0.9301999999999999
MAPK3,0.9301999999999999
SU-11274,0.9301
SC-19220,0.9299
PPP2CB,0.9296
GHR,0.9290999999999999
CYP20A1,0.9289000000000001
BRD-K06956503,0.9288
ADSS,0.9287000000000001
MED28,0.9285
ATP6V1A,0.9285
NAA25,0.9284
YC-1,0.9281
MALT1,0.9277
HDAC11,0.9276000000000001
GSTP1,0.9273
LE-135,0.9270999999999999
PD-173074,0.9269
IFNG,0.9266
GATAD2B,0.9266
RALGDS,0.9265000000000001
fexaramine,0.9264
DCP1A,0.9262999999999999
MEIS2,0.9262
ALG5,0.9262
CCRN4L,0.9261
cytochalasin-b,0.9259999999999999
VAPB,0.9258
JAK2,0.9257
PRKAR2B,0.9257
GSK-461364,0.9257
MRGPRD,0.9256
RPS6KB2,0.9255
Structural maintenance of chromosomes proteins LOF,0.9253
Tumor necrosis factor superfamily LOF,0.925
ETNK1,0.925
TCEA1,0.9248999999999999
carmofur,0.9247
NAMPT,0.9244
PQBP1,0.9240999999999999
manumycin-a,0.924
SATB2,0.924
RDH11,0.9238
HDAC1-selective,0.9237000000000001
XK,0.9236
GLOD4,0.9234
DCUN1D4,0.9234
MLLT11,0.9233
L-368899,0.9231999999999999
SPAG4,0.9231999999999999
AKAP8,0.9231
ZNF207,0.9228000000000001
AKT3,0.9226000000000001
hydrocortisone,0.9225
FUT2,0.9225
ZNF212,0.9224
DMEOB,0.9222
ARNTL,0.9222
SLC38A2,0.9222
HOXA9,0.9215000000000001
MR-16728,0.9214
DUSP28,0.9214
NSC-663284,0.9212
ATG4A,0.9212
ALAS1,0.9209
niguldipine,0.9209
PSMD2,0.9209
minoxidil,0.9207
PLEKHM1,0.9207
QL-XI-92,0.9207
PIN1,0.9205
cefatrizine,0.9189
tubacin,0.9188
prostratin,0.9184
isoliquiritigenin,0.9181999999999999
RAI14,0.9181
BRD-A38793261,0.9179
tamoxifen,0.9179
LIF,0.9177
IGF2,0.9175
PIK3R1,0.9174
RELB,0.917
ASNS,0.9168000000000001
CCDC92,0.9166
PTPN4,0.9164
KU-C103871,0.9161
TM9SF2,0.9161
4-(2-Amino-ethyl)-benzenesulfonamide,0.9157
beclometasone,0.9153
PIAS1,0.9152
FBP1,0.915
CTBP2,0.9148000000000001
QRFPR,0.9148000000000001
UVRAG,0.9146
TGM2,0.9145
finasteride,0.9140999999999999
FOXJ2,0.914
SLC7A5,0.9135
RARB,0.9133
PPP2R5A,0.9133
sappanone-a,0.9131
GSK-3-inhibitor-IX,0.9131
IB-MECA,0.9124
PU-H71,0.9122
GPR174,0.9118999999999999
PDXK,0.9117000000000001
IL1RAP,0.9117000000000001
GNAI1,0.9111
EMD-386088,0.9107
PPP2R1A,0.9106000000000001
reserpine,0.9104000000000001
ETV1,0.9104000000000001
MYLK2,0.9104000000000001
GPER,0.9097
megestrol,0.9096
cyclopamine,0.9095
VU-0404997-2,0.9094
RELB,0.9092
ABCA1,0.9092
YWHAZ,0.909
XBP1,0.909
triptolide,0.9089
LYRM1,0.9086
COX7B,0.9084
GPR152,0.9081999999999999
RPL7,0.9081
CASK,0.9079
tubastatin-a,0.9077
Estrogen receptor antagonist,0.9077
phensuximide,0.9077
SMG7,0.9076000000000001
PTHLH,0.9074
WNT7B,0.9074
FOSL2,0.9073
MRGPRX1,0.9068
mitotane,0.9065000000000001
nocodazole,0.9064
SU-1498,0.9063
beta-CCP,0.9062
SB-216641,0.9059
RPS3,0.9059
AG-957,0.9057999999999999
CAB39,0.9057
raloxifene,0.9056000000000001
nicardipine,0.9053
ABCG2,0.9052
POU2F1,0.9052
CHD8,0.9051
ZNF449,0.9048
panobinostat,0.9047
ADAM10,0.9047
SUFU,0.9046
SIN3A,0.9045000000000001
SERPINC1,0.9041
PD-160170,0.9037999999999999
BRD4,0.9037000000000001
NCOA4,0.9037000000000001
guggulsterone,0.9036
NLK,0.9036
TSG101,0.9034
MRGPRX4,0.9034
iobenguane,0.9033
MDL-11939,0.9031999999999999
PREP,0.9031
PKC activator,0.903
SOAT1,0.9028
pindolol,0.9028
SA-792728,0.9027
dexketoprofen,0.9025
lasalocid,0.9022
CD55,0.902
PRAF2,0.9016
Minor histocompatibility antigens LOF,0.9015000000000001
SCRN1,0.9013
PDGFRA,0.9013
BRD-K73610817,0.9009999999999999
lithocholic-acid,0.9007
NMUR2,0.9006000000000001
RAE1,0.9006000000000001
SYT1,0.9006000000000001
DLC1,0.9006000000000001
RASGRP4,0.9004000000000001
BRP44,0.9002
EBF1,0.8998999999999999
MIF,0.8998
GNA11,0.8998
DECR1,0.8996999999999999
SQLE,0.8995000000000001
FGFR4,0.8995000000000001
cucurbitacin-i,0.8992
cercosporin,0.899
quinoclamine,0.8989
VDAC1,0.8989
ITGA4,0.8989
BNTX,0.8985
amcinonide,0.8984000000000001
ZNF577,0.8981999999999999
devazepide,0.8975
gedunin,0.8974
DFFA,0.8974
SNX11,0.8973
DUT,0.8968
CD24,0.8966
TCTN1,0.8965000000000001
capsaicin,0.8962
CHEMBL-374350,0.8962
SCAF8,0.8957999999999999
CLPX,0.8956999999999999
GW-405833,0.8956999999999999
KUC104502N,0.8955
DL-PDMP,0.895
bisindolylmaleimide-ix,0.8948999999999999
entinostat,0.8945000000000001
C2CD2L,0.8944
SEC14L1,0.8944
cinchonine,0.8943000000000001
BAS-09104376,0.8937
TGFB1,0.8936
PLK2,0.8934000000000001
NQO2,0.8933
JAK3-inhibitor-VI,0.8931999999999999
fluocinonide,0.8929
GPR151,0.8928
CDKAL1,0.8928
ZNF669,0.8928
RRAGB,0.8922
CCL2,0.892
BTG3,0.8918
etodolac,0.8914
Glycogen synthase kinase inhibitor,0.8913
bisindolylmaleimide,0.8912
doxorubicin,0.8911
EDNRB,0.8909999999999999
puromycin,0.8909
HSD17B10,0.8908
HOXA5,0.8903
AG-879,0.8901
tyrphostin-AG-1478,0.8901
HDAC8,0.8898999999999999
HEATR1,0.8891
ergocornine,0.889
ZBED1,0.889
RPF1,0.8887999999999999
APBB2,0.8885
DCK,0.8883
RNF5,0.8881
cucurbitacin-i,0.8876000000000001
PNU-120596,0.8873000000000001
cytochalasin-d,0.8872
KIF5B,0.8865000000000001
KIF5C,0.8865000000000001
MRGPRF,0.8864
triamcinolone,0.8861
RPS6KA5,0.8859
TGFBR2,0.8856999999999999
danazol,0.8854000000000001
doxorubicin,0.8852
GTPBP8,0.8851
TRAF2,0.885
APP,0.885
COX4I1,0.8848999999999999
danazol,0.8848
CACNA1D,0.8847
PIT,0.8845999999999999
POLR1C,0.8845999999999999
thiostrepton,0.8844
EIF2B5,0.8842
PGAM1,0.884
AT-9283,0.8835999999999999
ADCY3,0.8834000000000001
MEF2A,0.8831
GRHPR,0.8828
ERGIC2,0.8820999999999999
OAT,0.8819
PHGDH,0.8819
PC,0.8818
BRD-K67258146,0.8817
FKBP5,0.8815999999999999
HAX1,0.8814
RPA2,0.8814
MSX1,0.8812000000000001
naftidrofuryl,0.8812000000000001
IMPA1,0.8809999999999999
KDELR3,0.8808
ZNF625,0.8808
AFG3L2,0.8806999999999999
RS-45041-190,0.8805
TG100-115,0.8804000000000001
hyperforin,0.8804000000000001
EML3,0.88
LPAR6,0.88
IGFBP4,0.8798
FGFR inhibitor,0.8795999999999999
clocortolone,0.8793000000000001
zileuton,0.8793000000000001
DBI,0.8791
TCEB3,0.8789
CNOT3,0.8789
TBX2,0.8786
BCL inhibitor,0.878
FGB,0.8776999999999999
BRD-A89049230,0.8776999999999999
ATG4A,0.8776
HSF2,0.8776
PTPN11,0.8774
V type ATPases LOF,0.8772
VPS28,0.8772
DSE,0.8771
HSD17B4,0.8767
TM7SF2,0.8759999999999999
LYZ,0.8754000000000001
GANT-58,0.8753
MPDZ,0.8752
SC5DL,0.875
NPDC1,0.875
QX-222,0.8747
TNFRSF6B,0.8743000000000001
AP2M1,0.8742
DGKA,0.8742
deracoxib,0.8737999999999999
SUZ12,0.8737
ATP1A3,0.8737
epoxycholesterol,0.8737
resorcinol,0.8734999999999999
tamoxifen,0.8734999999999999
ZKSCAN2,0.8733
gossypol,0.8733
BCL6,0.8731
PRKCI,0.8731
BCAT1,0.8729
CAST,0.8726
DNM1L,0.8725
PSMD5,0.8725
SATB1,0.8724
SA-1478088,0.8723000000000001
SLC3A1,0.8721
AXIN1,0.8721
bisbenzimide,0.8719
S100A13,0.8717
MSX2,0.8715999999999999
BRD-K65285700,0.8713
TAF5L,0.8713
itopride,0.8712000000000001
BMY-45778,0.8706999999999999
CDK1-5-inhibitor,0.8706
FADS2,0.8704000000000001
tunicamycin,0.8703
BU-239,0.8697
BPHL,0.8697
ketoconazole,0.8692
CGK-733,0.8686
MLN-2238,0.8681
PEBP1,0.868
TRIM38,0.8679000000000001
CALM1,0.8676999999999999
tacedinaline,0.8676
SLC16A5,0.8672
GSK-429286A,0.8665999999999999
ZNF563,0.8665999999999999
fluocinonide,0.8665999999999999
NONO,0.8662000000000001
DUSP7,0.8659
POLE3,0.8654000000000001
MAPKAPK2,0.8652
ACD,0.865
NSC-632839,0.8648
POLA1,0.8643000000000001
CELSR2,0.8642
importazole,0.8640000000000001
KAT2B,0.8640000000000001
ACTR3,0.8634999999999999
vanoxerine,0.8634999999999999
budesonide,0.8634000000000001
dexamethasone,0.8634000000000001
NR0B1,0.8631
WASF3,0.8631
GIPC1,0.8628
ZNF436,0.8625
ATP5O,0.8622
malonoben,0.8621
PLEKHJ1,0.862
CD24,0.8618000000000001
mocimycin,0.8618000000000001
CASK,0.8617
dexamethasone,0.8615999999999999
PPARD,0.8615
SOCS5,0.8615
pyrrolidine-dithiocarbamate,0.8611
givinostat,0.861
PCGF6,0.861
CDCA8,0.8608
RXFP4,0.8606999999999999
decafluorobutane,0.8603000000000001
RBBP7,0.86
physostigmine,0.8595999999999999
CAB39,0.8593999999999999
RNF166,0.8590000000000001
HLA-DRB1,0.8589
oligomycin-a,0.8589
RNF7,0.8587
NCH-51,0.8587
SSR-69071,0.8587
CFTR,0.8587
COPS5,0.8586
mirin,0.8586
DNAJC15,0.8584999999999999
PLOD2,0.8582
BIBX-1382,0.8581
nTZDpa,0.858
PRKCE,0.8578
HNHA,0.8578
BRCA2,0.8578
EAPP,0.8576999999999999
desoxycortone,0.8576
MBCQ,0.8573000000000001
NPY1R,0.857
thiotepa,0.857
ICI-199441,0.857
MED4,0.857
NDUFB1,0.8568000000000001
celecoxib,0.8565999999999999
DNAJB6,0.8564
GNAZ,0.8559
ELF1,0.8556999999999999
MAPK12,0.8554999999999999
FLT1,0.8554
TBK1,0.8553000000000001
fenoterol,0.8551000000000001
ponalrestat,0.855
PABPC1,0.8549
bumetanide,0.8547
SETDB1,0.8543000000000001
NUDT9,0.8542000000000001
DHFR,0.8540000000000001
rottlerin,0.8540000000000001
radicicol,0.8538
triciribine,0.8536
CD81,0.8534
IL11RA,0.8534
SMO,0.8531
belinostat,0.8527
fluticasone,0.8526
RPIA,0.8526
TTC3,0.8525
tosyl-phenylalanyl-chloromethyl-ketone,0.8525
TARBP2,0.8525
NOSIP,0.8523999999999999
PET112,0.8523999999999999
olaparib,0.8523000000000001
manumycin-a,0.8521
IFIT5,0.852
RPS6KA4,0.852
griseofulvin,0.8518000000000001
NFkB pathway inhibitor,0.8517
syrosingopine,0.8515999999999999
ABCC4,0.8515
GABBR1,0.8514
zidovudine,0.8514
rifapentine,0.8511
COQ3,0.8511
RITA,0.8508
rhodomyrtoxin-b,0.8506999999999999
propofol,0.8504999999999999
UBA52,0.8504
RPS6KB1,0.8504
PARP15,0.8504
androstenedione,0.8503000000000001
"3,3'-diindolylmethane",0.8503000000000001
ALDH1A1,0.8502
fluorometholone,0.8502
SQSTM1,0.8497
carbinoxamine,0.8493999999999999
BRD-K14048378,0.8492000000000001
repaglinide,0.8492000000000001
actarit,0.8492000000000001
TTNPB,0.8490000000000001
ITPKA,0.8488
diltiazem,0.8488
CDK9,0.8487
triclosan,0.8487
MIXL1,0.8484
arecaidine,0.8484
INTS12,0.8482999999999999
amcinonide,0.8481000000000001
IL6ST,0.848
SMARCC2,0.848
ZNF384,0.8478
EIF2AK1,0.8477
PLAT,0.8477
BTG1,0.8476
CHMP6,0.8475
CCRN4L,0.8475
STAP2,0.8471
ofloxacin,0.8467
FGFRL1,0.8467
TNFRSF10A,0.8467
RAB31,0.8465
STK25,0.8464
DYRK3,0.846
IMPDH2,0.8458
ZNF621,0.8456
VEGFR inhibitor,0.8456
ZNF517,0.8454999999999999
cyclopamine,0.8454
RASA1,0.8453
EIF4G1,0.8452
CSNK1A1,0.845
CLTB,0.8445
tenovins,0.8443999999999999
idebenone,0.8443999999999999
EGFR inhibitor,0.8443
CREBL2,0.8443
ELAVL1,0.8441
bithionol,0.8439
gliquidone,0.8439
SMU1,0.8438
FABP5,0.8438
CD97,0.8434999999999999
HDAC1,0.8425
SIRPG,0.8423999999999999
LYPD3,0.8423
linifanib,0.8423
cyclosporin-a,0.8423
daunorubicin,0.8423
RS-67333,0.8420000000000001
amlodipine,0.8420000000000001
ARHGEF2,0.8419
RS-67506,0.8412999999999999
oxcarbazepine,0.8408
DTX2,0.8402
FKBP1A,0.8401000000000001
BML-190,0.8401000000000001
MAN2A2,0.84
dacinostat,0.8393999999999999
PCDH15,0.8393999999999999
tyrphostin-AG-112,0.8393
PPOX,0.8390000000000001
lasalocid,0.8390000000000001
dicloxacillin,0.8389
ANKRD10,0.8388
pseudopelletierine,0.8386
CXCR2,0.8384
cyclosporin-a,0.8382999999999999
ZNF85,0.8382
SUCNR1,0.838
SOCS4,0.8377
DHX8,0.8373999999999999
IRF9,0.8371999999999999
EBP,0.8371999999999999
EIF5,0.8371999999999999
LGALS2,0.8370000000000001
GALC,0.8369
STXBP2,0.8365
flupentixol,0.8362
PPP1R13B,0.8362
penfluridol,0.8355
NFATC2,0.8351999999999999
EED,0.8351000000000001
diphencyprone,0.835
altrenogest,0.8349
HLA-DMB,0.8349
bromocriptine,0.8345999999999999
MCL1,0.8343
CDIPT,0.8337
desoxypeganine,0.8337
INS,0.8329000000000001
PSMA5,0.8326
SYNGR3,0.8323999999999999
nikkomycin,0.8323
indirubin,0.8323
PDXK,0.8316
GNG8,0.831
ENOSF1,0.8308
LPAR1,0.8306
FKBP4,0.8299
WT1,0.8297
SET,0.8295999999999999
profenamine,0.8294
DLD,0.8291
PCK1,0.8278
SUPV3L1,0.8277
NS-1619,0.8277
BRD-K63954456,0.8277
LPAR6,0.8273999999999999
obatoclax,0.8271
CCCP,0.8270000000000001
HIST1H2AC,0.8269
RBMS1,0.8268000000000001
JX-401,0.8266
BRD-K34608650,0.8265
n-(3-acetamidophenyl)-3-chlorobenzamide,0.8265
ASAP2,0.8265
UTS2R,0.8264
TAF1B,0.8264
KLF10,0.826
HIF activator,0.8256
IDE,0.8254
NRIP1,0.8253
S100A1,0.8251000000000001
epibatidine,0.825
BARX1,0.8249
PRMT1,0.8249
MDM inhibitor,0.8249
BIRC5,0.8247
avrainvillamide-analog-4,0.8247
rottlerin,0.8240999999999999
ZNF790,0.8240999999999999
alisertib,0.8240999999999999
CCDC86,0.8236
SOX4,0.8236
ORM1,0.8233
LIG1,0.8231999999999999
ivermectin,0.8231
ARHGAP9,0.8231
TCS-359,0.8226
niclosamide,0.8223999999999999
BRD-K88742110,0.8222
BAZ2B,0.8217
F10,0.8214
clobetasol,0.8214
ZM-447439,0.8212
VX-222,0.8212
WNT11,0.8205
rescinnamine,0.8204
HCAR1,0.8201
SRPRB,0.8197
BRD-K71726959,0.8195999999999999
VU-0418946-1,0.8194
medrysone,0.8190999999999999
EFCAB2,0.8188
BRD-K87426499,0.8188
7b-cis,0.8181999999999999
Sterol demethylase inhibitor,0.8179000000000001
UFM1,0.8179000000000001
HLA-DRB4,0.8178
RRAGA,0.8178
CIAPIN1,0.8173999999999999
Mitogen activated protein kinases LOF,0.8173
liquiritigenin,0.8172
FDX1,0.8170999999999999
MAP2K1,0.8170000000000001
METTL4,0.8168000000000001
SRSF8,0.8168000000000001
HINT1,0.8167
AC-55649,0.8166
wortmannin,0.8165
HSF1,0.816
BAMBI,0.816
SNX13,0.8159000000000001
SPHK2,0.8151999999999999
CGP-7930,0.8151999999999999
