,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.818,...+,685,15,15.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.815,...+,686,16,16.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.456,,,0.456,,+...,16,186,16.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.445,,0.445,,.+..,17,187,17.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.812,...+,687,17,17.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.441,,0.441,,.+..,19,188,19.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.431,,0.431,0.828,.+.+,25,13,19.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.524,0.396,,0.46,0.7020000000000001,++.+,15,24,19.5
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.439,,0.439,,.+..,20,189,20.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.439,,0.439,,.+..,21,190,21.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.433,,,0.433,,+...,22,191,22.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.43200000000000005,,0.432,,.+..,23,192,23.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.431,,0.431,,.+..,24,193,24.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.444,,0.444,0.606,.+.+,18,33,25.5
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.429,,0.429,,.+..,26,194,26.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.66,...+,690,26,26.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.42700000000000005,,0.427,,.+..,27,195,27.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.657,...+,691,27,27.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.426,,0.426,,.+..,28,196,28.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.426,,0.426,,.+..,29,197,29.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.644,...+,692,29,29.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.425,,0.425,,.+..,30,198,30.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.616,...++,682,30,30.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.414,,0.414,0.754,.+.+,37,23,30.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.498,,,0.498,0.456,+..+,11,50,30.5
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.42100000000000004,,0.421,,.+..,31,199,31.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.418,,0.418,,.+..,32,200,32.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.418,,0.418,,.+..,33,201,33.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.604,...+,693,34,34.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.418,,0.418,,.+..,34,202,34.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.41700000000000004,,0.417,,.+..,35,203,35.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.594,...+,694,35,35.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.415,,0.415,,.+..,36,204,36.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.578,...+,695,38,38.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.413,,0.413,,.+..,38,205,38.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.5760000000000001,...+,696,39,39.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.41100000000000003,,0.411,,.+..,39,206,39.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.409,,0.409,,.+..,40,207,40.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.37,,0.37,0.9420000000000001,.+.+,76,5,40.5
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.4,,0.4,,.+..,41,208,41.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.705,0.319,,0.512,0.10099999999999999,++.+,9,74,41.5
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.39799999999999996,,0.398,,.+..,42,209,42.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.552,...+,697,42,42.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.39799999999999996,,0.398,,.+..,43,210,43.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.397,,0.397,,.+..,44,211,44.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.522,...+,698,45,45.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.397,,0.397,,.+..,45,212,45.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.396,,0.396,,.+..,46,213,46.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.511,...+,699,47,47.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.395,,0.395,,.+..,48,214,48.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.47600000000000003,...+,700,49,49.0
brd-k29313308,ctrp_BRD-K29313308,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,49,215,49.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.392,,0.392,,.+..,50,216,50.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.39,,0.39,,.+..,51,217,51.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.419,...+,701,51,51.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.39,,0.39,,.+..,52,218,52.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.395,,0.395,0.32475,.+.+++,47,57,52.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.415,...+,702,52,52.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.389,,0.389,,.+..,53,219,53.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.38799999999999996,...+,703,53,53.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.389,,0.389,,.+..,54,220,54.0
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.38799999999999996,,0.388,,.+..,55,221,55.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.387,,,0.387,,+...,56,222,56.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.386,,0.386,,.+..,57,223,57.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.386,,0.386,,.+..,58,224,58.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.385,,0.385,,.+..,59,225,59.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.385,,0.385,,.+..,60,226,60.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,61,227,61.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.382,,0.382,,.+..,62,228,62.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.253,...+,705,62,62.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.382,,0.382,,.+..,63,229,63.0
unc1215,gdsc_UNC1215,Not Clinically Relevant,0.379,,,0.379,,+...,64,230,64.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.209,...+-,689,64,64.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,65,231,65.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,0.16699999999999998,...+,706,66,66.0
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.377,,0.377,,.+..,66,232,66.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.374,,0.374,,.+..,67,233,67.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.374,,0.374,,.+..,68,234,68.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,0.139,...+,708,68,68.0
tacedinaline,ctrp_tacedinaline,Not Clinically Relevant,,0.373,,0.373,,.+..,69,235,69.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.11599999999999999,...+,709,71,71.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.373,,0.373,,.+..,71,236,71.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.373,,0.373,0.10800000000000001,.+.+,70,73,71.5
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,72,237,72.0
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.37200000000000005,,,0.372,,+...,73,238,73.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,74,239,74.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.37,,0.37,,.+..,75,240,75.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.37,,0.37,,.+..,77,241,77.0
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.369,,0.369,,.+..,78,242,78.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.369,,0.369,,.+..,79,243,79.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.00649999999999995,...+-,676,80,80.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,-0.061499999999999985,...+-,707,81,81.0
nsc95397,ctrp_NSC95397,Not Clinically Relevant,,0.368,,0.368,,.+..,81,244,81.0
hyperforin,ctrp_hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.33299999999999996,,0.333,0.7759999999999999,.+.+,143,20,81.5
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.368,,0.368,,.+..,82,245,82.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.325,,0.325,0.973,.+.+,162,3,82.5
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.368,,0.368,,.+..,83,246,83.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.366,,0.366,,.+..,84,247,84.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.364,,0.364,,.+..,85,248,85.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.6859999999999999,0.48200000000000004,,0.584,-0.9229999999999999,++.-,5,166,85.5
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.364,,0.364,,.+..,86,249,86.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.363,,0.363,,.+..,87,250,87.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.36200000000000004,,0.362,,.+..,88,251,88.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.33899999999999997,,0.339,0.5145,.+.++,131,46,88.5
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,-0.22774999999999998,...++-,704,89,89.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.36,,0.36,,.+..,89,252,89.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.264,0.434,,0.349,0.111,++.+,107,72,89.5
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.359,,0.359,,.+..,90,253,90.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.369,,0.369,-0.34700000000000003,.+.-,80,100,90.0
lomeguatrib,ctrp_lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.358,,0.358,,.+..,91,254,91.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,-0.25,...-,710,91,91.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.35700000000000004,,0.357,,.+..,92,255,92.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.354,,0.354,,.+..,93,256,93.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,-0.29100000000000004,...-,711,94,94.0
ml162,ctrp_ML162,Not Clinically Relevant,,0.353,,0.353,,.+..,94,257,94.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,-0.298,...-,712,95,95.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.353,,0.353,,.+..,95,258,95.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.35200000000000004,,0.352,,.+..,96,259,96.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.319,...-,713,97,97.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,97,260,97.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.3195,...+--,688,98,98.0
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.35200000000000004,,0.352,,.+..,98,261,98.0
bix-01294,ctrp_BIX-01294,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,99,262,99.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,100,263,100.0
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,101,264,101.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.35,,0.35,,.+..,102,265,102.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.35,,0.35,,.+..,103,266,103.0
bms-754807,gdsc_BMS-754807,Not Clinically Relevant,0.335,0.365,,0.35,,++..,104,267,104.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.349,,0.349,,.+..,105,268,105.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.424,...-,714,106,106.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.349,,0.349,,.+..,106,269,106.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.439,...-,715,107,107.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,-0.44299999999999995,...-,716,108,108.0
qs-11,ctrp_QS-11,Not Clinically Relevant,,0.348,,0.348,,.+..,108,270,108.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.348,,0.348,,.+..,109,271,109.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.475,...-,717,110,110.0
ml029,ctrp_ML029,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,110,272,110.0
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,111,273,111.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.493,...-,718,112,112.0
ml006,ctrp_ML006,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,112,274,112.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.499859375,...++++---,675,113,113.0
rita,ctrp_RITA,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,113,275,113.0
decitabine,ctrp_decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.321,,0.321,0.27899999999999997,.+.+,168,58,113.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.32299999999999995,,0.323,0.265,.+.+,166,61,113.5
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,-0.501,...-,719,114,114.0
ml083,ctrp_ML083,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,114,276,114.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.345,,0.345,,.+..,115,277,115.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.503,...-,720,115,115.0
vincristine,ctrp_vincristine,"binds tubulin, disrupts microtubule dynamics",,0.309,,0.309,0.5800000000000001,.+.+++,193,37,115.0
cucurbitacin i,ctrp_cucurbitacin I,Not Clinically Relevant,,0.345,,0.345,,.+..,116,278,116.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.344,,0.344,,.+..,117,279,117.0
vorinostat,gdsc_Vorinostat,HDAC inhibitor (SAHA),0.293,0.32899999999999996,,0.311,0.53,++.+,190,44,117.0
ym201636,gdsc_YM201636,Not Clinically Relevant,0.344,,,0.344,,+...,118,280,118.0
hc-067047,ctrp_HC-067047,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,119,281,119.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.581,...-,724,120,120.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.342,,0.342,,.+..,120,282,120.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.587,...--,723,121,121.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.341,,0.341,,.+..,121,283,121.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.341,,0.341,,.+..,122,284,122.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.59,...-,725,122,122.0
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.341,,0.341,,.+..,123,285,123.0
birb-796,ctrp_BIRB-796,Not Clinically Relevant,,0.341,,0.341,,.+..,124,286,124.0
brd-k61166597,ctrp_BRD-K61166597,Not Clinically Relevant,,0.341,,0.341,,.+..,125,287,125.0
brd-k41597374,ctrp_BRD-K41597374,Not Clinically Relevant,,0.34,,0.34,,.+..,126,288,126.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.34,,0.34,,.+..,127,289,127.0
brd-k84807411,ctrp_BRD-K84807411,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,128,290,128.0
azd-8055,cmap_azd-8055,mTOR inhibitor,,,,,-0.612,...-,726,128,128.0
teniposide,ctrp_teniposide,Topo II inhibitor,,0.302,,0.302,0.5379999999999999,.+.+,214,43,128.5
at-406,ctrp_AT-406,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,129,291,129.0
jw-480,ctrp_JW-480,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,130,292,130.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.6415,...--,721,130,130.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.289,,0.289,0.77,.+.+,242,21,131.5
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.32,,0.32,-0.278,.+.-,171,93,132.0
compound 23 citrate,ctrp_Compound 23 citrate,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,132,293,132.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.6559999999999999,...---,722,133,133.0
brd-k66532283,ctrp_BRD-K66532283,Not Clinically Relevant,,0.337,,0.337,,.+..,133,294,133.0
brd-k90370028,ctrp_BRD-K90370028,Not Clinically Relevant,,0.337,,0.337,,.+..,134,295,134.0
gw-843682x,ctrp_GW-843682X,Not Clinically Relevant,,0.337,,0.337,,.+..,135,296,135.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.336,,0.336,,.+..,136,297,136.0
necrosulfonamide,ctrp_necrosulfonamide,Not Clinically Relevant,,0.336,,0.336,,.+..,137,298,137.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,-0.682,...-,727,137,137.0
ro4929097,ctrp_RO4929097,Notch (gamma secretase) inhibitor,,0.336,,0.336,,.+..,138,299,138.0
riluzole,cmap_riluzole,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors",,,,,-0.6859999999999999,...-,728,138,138.0
ml031,ctrp_ML031,Not Clinically Relevant,,0.336,,0.336,,.+..,139,300,139.0
968,ctrp_968,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,140,301,140.0
brd-k02492147,ctrp_BRD-K02492147,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,141,302,141.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,-0.7040000000000001,...-,729,141,141.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,142,303,142.0
tandutinib,ctrp_tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.315,,0.315,-0.395,.+.-,182,103,142.5
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.721,...-,730,143,143.0
nsc48300,ctrp_NSC48300,Not Clinically Relevant,,0.332,,0.332,,.+..,144,304,144.0
mitomycin,ctrp_mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.331,,0.331,,.+..,145,305,145.0
mitoxantrone,cmap_mitoxantrone,Topoisomerase II inhibitor; disrupts DNA synthesis and DNA repair ,,,,,-0.73,...-,731,145,145.0
lrrk2-in-1,ctrp_LRRK2-IN-1,Not Clinically Relevant,,0.33,,0.33,,.+..,146,306,146.0
thalidomide,ctrp_thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.293,,0.293,0.27699999999999997,.+.+,233,59,146.0
cimetidine,ctrp_cimetidine,(Tagamet) Antacid and antihistamine,,0.304,,0.304,-0.10649999999999998,.+.+-,210,83,146.5
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.33,,0.33,,.+..,147,307,147.0
isoevodiamine,ctrp_isoevodiamine,Not Clinically Relevant,,0.33,,0.33,,.+..,148,308,148.0
fgin-1-27,ctrp_FGIN-1-27,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,149,309,149.0
qw-bi-011,ctrp_QW-BI-011,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,150,310,150.0
pyr-41,ctrp_PYR-41,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,151,311,151.0
niclosamide,ctrp_niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.297,,0.297,0.094,.+.+,227,76,151.5
isox,ctrp_ISOX,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,152,312,152.0
