,moa,GDSC,CTRP,CCLE,drug,score,evidence
brd-k88742110,Not Clinically Relevant,,0.439,,ctrp_BRD-K88742110,0.439,.+.
sb-505124,Not Clinically Relevant,0.433,,,gdsc_SB-505124,0.433,+..
brd-m00053801,Not Clinically Relevant,,0.43200000000000005,,ctrp_BRD-M00053801,0.432,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.431,,ctrp_barasertib,0.431,.+.
xl765,PI3K/mTOR inhibitor,,0.431,,ctrp_XL765,0.431,.+.
bms-195614,Not Clinically Relevant,,0.429,,ctrp_BMS-195614,0.429,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.42700000000000005,,ctrp_indisulam,0.427,.+.
skepinone-l,Not Clinically Relevant,,0.426,,ctrp_skepinone-L,0.426,.+.
brd-k28456706,Not Clinically Relevant,,0.426,,ctrp_BRD-K28456706,0.426,.+.
brd-k42260513,Not Clinically Relevant,,0.425,,ctrp_BRD-K42260513,0.425,.+.
brd-k26531177,Not Clinically Relevant,,0.42100000000000004,,ctrp_BRD-K26531177,0.421,.+.
cil55,Not Clinically Relevant,,0.418,,ctrp_CIL55,0.418,.+.
compound 7d-cis,Not Clinically Relevant,,0.418,,ctrp_Compound 7d-cis,0.418,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.418,,ctrp_16-beta-bromoandrosterone,0.418,.+.
sotrastaurin,pan-PKC inhibitor,,0.41700000000000004,,ctrp_sotrastaurin,0.417,.+.
cct036477,Not Clinically Relevant,,0.415,,ctrp_CCT036477,0.415,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.414,,ctrp_chlorambucil,0.414,.+.
ml050,Not Clinically Relevant,,0.413,,ctrp_ML050,0.413,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.41100000000000003,,ctrp_epigallocatechin-3-monogallate,0.411,.+.
ml203,Not Clinically Relevant,,0.409,,ctrp_ML203,0.409,.+.
brd-a71883111,Not Clinically Relevant,,0.4,,ctrp_BRD-A71883111,0.4,.+.
brd-k34485477,Not Clinically Relevant,,0.39799999999999996,,ctrp_BRD-K34485477,0.398,.+.
rg-108,Not Clinically Relevant,,0.39799999999999996,,ctrp_RG-108,0.398,.+.
sz4ta2,Not Clinically Relevant,,0.397,,ctrp_SZ4TA2,0.397,.+.
abt-199,Bcl2 inhibitor,,0.397,,ctrp_ABT-199,0.397,.+.
brd-k24690302,Not Clinically Relevant,,0.396,,ctrp_BRD-K24690302,0.396,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.395,,ctrp_tacrolimus,0.395,.+.
jw-74,Not Clinically Relevant,,0.395,,ctrp_JW-74,0.395,.+.
brd-k29313308,Not Clinically Relevant,,0.39299999999999996,,ctrp_BRD-K29313308,0.393,.+.
brd-k13999467,Not Clinically Relevant,,0.392,,ctrp_BRD-K13999467,0.392,.+.
nsc23766,Not Clinically Relevant,,0.39,,ctrp_NSC23766,0.39,.+.
tipifarnib-p1,Not Clinically Relevant,,0.39,,ctrp_tipifarnib-P1,0.39,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.389,,ctrp_PX-12,0.389,.+.
iu1,Not Clinically Relevant,,0.389,,ctrp_IU1,0.389,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.38799999999999996,,ctrp_fingolimod,0.388,.+.
talazoparib,Not Clinically Relevant,0.387,,,gdsc_Talazoparib,0.387,+..
nsc19630,Not Clinically Relevant,,0.386,,ctrp_NSC19630,0.386,.+.
bms-270394,Not Clinically Relevant,,0.386,,ctrp_BMS-270394,0.386,.+.
isoliquiritigenin,Not Clinically Relevant,,0.385,,ctrp_isoliquiritigenin,0.385,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.385,,ctrp_lenvatinib,0.385,.+.
prima-1-met,Not Clinically Relevant,,0.38299999999999995,,ctrp_PRIMA-1-Met,0.383,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.382,,ctrp_foretinib,0.382,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.382,,ctrp_PF-4800567 hydrochloride,0.382,.+.
unc1215,Not Clinically Relevant,0.379,,,gdsc_UNC1215,0.379,+..
compound 1b,Not Clinically Relevant,,0.37799999999999995,,ctrp_compound 1B,0.378,.+.
gmx-1778,Not Clinically Relevant,,0.377,,ctrp_GMX-1778,0.377,.+.
jw-55,Not Clinically Relevant,,0.374,,ctrp_JW-55,0.374,.+.
mdivi-1,Not Clinically Relevant,,0.374,,ctrp_Mdivi-1,0.374,.+.
tacedinaline,Not Clinically Relevant,,0.373,,ctrp_tacedinaline,0.373,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.373,,ctrp_itraconazole,0.373,.+.
repligen 136,Not Clinically Relevant,,0.373,,ctrp_Repligen 136,0.373,.+.
brd-k51831558,Not Clinically Relevant,,0.37200000000000005,,ctrp_BRD-K51831558,0.372,.+.
npk76-ii-72-1,Not Clinically Relevant,0.37200000000000005,,,gdsc_NPK76-II-72-1,0.372,+..
brd-k92856060,Not Clinically Relevant,,0.37200000000000005,,ctrp_BRD-K92856060,0.372,.+.
alisertib,Aurora A kinase inhibitor,,0.37,,ctrp_alisertib,0.37,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.37,,ctrp_KW-2449,0.37,.+.
cay10576,Not Clinically Relevant,,0.37,,ctrp_CAY10576,0.37,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.369,,ctrp_AZD1480,0.369,.+.
kpt185,Not Clinically Relevant,,0.369,,ctrp_KPT185,0.369,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.369,,ctrp_darinaparsin,0.369,.+.
nsc95397,Not Clinically Relevant,,0.368,,ctrp_NSC95397,0.368,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.368,,ctrp_omacetaxine mepesuccinate,0.368,.+.
brd-k11533227,Not Clinically Relevant,,0.368,,ctrp_BRD-K11533227,0.368,.+.
compound 1541a,Not Clinically Relevant,,0.366,,ctrp_Compound 1541A,0.366,.+.
staurosporine,Not Clinically Relevant,,0.364,,ctrp_staurosporine,0.364,.+.
brd6340,Not Clinically Relevant,,0.364,,ctrp_BRD6340,0.364,.+.
necrostatin-7,Not Clinically Relevant,,0.363,,ctrp_necrostatin-7,0.363,.+.
brd1835,Not Clinically Relevant,,0.36200000000000004,,ctrp_BRD1835,0.362,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.36,,ctrp_TG-100-115,0.36,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.359,,ctrp_VX-680,0.359,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.358,,ctrp_lomeguatrib,0.358,.+.
ki8751,Not Clinically Relevant,,0.35700000000000004,,ctrp_Ki8751,0.357,.+.
ly-2183240,Not Clinically Relevant,,0.354,,ctrp_LY-2183240,0.354,.+.
ml162,Not Clinically Relevant,,0.353,,ctrp_ML162,0.353,.+.
nsc30930,Not Clinically Relevant,,0.353,,ctrp_NSC30930,0.353,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.35200000000000004,,ctrp_MGCD-265,0.352,.+.
bix-01294,Not Clinically Relevant,,0.35200000000000004,,ctrp_BIX-01294,0.352,.+.
elocalcitol,vitamin D receptor agonist,,0.35200000000000004,,ctrp_elocalcitol,0.352,.+.
elcpk,Not Clinically Relevant,,0.35200000000000004,,ctrp_ELCPK,0.352,.+.
sb-225002,Not Clinically Relevant,,0.35100000000000003,,ctrp_SB-225002,0.351,.+.
nsc 74859,Not Clinically Relevant,,0.35100000000000003,,ctrp_NSC 74859,0.351,.+.
cil41,Not Clinically Relevant,,0.35,,ctrp_CIL41,0.35,.+.
ac55649,Not Clinically Relevant,,0.35,,ctrp_AC55649,0.35,.+.
bms-754807,Not Clinically Relevant,0.335,0.365,,gdsc_BMS-754807,0.35,++.
belinostat,HDAC inhibitor (PXD101),0.264,0.434,,gdsc_Belinostat,0.349,++.
necrostatin-1,Not Clinically Relevant,,0.349,,ctrp_necrostatin-1,0.349,.+.
apicidin,Not Clinically Relevant,,0.349,,ctrp_apicidin,0.349,.+.
qs-11,Not Clinically Relevant,,0.348,,ctrp_QS-11,0.348,.+.
ceranib-2,Not Clinically Relevant,,0.348,,ctrp_ceranib-2,0.348,.+.
ml029,Not Clinically Relevant,,0.34700000000000003,,ctrp_ML029,0.347,.+.
nvp-adw742,Not Clinically Relevant,,0.34700000000000003,,ctrp_NVP-ADW742,0.347,.+.
ml006,Not Clinically Relevant,,0.34700000000000003,,ctrp_ML006,0.347,.+.
rita,Not Clinically Relevant,,0.34600000000000003,,ctrp_RITA,0.346,.+.
ml083,Not Clinically Relevant,,0.34600000000000003,,ctrp_ML083,0.346,.+.
cucurbitacin i,Not Clinically Relevant,,0.345,,ctrp_cucurbitacin I,0.345,.+.
lbh-589,HDAC inhibitor,,0.345,,ctrp_LBH-589,0.345,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.344,,ctrp_cytarabine hydrochloride,0.344,.+.
ym201636,Not Clinically Relevant,0.344,,,gdsc_YM201636,0.344,+..
hc-067047,Not Clinically Relevant,,0.34299999999999997,,ctrp_HC-067047,0.343,.+.
pifithrin-mu,Not Clinically Relevant,,0.342,,ctrp_pifithrin-mu,0.342,.+.
bibr-1532,Not Clinically Relevant,,0.341,,ctrp_BIBR-1532,0.341,.+.
mst-312,Not Clinically Relevant,,0.341,,ctrp_MST-312,0.341,.+.
plx-4032,BRAF (V600E) inhibitor,,0.341,,ctrp_PLX-4032,0.341,.+.
birb-796,Not Clinically Relevant,,0.341,,ctrp_BIRB-796,0.341,.+.
brd-k61166597,Not Clinically Relevant,,0.341,,ctrp_BRD-K61166597,0.341,.+.
bendamustine,alkylating agent,,0.34,,ctrp_bendamustine,0.34,.+.
brd-k41597374,Not Clinically Relevant,,0.34,,ctrp_BRD-K41597374,0.34,.+.
jw-480,Not Clinically Relevant,,0.33899999999999997,,ctrp_JW-480,0.339,.+.
compound 23 citrate,Not Clinically Relevant,,0.33899999999999997,,ctrp_Compound 23 citrate,0.339,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.33899999999999997,,ctrp_sildenafil,0.339,.+.
brd-k84807411,Not Clinically Relevant,,0.33899999999999997,,ctrp_BRD-K84807411,0.339,.+.
at-406,Not Clinically Relevant,,0.33899999999999997,,ctrp_AT-406,0.339,.+.
brd-k66532283,Not Clinically Relevant,,0.337,,ctrp_BRD-K66532283,0.337,.+.
brd-k90370028,Not Clinically Relevant,,0.337,,ctrp_BRD-K90370028,0.337,.+.
gw-843682x,Not Clinically Relevant,,0.337,,ctrp_GW-843682X,0.337,.+.
pdmp,Not Clinically Relevant,,0.336,,ctrp_PDMP,0.336,.+.
ml031,Not Clinically Relevant,,0.336,,ctrp_ML031,0.336,.+.
necrosulfonamide,Not Clinically Relevant,,0.336,,ctrp_necrosulfonamide,0.336,.+.
ro4929097,Notch (gamma secretase) inhibitor,,0.336,,ctrp_RO4929097,0.336,.+.
968,Not Clinically Relevant,,0.33399999999999996,,ctrp_968,0.334,.+.
brd-k02492147,Not Clinically Relevant,,0.33399999999999996,,ctrp_BRD-K02492147,0.334,.+.
ski-ii,Not Clinically Relevant,,0.33299999999999996,,ctrp_SKI-II,0.333,.+.
hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.33299999999999996,,ctrp_hyperforin,0.333,.+.
nsc48300,Not Clinically Relevant,,0.332,,ctrp_NSC48300,0.332,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.331,,ctrp_mitomycin,0.331,.+.
isoevodiamine,Not Clinically Relevant,,0.33,,ctrp_isoevodiamine,0.33,.+.
lrrk2-in-1,Not Clinically Relevant,,0.33,,ctrp_LRRK2-IN-1,0.33,.+.
brd-k02251932,Not Clinically Relevant,,0.33,,ctrp_BRD-K02251932,0.33,.+.
fgin-1-27,Not Clinically Relevant,,0.32899999999999996,,ctrp_FGIN-1-27,0.329,.+.
qw-bi-011,Not Clinically Relevant,,0.32799999999999996,,ctrp_QW-BI-011,0.328,.+.
pyr-41,Not Clinically Relevant,,0.32799999999999996,,ctrp_PYR-41,0.328,.+.
isox,Not Clinically Relevant,,0.32799999999999996,,ctrp_ISOX,0.328,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.327,,ctrp_AZD4547,0.327,.+.
brd-k80183349,Not Clinically Relevant,,0.327,,ctrp_BRD-K80183349,0.327,.+.
byl-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.327,,ctrp_BYL-719,0.327,.+.
brd-k86535717,Not Clinically Relevant,,0.326,,ctrp_BRD-K86535717,0.326,.+.
brd-k04800985,Not Clinically Relevant,,0.326,,ctrp_BRD-K04800985,0.326,.+.
mi-2,Not Clinically Relevant,,0.326,,ctrp_MI-2,0.326,.+.
am-580,Not Clinically Relevant,,0.326,,ctrp_AM-580,0.326,.+.
hli 373,Not Clinically Relevant,,0.325,,ctrp_HLI 373,0.325,.+.
etp-46464,Not Clinically Relevant,,0.325,,ctrp_ETP-46464,0.325,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.325,,ctrp_sitagliptin,0.325,.+.
stf-31,Not Clinically Relevant,,0.324,,ctrp_STF-31,0.324,.+.
nsc-207895,Not Clinically Relevant,0.324,,,gdsc_NSC-207895,0.324,+..
brd-k75293299,Not Clinically Relevant,,0.32299999999999995,,ctrp_BRD-K75293299,0.323,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.32299999999999995,,ctrp_brivanib,0.323,.+.
brd8899,Not Clinically Relevant,,0.322,,ctrp_BRD8899,0.322,.+.
pandacostat,Not Clinically Relevant,,0.321,,ctrp_pandacostat,0.321,.+.
pl-di,Not Clinically Relevant,,0.321,,ctrp_PL-DI,0.321,.+.
decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.321,,ctrp_decitabine,0.321,.+.
cediranib,VEGFR inhibitor,,0.32,,ctrp_cediranib,0.32,.+.
lbw242,Not Clinically Relevant,,,0.318,ccle_LBW242,0.318,..+
trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.318,,ctrp_trifluoperazine,0.318,.+.
triazolothiadiazine,Not Clinically Relevant,,0.318,,ctrp_triazolothiadiazine,0.318,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.335,0.301,,ctrp_daporinad,0.318,++.
pf-184,Not Clinically Relevant,,0.317,,ctrp_PF-184,0.317,.+.
brd-k44224150,Not Clinically Relevant,,0.316,,ctrp_BRD-K44224150,0.316,.+.
wz3105,Not Clinically Relevant,0.316,,,gdsc_WZ3105,0.316,+..
cil70,Not Clinically Relevant,,0.316,,ctrp_CIL70,0.316,.+.
brd1812,Not Clinically Relevant,,0.316,,ctrp_BRD1812,0.316,.+.
ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.316,,ctrp_ciclopirox,0.316,.+.
tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.315,,ctrp_tandutinib,0.315,.+.
fqi-2,Not Clinically Relevant,,0.315,,ctrp_FQI-2,0.315,.+.
brd-k17060750,Not Clinically Relevant,,0.315,,ctrp_BRD-K17060750,0.315,.+.
manumycin a,Not Clinically Relevant,,0.315,,ctrp_manumycin A,0.315,.+.
nsc632839,Not Clinically Relevant,,0.313,,ctrp_NSC632839,0.313,.+.
pitstop2,Not Clinically Relevant,,0.313,,ctrp_pitstop2,0.313,.+.
tivantinib,Met inhibitor,,0.312,,ctrp_tivantinib,0.312,.+.
erastin,Not Clinically Relevant,,0.311,,ctrp_erastin,0.311,.+.
importazole,Not Clinically Relevant,,0.311,,ctrp_importazole,0.311,.+.
vorinostat,HDAC inhibitor (SAHA),0.293,0.32899999999999996,,gdsc_Vorinostat,0.311,++.
su11274,Not Clinically Relevant,,0.31,,ctrp_SU11274,0.31,.+.
vincristine,"binds tubulin, disrupts microtubule dynamics",,0.309,,ctrp_vincristine,0.309,.+.
brd-k70511574,Not Clinically Relevant,,0.309,,ctrp_BRD-K70511574,0.309,.+.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.308,,ctrp_GSK1059615,0.308,.+.
cerulenin,Not Clinically Relevant,,0.308,,ctrp_cerulenin,0.308,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.308,,ctrp_cyclophosphamide,0.308,.+.
fqi-1,Not Clinically Relevant,,0.307,,ctrp_FQI-1,0.307,.+.
yk 4-279,Not Clinically Relevant,,0.306,,ctrp_YK 4-279,0.306,.+.
mps-1-in-1,Not Clinically Relevant,0.306,,,gdsc_MPS-1-IN-1,0.306,+..
unc0638,Not Clinically Relevant,0.275,0.33799999999999997,,gdsc_UNC0638,0.306,++.
bax channel blocker,Not Clinically Relevant,,0.305,,ctrp_Bax channel blocker,0.305,.+.
gsk-3 inhibitor ix,Not Clinically Relevant,,0.305,,ctrp_GSK-3 inhibitor IX,0.305,.+.
methylstat,Not Clinically Relevant,,0.305,,ctrp_methylstat,0.305,.+.
cd-1530,Not Clinically Relevant,,0.305,,ctrp_CD-1530,0.305,.+.
neuronal differentiation inducer iii,Not Clinically Relevant,,0.304,,ctrp_neuronal differentiation inducer III,0.304,.+.
vorapaxar," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine",,0.304,,ctrp_vorapaxar,0.304,.+.
ku-0063794,Not Clinically Relevant,,0.304,,ctrp_KU-0063794,0.304,.+.
zm447439,Not Clinically Relevant,0.304,,,gdsc_ZM447439,0.304,+..
cimetidine,(Tagamet) Antacid and antihistamine,,0.304,,ctrp_cimetidine,0.304,.+.
kh-cb19,Not Clinically Relevant,,0.303,,ctrp_KH-CB19,0.303,.+.
merck60,Not Clinically Relevant,,0.303,,ctrp_Merck60,0.303,.+.
tipifarnib-p2,Not Clinically Relevant,,0.302,,ctrp_tipifarnib-P2,0.302,.+.
cay10618,Not Clinically Relevant,,0.302,,ctrp_CAY10618,0.302,.+.
teniposide,Topo II inhibitor,,0.302,,ctrp_teniposide,0.302,.+.
brd-k34222889,Not Clinically Relevant,,0.301,,ctrp_BRD-K34222889,0.301,.+.
purmorphamine,Not Clinically Relevant,,0.301,,ctrp_purmorphamine,0.301,.+.
brd-k37390332,Not Clinically Relevant,,0.301,,ctrp_BRD-K37390332,0.301,.+.
ch-55,Not Clinically Relevant,,0.301,,ctrp_Ch-55,0.301,.+.
sb-525334,Not Clinically Relevant,,0.299,,ctrp_SB-525334,0.299,.+.
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.299,,ctrp_nintedanib,0.299,.+.
sgx-523, Met inhibitor,,0.298,,ctrp_SGX-523,0.298,.+.
rigosertib,"ON-01910, Plk-1 inhibitor",,0.298,,ctrp_rigosertib,0.298,.+.
parbendazole,Not Clinically Relevant,,0.298,,ctrp_parbendazole,0.298,.+.
ko-143,Not Clinically Relevant,,0.298,,ctrp_Ko-143,0.298,.+.
fsc231,Not Clinically Relevant,,0.298,,ctrp_FSC231,0.298,.+.
niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.297,,ctrp_niclosamide,0.297,.+.
r428,Not Clinically Relevant,,0.29600000000000004,,ctrp_R428,0.296,.+.
b02,Not Clinically Relevant,,0.29600000000000004,,ctrp_B02,0.296,.+.
kx2-391,Src inhibitor (peptidomimetic) that targets the peptide substrate site of Src,,0.295,,ctrp_KX2-391,0.295,.+.
brd-k85133207,Not Clinically Relevant,,0.294,,ctrp_BRD-K85133207,0.294,.+.
ly-2157299,Not Clinically Relevant,,0.294,,ctrp_LY-2157299,0.294,.+.
thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.293,,ctrp_thalidomide,0.293,.+.
ml311,Not Clinically Relevant,,0.293,,ctrp_ML311,0.293,.+.
sch-529074,Not Clinically Relevant,,0.293,,ctrp_SCH-529074,0.293,.+.
sch-79797,Not Clinically Relevant,,0.29,,ctrp_SCH-79797,0.29,.+.
pi-103,Not Clinically Relevant,0.268,0.311,,gdsc_PI-103,0.29,++.
pf-3758309,Not Clinically Relevant,,0.29,,ctrp_PF-3758309,0.29,.+.
salermide,Not Clinically Relevant,,0.29,,ctrp_salermide,0.29,.+.
gsk461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,0.29,,ctrp_GSK461364,0.29,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.289,,ctrp_gossypol,0.289,.+.
marinopyrrole a,Not Clinically Relevant,,0.289,,ctrp_marinopyrrole A,0.289,.+.
brd-k34099515,Not Clinically Relevant,,0.28800000000000003,,ctrp_BRD-K34099515,0.288,.+.
ciclosporin,,,0.28800000000000003,,ctrp_ciclosporin,0.288,.+.
brd-k35604418,Not Clinically Relevant,,0.28800000000000003,,ctrp_BRD-K35604418,0.288,.+.
ql-x-138,Not Clinically Relevant,0.28800000000000003,,,gdsc_QL-X-138,0.288,+..
tgx-221,Not Clinically Relevant,,0.287,,ctrp_TGX-221,0.287,.+.
bardoxolone methyl,Not Clinically Relevant,,0.287,,ctrp_bardoxolone methyl,0.287,.+.
nvp-231,Not Clinically Relevant,,0.287,,ctrp_NVP-231,0.287,.+.
mk-1775,Wee1 kinase inhibitor,,0.287,,ctrp_MK-1775,0.287,.+.
prima-1,Not Clinically Relevant,,0.287,,ctrp_PRIMA-1,0.287,.+.
brd-k45681478,Not Clinically Relevant,,0.28600000000000003,,ctrp_BRD-K45681478,0.286,.+.
dacarbazine,"alkylating agent, Dacarbazine works by methylating guanine at the O-6 and N-7 positions",,0.285,,ctrp_dacarbazine,0.285,.+.
brd-a86708339,Not Clinically Relevant,,0.285,,ctrp_BRD-A86708339,0.285,.+.
ouabain,Not Clinically Relevant,,0.285,,ctrp_ouabain,0.285,.+.
dbeq,Not Clinically Relevant,,0.285,,ctrp_DBeQ,0.285,.+.
cr-1-31b,Not Clinically Relevant,,0.284,,ctrp_CR-1-31B,0.284,.+.
cd-437,Not Clinically Relevant,,0.284,,ctrp_CD-437,0.284,.+.
gant-61,Not Clinically Relevant,,0.284,,ctrp_GANT-61,0.284,.+.
osi-027,Not Clinically Relevant,0.282,0.285,,gdsc_OSI-027,0.284,++.
pf-750,Not Clinically Relevant,,0.28300000000000003,,ctrp_PF-750,0.283,.+.
silmitasertib,casein kinase 2 inhibitor ,,0.28300000000000003,,ctrp_silmitasertib,0.283,.+.
brd-k66453893,Not Clinically Relevant,,0.28300000000000003,,ctrp_BRD-K66453893,0.283,.+.
sr-ii-138a,Not Clinically Relevant,,0.28300000000000003,,ctrp_SR-II-138A,0.283,.+.
brd-k30019337,Not Clinically Relevant,,0.28300000000000003,,ctrp_BRD-K30019337,0.283,.+.
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9",,0.282,,ctrp_alvocidib,0.282,.+.
fluorouracil,antimetabolite,,0.282,,ctrp_fluorouracil,0.282,.+.
cil55a,Not Clinically Relevant,,0.282,,ctrp_CIL55A,0.282,.+.
tamatinib,(R4060) inhibitor of IgE and IgG-mediated activation of Fc receptor signaling. Primary target is Syk,,0.282,,ctrp_tamatinib,0.282,.+.
semagacestat,Notch (gamma secretase) inhibitor,,0.281,,ctrp_semagacestat,0.281,.+.
nvp-bez235,PI3K/mTOR inhibitor,,0.281,,ctrp_NVP-BEZ235,0.281,.+.
pifithrin-alpha,Not Clinically Relevant,,0.28,,ctrp_pifithrin-alpha,0.28,.+.
i-bet151,Not Clinically Relevant,,0.28,,ctrp_I-BET151,0.28,.+.
chm-1,Not Clinically Relevant,,0.28,,ctrp_CHM-1,0.28,.+.
curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.27899999999999997,,ctrp_curcumin,0.279,.+.
ku-60019,Not Clinically Relevant,,0.27899999999999997,,ctrp_KU-60019,0.279,.+.
ci-976,Not Clinically Relevant,,0.27899999999999997,,ctrp_CI-976,0.279,.+.
brd-k27224038,Not Clinically Relevant,,0.27899999999999997,,ctrp_BRD-K27224038,0.279,.+.
srt-1720,Not Clinically Relevant,,0.27699999999999997,,ctrp_SRT-1720,0.277,.+.
cil56,Not Clinically Relevant,,0.27699999999999997,,ctrp_CIL56,0.277,.+.
narciclasine,Not Clinically Relevant,,0.27699999999999997,,ctrp_narciclasine,0.277,.+.
dinaciclib,"CDK inhibitor, esp CDK1, 2, 5, and 9",,0.27699999999999997,,ctrp_dinaciclib,0.277,.+.
nakiterpiosin,Not Clinically Relevant,,0.276,,ctrp_nakiterpiosin,0.276,.+.
az-3146,Not Clinically Relevant,,0.275,,ctrp_AZ-3146,0.275,.+.
brd-k96431673,Not Clinically Relevant,,0.275,,ctrp_BRD-K96431673,0.275,.+.
gsk690693,Not Clinically Relevant,0.27399999999999997,,,gdsc_GSK690693,0.274,+..
