,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.623,0.462,,0.542,,++..,13,186,13.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.816,...+,682,13,13.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.539,,,0.539,,+...,14,187,14.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.81,...+,683,14,14.0
kin001-260,gdsc_KIN001-260,Not Clinically Relevant,0.525,,,0.525,,+...,15,188,15.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.784,...+,685,17,17.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.504,,,0.504,,+...,17,189,17.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.499,,,0.499,,+...,18,190,18.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.769,...+,686,19,19.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.498,,,0.498,,+...,19,191,19.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.46299999999999997,,,0.463,,+...,22,192,22.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.743,...+,687,22,22.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.7340000000000001,...+,688,23,23.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.462,,,0.462,,+...,23,193,23.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.726,...+,689,24,24.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.442,,0.442,,.+..,24,194,24.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.7190000000000001,...+,690,25,25.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.442,,0.442,,.+..,25,195,25.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.43700000000000006,,0.437,,.+..,26,196,26.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.7120000000000001,...+,691,27,27.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.435,,,0.435,,+...,27,197,27.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.43,,0.43,,.+..,28,198,28.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.428,,0.428,,.+..,29,199,29.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,0.685,...+,692,30,30.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.42700000000000005,,0.427,,.+..,30,200,30.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.6659999999999999,...+,693,31,31.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.42200000000000004,,0.422,0.7,.+.+,34,29,31.5
ml239,ctrp_ML239,Not Clinically Relevant,,0.424,,0.424,,.+..,32,201,32.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.652,...+,695,32,32.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.562,0.40399999999999997,,0.483,0.579,++.+,21,43,32.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.649,...+,696,33,33.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.637,...+,697,34,34.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.42,,0.42,,.+..,35,202,35.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.418,,0.418,,.+..,36,203,36.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.626,...+,698,37,37.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.41600000000000004,,0.416,,.+..,37,204,37.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.41600000000000004,,0.416,,.+..,38,205,38.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.424,,0.424,0.552,.+.+,31,45,38.0
kin001-270,gdsc_KIN001-270,Not Clinically Relevant,0.41600000000000004,,,0.416,,+...,39,206,39.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.413,,0.413,,.+..,40,207,40.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.41,,0.41,,.+..,41,208,41.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.408,,0.408,,.+..,42,209,42.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.591,...+,699,42,42.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.408,,,0.408,,+...,43,210,43.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.377,,0.377,0.843,.+.+,78,9,43.5
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.40700000000000003,,0.407,,.+..,44,211,44.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.5654999999999999,...++,694,44,44.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.406,,0.406,,.+..,45,212,45.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.40299999999999997,,0.403,,.+..,46,213,46.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.40299999999999997,,0.403,,.+..,47,214,47.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.40299999999999997,,0.403,,.+..,48,215,48.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.469,...+,700,48,48.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.40299999999999997,,0.403,,.+..,49,216,49.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.46799999999999997,...+,701,49,49.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.401,,0.401,,.+..,50,217,50.0
kin001-266,gdsc_KIN001-266,Not Clinically Relevant,0.39899999999999997,,,0.399,,+...,51,218,51.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.424,,0.424,0.228,.+.+,33,70,51.5
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,0.40399999999999997,...+,702,52,52.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.397,,0.397,,.+..,52,219,52.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.397,,0.397,,.+..,53,220,53.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.396,,0.396,,.+..,54,221,54.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.36,...+,703,55,55.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.395,,0.395,,.+..,55,222,55.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,56,223,56.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6990000000000001,0.322,,0.511,-0.231,++.-,16,97,56.5
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.391,,,0.391,,+...,57,224,57.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.33299999999999996,...+,704,58,58.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.389,,0.389,,.+..,59,225,59.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.39,,0.39,0.3035,.+.++-,58,62,60.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.38799999999999996,,0.388,,.+..,60,226,60.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.387,,0.387,,.+..,61,227,61.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.386,,0.386,,.+..,62,228,62.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.386,,0.386,,.+..,63,229,63.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.386,,0.386,,.+..,64,230,64.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.26649999999999996,...+-,684,65,65.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.386,,0.386,,.+..,65,231,65.0
vorinostat,gdsc_Vorinostat,HDAC inhibitor (SAHA),0.35200000000000004,0.354,,0.353,0.777,++.+,112,18,65.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.385,,0.385,,.+..,66,232,66.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,0.2445,...++,705,67,67.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.384,,0.384,,.+..,67,233,67.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,68,234,68.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.382,,0.382,,.+..,69,235,69.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.381,,0.381,,.+..,70,236,70.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.381,,0.381,,.+..,71,237,71.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,0.221,...+,706,72,72.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.38,,0.38,,.+..,72,238,72.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.38,,0.38,,.+..,73,239,73.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.379,,0.379,,.+..,74,240,74.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.153,...+,707,75,75.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.379,,0.379,,.+..,75,241,75.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,76,242,76.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.33299999999999996,,0.333,0.995,.+.+,152,2,77.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,77,243,77.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.126,...+,709,78,78.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.377,,0.377,,.+..,79,244,79.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.374,,0.374,,.+..,80,245,80.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.37,,0.37,0.159,.+.+,87,74,80.5
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.373,,0.373,,.+..,81,246,81.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.063,...+,710,81,81.0
brd-k29313308,ctrp_BRD-K29313308,Not Clinically Relevant,,0.373,,0.373,,.+..,82,247,82.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,83,248,83.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.02799999999999997,...+-,676,84,84.0
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,84,249,84.0
bms-754807,ctrp_BMS-754807,Not Clinically Relevant,0.379,0.365,,0.372,,++..,85,250,85.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,-0.109,...-,711,86,86.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.371,,0.371,,.+..,86,251,86.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.369,,0.369,,.+..,88,252,88.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.369,,0.369,,.+..,89,253,89.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.369,,0.369,,.+..,90,254,90.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.684,0.5,,0.592,-0.965,++.-,8,172,90.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,-0.151,...-,712,90,90.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.368,,0.368,,.+..,91,255,91.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.16478125,...+++++--,675,92,92.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.309,0.423,,0.366,-0.183,++.-,92,93,92.5
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.365,,0.365,,.+..,93,256,93.0
quizartinib,ctrp_quizartinib,Flt3 inhibitor,0.6859999999999999,0.308,,0.497,-0.9229999999999999,++.-,20,167,93.5
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.365,,0.365,,.+..,94,257,94.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.345,,0.345,0.316,.+.+,128,60,94.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.363,,0.363,,.+..,95,258,95.0
ml162,ctrp_ML162,Not Clinically Relevant,,0.363,,0.363,,.+..,96,259,96.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.36200000000000004,,0.362,,.+..,97,260,97.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.36200000000000004,,0.362,,.+..,98,261,98.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.361,,0.361,,.+..,99,262,99.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.251,...-,714,100,100.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.361,,0.361,,.+..,100,263,100.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.36,,0.36,,.+..,101,264,101.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,-0.271,...-,715,101,101.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.36,,0.36,,.+..,102,265,102.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,-0.28725,...+--,708,103,103.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.36,,0.36,,.+..,103,266,103.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,-0.298,...-,716,104,104.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.358,,0.358,,.+..,104,267,104.0
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.33899999999999997,,0.339,0.255,.+.+,143,66,104.5
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.358,,0.358,,.+..,105,268,105.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.312,...-,717,105,105.0
azd4547,ctrp_AZD4547,"FGFR-1,2 and 3 inhibitor",,0.35700000000000004,,0.357,,.+..,106,269,106.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.35600000000000004,,0.356,,.+..,107,270,107.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.355,,0.355,,.+..,108,271,108.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.32899999999999996,...-,718,108,108.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.32799999999999996,,0.328,0.521,.+.++,171,46,108.5
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.355,,0.355,,.+..,109,272,109.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.34625000000000006,...+--,681,109,109.0
isox,ctrp_ISOX,Not Clinically Relevant,,0.354,,0.354,,.+..,110,273,110.0
decitabine,ctrp_decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.32899999999999996,,0.329,0.37200000000000005,.+.+,168,54,111.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.354,,0.354,,.+..,111,274,111.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.376,...--,713,112,112.0
tacedinaline,ctrp_tacedinaline,Not Clinically Relevant,,0.353,,0.353,,.+..,113,275,113.0
teniposide,ctrp_teniposide,Topo II inhibitor,,0.316,,0.316,0.755,.+.+,207,21,114.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,-0.391,...-,719,114,114.0
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.353,,0.353,,.+..,114,276,114.0
rita,ctrp_RITA,Not Clinically Relevant,,0.353,,0.353,,.+..,115,277,115.0
tofacitinib,cmap_tofacitinib,JAK Kinase inhibitor,,,,,-0.395,...-,720,115,115.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,-0.425,...-,721,116,116.0
ipr-456,ctrp_IPR-456,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,116,278,116.0
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,117,279,117.0
ml083,ctrp_ML083,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,118,280,118.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.44799999999999995,...-,722,119,119.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,119,281,119.0
cimetidine,ctrp_cimetidine,(Tagamet) Antacid and antihistamine,,0.332,,0.332,0.05249999999999999,.+.+-,158,82,120.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.35,,0.35,,.+..,120,282,120.0
ym201636,gdsc_YM201636,Not Clinically Relevant,0.35,,,0.35,,+...,121,283,121.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.465,...-,723,121,121.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.33299999999999996,,0.333,-0.14,.+.-,154,89,121.5
cil41,ctrp_CIL41,Not Clinically Relevant,,0.349,,0.349,,.+..,122,284,122.0
nsc48300,ctrp_NSC48300,Not Clinically Relevant,,0.349,,0.349,,.+..,123,285,123.0
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,-0.49,...-,724,123,123.0
trifluoperazine,ctrp_trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.345,,0.345,-0.433,.+.-,129,117,123.0
busulfan,cmap_busulfan,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication",,,,,-0.49200000000000005,...-,725,124,124.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.348,,0.348,,.+..,124,286,124.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,125,287,125.0
etoposide,gdsc_Etoposide,Topo II inhibitor,0.273,0.33399999999999996,,0.304,0.7930000000000001,++.++,236,16,126.0
sgx-523,ctrp_SGX-523, Met inhibitor,,0.34600000000000003,,0.346,,.+..,126,288,126.0
ml031,ctrp_ML031,Not Clinically Relevant,,0.345,,0.345,,.+..,127,289,127.0
masitinib,ctrp_masitinib,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs",0.42700000000000005,0.255,,0.341,-0.45899999999999996,++.-,137,120,128.5
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.5365,...--,727,129,129.0
gsk-1059615,cmap_gsk-1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,,,,-0.561,...-,728,130,130.0
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.344,,0.344,,.+..,130,290,130.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,132,291,132.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.574,...-,729,132,132.0
azd-8055,cmap_azd-8055,mTOR inhibitor,,,,,-0.579,...-,730,133,133.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.34299999999999997,,0.343,,.+..,133,292,133.0
isoevodiamine,ctrp_isoevodiamine,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,134,293,134.0
mps-1-in-1,gdsc_MPS-1-IN-1,Not Clinically Relevant,0.34299999999999997,,,0.343,,+...,135,294,135.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.598,...---,726,135,135.0
pf-184,ctrp_PF-184,Not Clinically Relevant,,0.342,,0.342,,.+..,136,295,136.0
niclosamide,ctrp_niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.33,,0.33,-0.36700000000000005,.+.-,163,110,136.5
brd8899,ctrp_BRD8899,Not Clinically Relevant,,0.341,,0.341,,.+..,138,296,138.0
plx4720,ccle_PLX4720,Not Clinically Relevant,,,0.34,0.34,,..+.,139,297,139.0
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,-0.622,...-,731,140,140.0
hg-5-113-01,gdsc_HG-5-113-01,Not Clinically Relevant,0.33899999999999997,,,0.339,,+...,140,298,140.0
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.6559999999999999,...-,732,141,141.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.33899999999999997,,0.339,,.+..,141,299,141.0
hyperforin,ctrp_hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.311,,0.311,0.28300000000000003,.+.+,219,64,141.5
tpca-1,ctrp_TPCA-1,Not Clinically Relevant,0.397,0.281,,0.339,,++..,142,300,142.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.6629999999999999,...-,733,143,143.0
ml006,ctrp_ML006,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,144,301,144.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.713,...-,734,144,144.0
brd-k37390332,ctrp_BRD-K37390332,Not Clinically Relevant,,0.336,,0.336,,.+..,145,302,145.0
bix-01294,ctrp_BIX-01294,Not Clinically Relevant,,0.336,,0.336,,.+..,146,303,146.0
tandutinib,ctrp_tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.344,,0.344,-0.872,.+.-,131,162,146.5
hli 373,ctrp_HLI 373,Not Clinically Relevant,,0.336,,0.336,,.+..,147,304,147.0
thalidomide,ctrp_thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.302,,0.302,0.415,.+.+,245,51,148.0
ubenimex,cmap_ubenimex,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia",,,,,-0.736,...-,735,148,148.0
daporinad,ctrp_daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.384,0.289,,0.336,,++..,148,305,148.0
azd-7762,cmap_azd-7762, Chk1 / Chk2 inhibitor,,,,,-0.7440000000000001,...-,736,149,149.0
