drug_name,DMB006
PSMA3,0.9782
SLC1A5,0.9781
NIPBL,0.9781
IP6K2,0.978
POLE3,0.9779000000000001
MRPS2,0.9779000000000001
FGFR4,0.9778
CBR3,0.9777
PGBD1,0.9776
SIRPG,0.9775
pravastatin,0.9771
fluoropyruvate,0.9771
PI3K Signaling LOF,0.977
clofibrate,0.9769
STAT2,0.9765999999999999
MAPK1,0.9765
BRD-K67258146,0.9764
isoxicam,0.976
OSGEP,0.9758
TRAF1,0.9756
KCNQ1,0.9754999999999999
SMO,0.9754999999999999
SLC38A2,0.9754
KUC104502N,0.9753000000000001
LPGAT1,0.9753000000000001
MIF,0.9751000000000001
PPP2R3C,0.9751000000000001
ZNF212,0.9751000000000001
S1PR3,0.975
TRIM9,0.975
RAB11FIP2,0.975
RNH1,0.9745
SERPINC1,0.9745
TEAD2,0.9745
ERCC4,0.9743
etacrynic-acid,0.9742000000000001
TNFSF10,0.9742000000000001
PAK1,0.9741
parthenolide,0.9739
niflumic-acid,0.9739
MPL,0.9738
CD24,0.9736
tetracycline,0.9734
norepinephrine,0.9732999999999999
INHBE,0.9732
ZNF576,0.9731000000000001
RAB11FIP2,0.9731000000000001
ICAM1,0.9728
sitagliptin,0.9726
desoxycortone,0.9723
melperone,0.9718000000000001
flecainide,0.9716
testosterone,0.9715
perospirone,0.9715
E2F3,0.9712999999999999
IL1RAP,0.9712000000000001
RBM6,0.9709
CXCL2,0.9708
GPR82,0.9708
UBE2N,0.9706
tranilast,0.9704999999999999
PJA1,0.9704
SLC25A14,0.9704
HG-5-88-01,0.9704
GAA,0.9701000000000001
AP2M1,0.9699
oxcarbazepine,0.9697
TNFRSF6B,0.9695999999999999
MAPKAPK2,0.9695
LGALS8,0.9693
CPD,0.9692000000000001
arecaidine,0.9691
methantheline,0.9690000000000001
SEC24B,0.9689
salubrinal,0.9688
norgestimate,0.9684999999999999
CTLA4,0.9684
MYL6B,0.9682999999999999
PABPC1,0.9681000000000001
SHMT2,0.9681000000000001
IFI30,0.9677
guggulsterone,0.9676
ZNF354B,0.9676
GMPR2,0.9672
INPP1,0.9669
FURIN,0.9665
BRD-K06817181,0.9665
methysergide,0.9664
MSX1,0.9662999999999999
CUL2,0.9661
ABCC1,0.9661
AP4S1,0.9661
ZNF572,0.9659
CDK8,0.9658
doxepin,0.9658
EBNA1BP2,0.9653
CDIPT,0.9652
deforolimus,0.9651000000000001
MLH1,0.9651000000000001
SPHK2,0.965
TSN,0.965
HOXA5,0.9648
RBBP4,0.9648
TPM1,0.9645999999999999
CTTN,0.9645999999999999
naftopidil,0.9645999999999999
BRD-K75430629,0.9643999999999999
necrostatin-1,0.9643999999999999
IKK-2-inhibitor,0.9641
TCF7L2,0.9638
terreic-acid,0.9637
fexaramine,0.9637
nornicotine,0.9636
MRGPRX4,0.9634
PCGF6,0.9634
WARS,0.9632
LDLR,0.9632
tyrphostin-AG-112,0.963
GAK,0.963
PDXK,0.963
metanephrine,0.9625
tosyl-phenylalanyl-chloromethyl-ketone,0.9623
RBBP4,0.9623
tyrphostin-B44,0.9623
linezolid,0.9621999999999999
ZNF114,0.9620000000000001
APOM,0.9617
BRD-K87426499,0.9616
OR52B2,0.9616
MTSS1,0.9615
COG2,0.9614
ANKZF1,0.9612999999999999
PTPN1,0.9612999999999999
ISOC1,0.9611
EED,0.9611
guanfacine,0.9609000000000001
XPO7,0.9608
TCF7L2,0.9608
NDUFA3,0.9605
ZNF365,0.9604
ACD,0.9604
TG100-115,0.9601999999999999
DR1,0.96
HARS,0.9599
JAK2,0.9598
NR1H3,0.9598
lonidamine,0.9598
spectinomycin,0.9595
TM7SF2,0.9593
UBP1,0.9592
GTF3C2,0.9591
GSTP1,0.9590000000000001
RRM2,0.9588
CDK1-5-inhibitor,0.9587
altanserin,0.9584999999999999
KYNU,0.9584999999999999
SCYL3,0.9584999999999999
PPIA,0.9582999999999999
TOPBP1,0.9582999999999999
I-OMe-AG-538,0.9581000000000001
PBX1,0.958
rescinnamine,0.9578
ASH2L,0.9578
PRKCI,0.9578
GNAS,0.9576
TCS-359,0.9573999999999999
IFNGR2,0.9573999999999999
SMAD7,0.9573
CEP72,0.9571
TBK1,0.9571
NRG1,0.9570000000000001
TP53TG1,0.9569
IGSF8,0.9568000000000001
ARHGEF2,0.9568000000000001
MDM inhibitor,0.9562999999999999
PPP2CA,0.9562999999999999
SPAG4,0.9562
FBXO5,0.956
GNA15,0.956
PIK3CD,0.956
PIN1,0.9556999999999999
mirin,0.9556999999999999
ZNF619,0.9556
LCMT1,0.9556
acetyl-farnesyl-cysteine,0.9556
ZNF263,0.9556
NAA25,0.9556
F10,0.9554
trioxsalen,0.9553
ITGA4,0.9553
BX-795,0.9551999999999999
CD320,0.9551999999999999
GLOD4,0.9545999999999999
ebelactone-b,0.9545
enalapril,0.9545
TTNPB,0.9544
AP1S2,0.9542
ABCF1,0.9539
catechin,0.9539
CASK,0.9536
rimexolone,0.9534999999999999
DUT,0.9533
MDH1,0.9531999999999999
BRD-K26947839,0.953
CRCP,0.953
CHAF1B,0.9529000000000001
IFNGR1,0.9529000000000001
KUC103898N,0.9528
ERF,0.9528
SJ-172550,0.9527
RAB1B,0.9525
FZD6,0.9523999999999999
skatole,0.9523999999999999
CAMLG,0.9523
GABBR1,0.9521
gedunin,0.9520000000000001
IGFBP6,0.9519
sappanone-a,0.9517
RRM2,0.9514
beta-CCP,0.9514
RUVBL2,0.9514
FGFR3,0.9512999999999999
ZFP1,0.9512999999999999
lansoprazole,0.9511
duloxetine,0.951
POR,0.9506
Adenosine receptor agonist,0.9505
PTCH1,0.9505
DIS3,0.9503
HAX1,0.95
RAB5B,0.9499
MVP,0.9499
STUB1,0.9497
estropipate,0.9495999999999999
PVRL2,0.9495999999999999
OAT,0.9495
IFIT5,0.9494
EIF4G1,0.9494
pentoxifylline,0.9492
HIC2,0.9490999999999999
seneciphylline,0.9490999999999999
Bacterial 30S ribosomal subunit inhibitor,0.9490000000000001
ATG4A,0.9490000000000001
PHF19,0.9489
rhodomyrtoxin,0.9488
PIT,0.9487000000000001
P2RY6,0.9486
DBI,0.9486
CERS3,0.9484999999999999
GPR83,0.9484
SERPINB6,0.9483
dexketoprofen,0.9481999999999999
hydrocortisone,0.9481999999999999
UFD1L,0.9481
procyclidine,0.9478
QX-222,0.9478
PAFAH1B1,0.9477
biperiden,0.9475
LIF,0.9475
DUSP7,0.9475
SOD2,0.9475
IL1RAP,0.9473999999999999
ROCK2,0.9473999999999999
MGST2,0.9473
QX-314,0.9473
ZNF707,0.9473
MBNL2,0.9472
VX-222,0.9470999999999999
PEBP1,0.9470000000000001
LIPH,0.9469
bromocriptine,0.9469
BRL-37344,0.9469
BRPF1,0.9467
"3,3'-diindolylmethane",0.9465
gamma-homolinolenic-acid,0.9464
metixene,0.9462999999999999
SRP14,0.9462999999999999
ZNF595,0.9462999999999999
NAMPT,0.9462
B2M,0.9462
sulforaphane,0.946
PBX4,0.9458
HOXC9,0.9456
HSF2,0.9455
prostaglandin,0.9453
NONO,0.9451999999999999
ALW-II-38-3,0.9451
SATB1,0.9449
LYN,0.9440999999999999
LM-1685,0.9440999999999999
FGFRL1,0.9440000000000001
BCL2L11,0.9438
ingenol,0.9438
FAM114A2,0.9437000000000001
ERO1L,0.9434999999999999
NIPSNAP1,0.9434999999999999
FGR,0.9433
HIST1H2AC,0.9427
PRKCZ,0.9420999999999999
RITA,0.9419
NLK,0.9418000000000001
alisertib,0.9417
GW-311616,0.9415
ADORA2A,0.9414
MDM4,0.9412
BRD-A80383043,0.9409000000000001
TRIM24,0.9409000000000001
SLC16A6,0.9409000000000001
harpagoside,0.9408
IRL-2500,0.9404
ADNP2,0.9398000000000001
FADD,0.9398000000000001
SIRT7,0.9396
coumarin,0.9395
GTF2B,0.9394
TMEM110,0.9390000000000001
BRD-A93048969,0.9390000000000001
ZW10,0.9389
S100B,0.9386
PSMA8,0.9383
TFE3,0.9381999999999999
LYRM1,0.9381999999999999
erythromycin,0.9379000000000001
CHD8,0.9375
vinorelbine,0.9373999999999999
FOXJ2,0.9372
DSE,0.937
PARP15,0.937
JX-401,0.9369
UAP1,0.9368000000000001
resorcinol,0.9368000000000001
NDUFAB1,0.9367
SRC-kinase-inhibitor-II,0.9365000000000001
MPDZ,0.9362
GSTT1,0.9362
GR-79236,0.9362
SULT2A1,0.9361
BRP44,0.9359999999999999
BCKDK,0.9359000000000001
DUSP4,0.9358
FKBP14,0.9357
STAMBP,0.9356
tretinoin,0.9355
MEST,0.9355
PPP2R1A,0.9351999999999999
TXLNA,0.9351999999999999
DRAP1,0.9351999999999999
RASGRP4,0.935
vincristine,0.9348000000000001
IL8,0.9348000000000001
sumatriptan,0.9348000000000001
PPP1R8,0.9347
RAB31,0.9347
neurodazine,0.9346
ornidazole,0.9340999999999999
ANXA3,0.9338
MPZL1,0.9338
ATP5G1,0.9337000000000001
TMEM154,0.9337000000000001
ZNF454,0.9331999999999999
FLT3,0.9331
RIPK2,0.9329999999999999
amylocaine,0.9329000000000001
idarubicin,0.9328
FKBP3,0.9326000000000001
CHUK,0.9326000000000001
NFATC2,0.9323999999999999
ICAM3,0.9323999999999999
oligomycin-a,0.9323
2-aminopurine,0.9320999999999999
UTP14A,0.9318000000000001
SLC36A4,0.9317
IL6,0.9315000000000001
PRMT3,0.9314
USP1,0.9314
SC-19220,0.9314
RPS6KB1,0.9312999999999999
AK1,0.9312
CSDA,0.9309999999999999
VU-0365114-2,0.9309000000000001
lithocholic-acid,0.9308
IER3,0.9307
ASAP2,0.9306
thiotepa,0.93
DHDDS,0.9299
PRKAA2,0.9299
nocodazole,0.9298000000000001
CEBPB,0.9295
avrainvillamide-analog-3,0.9294
PTPRF,0.9293
BDKRB2,0.9292
niridazole,0.9292
SIX4,0.9292
Bile acid,0.9289000000000001
ENO1,0.9287000000000001
ANP32E,0.9287000000000001
NOTCH1,0.9287000000000001
estradiol,0.9284
ADSS,0.9281999999999999
naloxone,0.9279000000000001
pseudoephedrine,0.9278
butoconazole,0.9278
MYNN,0.9277
ANKRD49,0.9274
calycanthine,0.9272
arctigenin,0.9272
GLTSCR1,0.927
CAPN1,0.9269
BRD-K88742110,0.9268000000000001
zaprinast,0.9266
EPHX2,0.9262999999999999
CD55,0.9261
MK-212,0.9259999999999999
GCLM,0.9258
dicloxacillin,0.9257
LAMB1,0.9257
parthenolide,0.9256
BRD2,0.9254000000000001
VEGFA,0.9254000000000001
ZSWIM2,0.9253
NMRAL1,0.9248000000000001
pyrazinamide,0.9247
lysylphenylalanyl-tyrosine,0.9246
EIF1B,0.9246
GBA,0.9245
triprolidine,0.9245
FRAT2,0.9245
ST14,0.9244
securinine,0.9244
EIF2AK1,0.9244
etomidate,0.9240999999999999
PRKCH,0.9240999999999999
PAFAH1B3,0.9239
TATDN2,0.9237000000000001
HDAC1-selective,0.9236
MVP,0.9234
pyrrolidine-dithiocarbamate,0.9231999999999999
CABIN1,0.9231
PGF,0.9231
SB-218795,0.9229
YBX1,0.9229
POLD4,0.9229
GNGT2,0.9228000000000001
PSMD3,0.9227
TFAP4,0.9226000000000001
RPS6KB2,0.9224
indinavir,0.9223
ADCY9,0.922
CFD,0.9214
clobenpropit,0.9213
EMPTY_VECTOR,0.9213
ETNK1,0.9213
AZGP1,0.9211
BRD-K14236372,0.9211
TOMM22,0.9209
FXR antagonist,0.9208
PNU-120596,0.9207
Aromatase inhibitor,0.9207
fenbendazole,0.9205
felbamate,0.9201999999999999
STK24,0.92
ARAF,0.9198999999999999
hydroxyfasudil,0.9198000000000001
IKZF1,0.9197
arecaidine,0.9197
rifaximin,0.9196
ATP5B,0.9192
PFAS,0.919
NS-3694,0.919
TAL1,0.9189
BMI1,0.9188
GPR19,0.9185
SLC25A22,0.9184
piperidolate,0.9184
PRDM1,0.9183
PBXIP1,0.9181999999999999
HCFC1,0.9179
SERPINF2,0.9176000000000001
L-689560,0.9175
VAV3,0.9174
etamivan,0.9174
CELSR3,0.9174
"16,16-dimethylprostaglandin-e2",0.9168999999999999
CASK,0.9166
MRGPRD,0.9164
HNMT,0.9161
MCL1,0.9159
SSX2,0.9158
CSNK1A1L,0.9156
LAGE3,0.9156
BRD-K34608650,0.9156
GW-9662,0.9154000000000001
GSK3B,0.9152
hispidin,0.9151
FZD2,0.9151
pantoprazole,0.9148000000000001
CEP55,0.9147
CDX2,0.9147
PGAM1,0.9147
AMBP,0.9146
IGF2BP3,0.9146
RDH11,0.9145
CSNK1G3,0.9144
PT-630,0.9143000000000001
CFB,0.9142
mitotane,0.9142
RRP8,0.9140999999999999
ergocornine,0.9140999999999999
AS-604850,0.9140999999999999
MDL-11939,0.9140999999999999
L-2167,0.914
MTR,0.9138
benzohydroxamic-acid,0.9138
PYCR1,0.9137000000000001
MOK,0.9134
naltriben,0.9133
GABRB3,0.9131999999999999
"androsta-1,4-dien-3,17-dione",0.9129
ELF4,0.9129
ALG9,0.9129
cholic-acid,0.9128000000000001
sorafenib,0.9126000000000001
SLC22A4,0.9124
SLC38A3,0.9124
FCGR2A,0.9124
PRKCH,0.9123
GSK-461364,0.9122
probenecid,0.9122
NU-1025,0.912
ODC1,0.9116
NRIP3,0.9116
AP2A1,0.9109999999999999
IGFBP6,0.9107999999999999
IRF3,0.9107999999999999
propantheline,0.9107
BCL6B,0.9104000000000001
ZNF548,0.9104000000000001
MRGPRX1,0.9104000000000001
IGHMBP2,0.9103
LGALS3,0.9102
RPL7,0.9102
GYS1,0.91
BRD-K30064966,0.91
ERGIC2,0.9097
tetrabenazine,0.9096
clofazimine,0.9093000000000001
CYP1B1,0.9092
PTPN4,0.9091
NDUFB1,0.9087999999999999
BH3I-1,0.9087000000000001
Mitogen activated protein kinases LOF,0.9086
EFCAB2,0.9086
SREBF1,0.9081
prostratin,0.9079999999999999
n-arachidonyl-GABA,0.9079999999999999
roxatidine,0.9079999999999999
PIGK,0.9076000000000001
GPR151,0.9076000000000001
CETN3,0.9075
Phospholipases LOF,0.9073
RPS6KL1,0.9068999999999999
APEX1,0.9066
estrone,0.9062
CLPX,0.9061
PCCB,0.9059999999999999
ARC-239,0.9057
TLE3,0.9057
febuxostat,0.9056000000000001
XRCC6,0.9054000000000001
BML-190,0.9051
TRIB1,0.9051
BRL-50481,0.905
pregnenolone,0.905
RBBP7,0.905
cladribine,0.9048999999999999
BRD-K61463582,0.9048999999999999
SIRT6,0.9048999999999999
VKORC1,0.9048
KLF6,0.9047
methazolamide,0.9045000000000001
UGT2B28,0.9044
CARD11,0.9043000000000001
DCTD,0.9043000000000001
GPSM2,0.9043000000000001
TAF13,0.9042
BRD-K59222562,0.9041
Cyclooxygenase inhibitor,0.9037000000000001
ARX,0.9036
BNIP2,0.9033
ZNF764,0.9033
S100A11,0.9031
IL18,0.903
PPP2R2C,0.9029
RAB5A,0.9028
FOXN3,0.9028
SLC29A1,0.9028
PRD class homeoboxes and psudogenes LOF,0.9024
VEGFC,0.9024
desloratadine,0.9023
BRD-K79511609,0.9023
GSK-429286A,0.9023
indirubin,0.9023
oleylethanolamide,0.9022
EML3,0.9022
BRD-K91485395,0.9020999999999999
RARRES3,0.9018999999999999
MAP3K1,0.9018999999999999
PROS1,0.9018999999999999
PROKR1,0.9016
YES1,0.9015000000000001
ABCA5,0.9011
CREB3L1,0.9009
VDAC1,0.9006000000000001
GPR174,0.9005
carbetocin,0.9004000000000001
PKC activator,0.9003
SYK,0.9
MALT1,0.8998999999999999
LPHN1,0.8995000000000001
A2M,0.8993000000000001
phenethyl-isothiocyanate,0.8992
E2F8,0.8991
ZNF266,0.899
FZD7,0.8989
fluticasone,0.8979
COX6C,0.8978
flubendazole,0.8970999999999999
3-methyl-GABA,0.8968
PIPOX,0.8964
MIXL1,0.8959
SLC35A1,0.8957999999999999
ziprasidone,0.8956999999999999
STXBP2,0.8956999999999999
AGPAT2,0.8955
homochlorcyclizine,0.8955
NRIP1,0.8954000000000001
C1S,0.8951
SMC4,0.8951
ATP5O,0.8946
TMED9,0.8945000000000001
BTG1,0.8944
SPRY4,0.8943000000000001
S100A13,0.8942
CDKAL1,0.8937
DYRK3,0.8935
GW-6471,0.8935
HS3ST3A1,0.8935
RARRES1,0.893
isoliquiritigenin,0.8928
EPO,0.8926000000000001
NARS,0.8925
liothyronine,0.8924
ZNF444,0.8920999999999999
LARS,0.8920999999999999
CXADR,0.892
spiperone,0.8918
fenoterol,0.8918
FOXR1,0.8914
CAY-10577,0.8906000000000001
UBE2J1,0.8906000000000001
ZNF277,0.8905
amcinonide,0.8905
DPH2,0.8902
PPP2CB,0.8902
AC-55649,0.8898
ZNF74,0.8898
ASF1B,0.8896
IRF1,0.8895000000000001
SULT1A2,0.8895000000000001
FAF1,0.8894
MR-16728,0.8892
PF-543,0.8891
RBMS1,0.8887999999999999
KIAA0528,0.8886
BRD-K98297262,0.8885
TADA3,0.8884000000000001
PIGA,0.8881999999999999
ATP1A1,0.888
chlormadinone,0.8878
DBI,0.8874
RSU1,0.8874
PRSS23,0.8870999999999999
SGPL1,0.8868
ergometrine,0.8867
SU-1498,0.8863
15-delta-prostaglandin-j2,0.8861
APOE,0.8859999999999999
CPT1A,0.8856999999999999
NADH ubiquinone oxidoreductase supernumerary subunits LOF,0.8856999999999999
lumicolchicine,0.8853
quinidine,0.8851
aspirin,0.8845999999999999
ID1,0.8845000000000001
PIM1,0.8845000000000001
ITPK1,0.8844
ABCB6,0.8844
cefatrizine,0.8844
LPAR6,0.8842
ranitidine,0.8842
PREP,0.884
DDB2,0.8837999999999999
AKR1C2,0.8835999999999999
UBE2E3,0.8835999999999999
RPF1,0.8834000000000001
ZM-323881,0.8833
hydrastinine,0.8831
POLR1A,0.8828
BACH1,0.8826999999999999
PSMD5,0.8826999999999999
ACADSB,0.8826
PA2G4,0.8826
LGALS8,0.8824
TRAF6,0.8824
CAY-10618,0.8823000000000001
GPRC5A,0.882
ZBED1,0.8819
entacapone,0.8819
OAZ1,0.8818
SANT-1,0.8817
PPP3CC,0.8815000000000001
FZD3,0.8814
STK11,0.8814
EPN2,0.8813
PPIE,0.8809999999999999
GFOD1,0.8809
ERCC2,0.8808
LGALS1,0.8806
LEPRE1,0.8805
diethylcarbamazine,0.8802
ZNF521,0.8802
IL2RB,0.88
guggulsterone,0.8795000000000001
RELA,0.8793000000000001
CAB39,0.8791
GPR148,0.8786
COPS5,0.8782
IL13RA1,0.8781
AG-494,0.878
EIF5,0.8778
P2RY12,0.8776999999999999
FGFR1,0.8775
POLR3E,0.8773000000000001
cytochalasin-d,0.8773000000000001
PRKAR2B,0.877
UBA52,0.8768
RAB4A,0.8767
ZNF133,0.8765000000000001
latrepirdine,0.8764
EDNRB,0.8758
EXT2,0.8756
danazol,0.8756
Serpin peptidase inhibitors LOF,0.8752
PIAS1,0.8748999999999999
RS-67506,0.8748
DHH,0.8745999999999999
HMGA1,0.8741
NRBF2,0.8741
GR-55562,0.8740000000000001
STRADB,0.8740000000000001
SPEN,0.8737999999999999
RRAGB,0.8737999999999999
KLF4,0.8737
oxybutynin,0.8736
CP-55940,0.8734000000000001
TRAF4,0.8733
ALAS1,0.8733
CGRRF1,0.8729
NCOA4,0.8726999999999999
GSR,0.8726999999999999
NR2C1,0.8726
ICAM3,0.8726
RHEB,0.8723000000000001
nicergoline,0.8723000000000001
oxymetholone,0.8721
ZNF585A,0.8721
SLC35A3,0.8719
SLC3A1,0.8719
AARS,0.8718
clomifene,0.8715999999999999
PIK3CG,0.8715
RNF7,0.8713
ITGA1,0.8713
APBB2,0.8711
POLA2,0.8711
NRP1,0.8711
PU-H71,0.8709
HMGA1,0.8709
NAT10,0.8708
PPP2R5E,0.8703
YWHAH,0.8702
pseudopelletierine,0.8698
SNCA,0.8697
mercaptopurine,0.8695999999999999
pindolol,0.8692
TYRO3,0.8684999999999999
FBRS,0.8684999999999999
TER-14687,0.8683
BRD-K07872006,0.868
ambroxol,0.8678
PTK2,0.8671
CCRL2,0.867
GUSB,0.8669
IL7R,0.8665999999999999
HSD17B4,0.8665999999999999
KLHL21,0.8662000000000001
MIF,0.8662000000000001
POLR3D,0.8658
STO-609,0.8654999999999999
EZH2,0.8654000000000001
CCRN4L,0.8652
celecoxib,0.865
UBAP2L,0.8648
CMPD-1,0.8643000000000001
PHF16,0.8642
VUF-5681,0.8642
GATAD2B,0.8634999999999999
homoveratrylamine,0.8634000000000001
phenacetin,0.8633
PLA2G12B,0.8632
TBX3,0.8626999999999999
SENP6,0.8623999999999999
SRSF8,0.8623000000000001
CASP3,0.862
tyrphostin-51,0.862
ANKZF1,0.862
GPR123,0.8615999999999999
MTFR1,0.8614
zidovudine,0.8611
PPT1,0.861
YWHAZ,0.861
F12,0.8609
TGM2,0.8609
HDAC11,0.8606999999999999
flucytosine,0.8606999999999999
buspirone,0.8606999999999999
UROD,0.8606
raltegravir,0.8595999999999999
MAZ-51,0.8595999999999999
NFE2L1,0.8595
ATF5,0.8591
PLOD2,0.8589
PTPN12,0.8587
MDL-73005EF,0.8584999999999999
alfacalcidol,0.8584999999999999
oxiconazole,0.8583
HC-toxin,0.8578
proadifen,0.8578
BRD-K97951054,0.8576999999999999
TNF,0.8576999999999999
exemestane,0.8576
ODQ,0.8571
ofloxacin,0.8569
DTX2,0.8569
LHX8,0.8568000000000001
ZNF57,0.8565999999999999
PAK4,0.8565
PRKAR2B,0.856
TPRKB,0.8559
ARHGAP1,0.8556999999999999
RBM15,0.8554999999999999
LONRF2,0.8554999999999999
dopamine,0.8553000000000001
RUNX1,0.8553000000000001
xanthohumol,0.8553000000000001
NCL,0.8552
carbamazepine,0.8552
HEAT,0.8551000000000001
AXIN1,0.8551000000000001
GALT,0.855
tyrphostin-AG-82,0.855
E2F6,0.8547
albendazole,0.8541
FAM20B,0.8540000000000001
STAT4,0.8539
raltitrexed,0.8537
BUB1B,0.8534999999999999
ZNF561,0.8534
VU-0420363-1,0.8533
liquiritigenin,0.8529000000000001
RO-28-1675,0.8529000000000001
METTL14,0.8527
PRSS2,0.8525
acebutolol,0.8525
IRF3,0.8525
DNAJC15,0.8523999999999999
tyrphostin,0.8523000000000001
RS-504393,0.8521
SQSTM1,0.8519
XK,0.8519
ABCB7,0.8515999999999999
CDK10,0.851
ketoconazole,0.8509
KU-C103871,0.8504
