,mean_rank,weight
childhood t lymphoblastic lymphoma,521.5,2.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",522.0,2.0
mycosis fungoides and sezary syndrome,522.5,2.0
cystic fibrosis,532.5,2.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),533.0,4.0
childhood b acute lymphoblastic leukemia,533.0,9.0
esophageal adenocarcinoma,541.0,9.0
hepatoblastoma,542.0,4.0
hereditary spherocytosis,546.0,1.0
primary effusion lymphoma,553.0,3.0
paragastric lymph node,559.5,2.0
familial adenomatous polyposis,561.0,1.0
colon carcinoma,561.0,19.0
subcutaneous; right buttock,564.0,3.0
down syndrome,571.0,2.0
signet ring cell gastric adenocarcinoma,573.0,9.0
childhood acute monocytic leukemia,573.0,2.0
human papillomavirus-related cervical squamous cell carcinoma,573.0,8.0
rectal adenocarcinoma,575.0,11.0
barrett adenocarcinoma,577.0,3.0
hairy cell leukemia,579.0,3.0
thigh skin,587.0,1.0
adult b acute lymphoblastic leukemia,589.0,3.0
rectosigmoid adenocarcinoma,589.0,3.0
gastric fundus carcinoma,592.0,1.0
epithelioid cell type gastrointestinal stromal tumor,593.0,3.0
adult acute myeloid leukemia,594.5,22.0
gliosarcoma,597.5,6.0
uterine corpus leiomyosarcoma,611.0,3.0
recurrent bladder carcinoma,612.0,3.0
skin squamous cell carcinoma,619.0,1.0
papillary lung adenocarcinoma,620.0,3.0
gallbladder carcinoma,620.5,2.0
diffuse large b-cell lymphoma activated b-cell type,624.0,1.0
brca1 syndrome,626.0,1.0
"chronic eosinophilic leukemia, not otherwise specified",629.0,1.0
cervical carcinoma,641.5,2.0
cervical lymph node,643.0,5.0
adrenal cortex carcinoma,644.0,1.0
cholangiocarcinoma,652.5,2.0
oral cavity squamous cell carcinoma,663.5,6.0
right axillary lymph node,706.0,1.0
childhood acute myeloid leukemia with maturation,713.0,1.0
pelvis; innominate bone,734.5,2.0
mandible,747.0,1.0
lymphoma,783.0,1.0
vulvar melanoma,811.0,1.0
vulvar carcinoma,814.0,1.0
epithelioid sarcoma,818.0,1.0
vulvar squamous cell carcinoma,846.0,3.0
floor of mouth squamous cell carcinoma,860.0,1.0
head and neck squamous cell carcinoma,875.0,9.0
follicular lymphoma,879.0,2.0
ovary,891.0,1.0
pyriform fossa squamous cell carcinoma,895.0,1.0
parotid gland mucoepidermoid carcinoma,919.0,1.0
oral dysplasia,925.0,1.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,926.0,1.0
buccal mucosa squamous cell carcinoma,929.5,2.0
gestational choriocarcinoma,942.0,2.0
meninges,948.0,1.0
acute myelomonocytic leukemia,948.0,1.0
left cervical lymph node,950.0,1.0
thyroid gland papillary carcinoma,950.0,1.0
squamous cell carcinoma,955.0,1.0
gastric choriocarcinoma,964.0,1.0
