drug,score,moa
paclitaxel,-0.600,disrupts microtubule dynamics
tofacitinib,-0.606,JAK Kinase inhibitor
daunorubicin,-0.636,"Analog of doxorubicin, DNA intercalator, Topo II antagonist"
PHA-793887,-0.642,"CDK inhibitor, esp CDK2, CDK5 and CDK7"
phenformin,-0.655,Anti-diabetic AMPK Activator - mTOR Inhibitor - Autophagy inducer
doxorubicin,-0.669,"Topo II inhibitor, DNA intercalator"
dasatinib,-0.671,"BCR-Abl, Src, c-Kit inhibitor"
megestrol,-0.679,steroidal progestin used in the treatment of breast and endometrial cancer
linsitinib,-0.680,IGF-1R inhibitor
triptolide,-0.684,"diterpenoid epoxide from thunder god vine, may act on the XBP helicase that is a part of the TFIIH transcription factor complex"
pidorubicine,-0.684,"Analog of doxorubicin, DNA intercalator, Topo II antagonist"
pirarubicin,-0.692,"Analog of doxorubicin, DNA intercalator, Topo II antagonist"
GDC-0941,-0.711,"Pictilisib, potent inhibitor of PI3Kα/δ, with modest selectivity against p110β (11-fold) and p110γ"
saracatinib,-0.721,"kinase inhibitor, with selectivity against Src and Bcr-Abl"
cyclophosphamide,-0.721,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)"
entinostat,-0.724,HDAC inhibitor
AZD-7762,-0.730, Chk1 / Chk2 inhibitor
alvocidib,-0.730,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9"
tivozanib,-0.737,VEGFR inhibitor
riluzole,-0.748,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors"
busulfan,-0.749,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication"
daunorubicin,-0.765,"Analog of doxorubicin, DNA intercalator, Topo II antagonist"
quizartinib,-0.773,Flt3 inhibitor
YM-155,-0.780,"YM155 (Sepantronium Bromide), survivin suppressant "
fluvastatin,-0.788,"HMG-CoA reductase inhibitor,"
granisetron,-0.806,5-HT3 receptor antagonist used as an antiemetic
fludarabine,-0.827,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
floxuridine,-0.831,"antimetabolite,  catabolized to 5-fluorouracil"
pazopanib,-0.832,"KIT, FGFR, PDGFR and VEGFR inhibitor"
tamibarotene,-0.850,"retinobenzoic acid, synthetic retinoid used to treat APL"
idarubicin,-0.854,"Topo II inhibitor, intercalates into DNA, anthracycline"
linifanib,-0.857,"RTK inhibitor, targets VEGFR, PDGFR, KDR, and CSF-1R"
mitomycin-c,-0.858,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
etomoxir,-0.859,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
topotecan,-0.863,Topo I inhibitor
imatinib,-0.874,"Bcr-abl, c-kit and PDGFR inhibitor"
erismodegib,-0.878,Hedgehog (Smoothened) antagonist (LDE225)
hydrocortisone,-0.893,Anti-inflammatory
propranolol,-0.911,"beta-blocker, used to treat high blood pressure, may have anti-cancer activity"
mitoxantrone,-0.912,Topoisomerase II inhibitor; disrupts DNA synthesis and DNA repair 
docetaxel,-0.921,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
tandutinib,-0.927,"FLT3 antagonist, also inhibits PDGFR and c-Kit, "
sulindac,-0.929,Nonsteroidal anti-Inflammatory drug
ubenimex,-0.933,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia"
ZSTK-474,-0.973,"PI3K inhibitor, inhibits all four PI3K isoforms, but most active against PI3Kδ"
veliparib,-0.977,PARP inhibitor.
cimetidine,-0.979,(Tagamet) Antacid and antihistamine
metformin,-0.982,Anti-diabetic AMPK Activator - mTOR Inhibitor - Autophagy inducer
