,mean_rank,weight
ovarian serous cystadenocarcinoma,343.5,4.0
cystic fibrosis,344.0,2.0
right axillary lymph node,347.0,1.0
lymph node,354.0,105.0
spleen,360.0,3.0
ascites,361.0,103.0
plasma cell myeloma,361.0,30.0
bladder carcinoma,364.0,51.0
poorly differentiated thyroid gland carcinoma,365.0,3.0
thyroid gland follicular carcinoma,365.0,10.0
peritoneum,366.0,1.0
intraperitoneal,368.0,1.0
mucinous gastric adenocarcinoma,368.0,3.0
pleural biphasic mesothelioma,370.0,7.0
biphasic synovial sarcoma,372.0,1.0
laryngeal squamous cell carcinoma,372.5,12.0
pancreatic carcinoma,373.0,12.0
lung adenocarcinoma,373.0,145.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",375.0,2.0
gastric choriocarcinoma,375.0,1.0
chronic lymphocytic leukemia,376.5,2.0
malignant ovarian brenner tumor,377.0,1.0
"invasive ductal carcinoma, not otherwise specified",378.0,30.0
omentum,380.0,7.0
bronchogenic carcinoma,380.5,2.0
thyroid gland undifferentiated (anaplastic) carcinoma,386.0,13.0
endometrial adenosquamous carcinoma,391.0,6.0
breast adenocarcinoma,393.0,23.0
cerebrospinal fluid,394.0,3.0
"chronic myelogenous leukemia, bcr-abl1 positive",396.5,16.0
pancreatic adenocarcinoma,397.0,39.0
chondrosarcoma,398.0,10.0
esophageal squamous cell carcinoma,399.0,59.0
childhood acute myeloid leukemia,400.0,2.0
ovarian cystadenocarcinoma,401.0,6.0
hypopharyngeal squamous cell carcinoma,403.0,5.0
gastric carcinoma,406.0,12.0
acute myeloid leukemia,409.0,1.0
glioblastoma,410.0,84.0
pelvis; innominate bone,411.5,2.0
hairy cell leukemia,414.0,3.0
gastric adenocarcinoma,419.5,26.0
ovarian clear cell adenocarcinoma,420.0,13.0
hereditary spherocytosis,420.0,1.0
skin,423.0,3.0
tongue squamous cell carcinoma,424.0,34.0
non-small cell lung carcinoma,429.5,24.0
lung,431.0,7.0
pleural malignant mesothelioma,432.0,5.0
hilar cholangiocarcinoma,433.0,1.0
ductal breast carcinoma,438.5,32.0
recurrent bladder carcinoma,440.0,3.0
gliosarcoma,440.0,6.0
pancreatic ductal adenocarcinoma,441.0,39.0
pericardial effusion,442.5,8.0
endometrial adenocarcinoma,443.0,34.0
human papillomavirus-related endocervical adenocarcinoma,443.0,4.0
gestational choriocarcinoma,444.5,2.0
celiac axis lymph node,447.0,2.0
barrett adenocarcinoma,448.0,3.0
ovarian mucinous adenocarcinoma,448.0,4.0
epstein-barr virus-related burkitt lymphoma,449.0,10.0
b-cell prolymphocytic leukemia,460.0,2.0
bladder squamous cell carcinoma,464.0,3.0
buccal mucosa squamous cell carcinoma,465.5,2.0
liver,465.5,32.0
astrocytoma,466.0,19.0
peripheral blood,470.0,107.0
myelodysplastic syndrome,470.0,1.0
marek disease,473.0,1.0
gastric tubular adenocarcinoma,475.0,11.0
skin squamous cell carcinoma,477.0,1.0
rectal adenocarcinoma,479.0,11.0
colon adenocarcinoma,481.0,61.0
cecum adenocarcinoma,486.5,18.0
childhood t acute lymphoblastic leukemia,487.0,19.0
rectosigmoid adenocarcinoma,488.0,3.0
left supraclavicular lymph node,489.5,4.0
cutaneous t-cell non-hodgkin lymphoma,490.0,2.0
pancreatic adenosquamous carcinoma,490.0,5.0
left leg muscle,492.0,3.0
ampulla of vater adenocarcinoma,492.0,2.0
mantle cell lymphoma,494.5,6.0
colon carcinoma,503.0,19.0
human papillomavirus-related cervical squamous cell carcinoma,511.5,8.0
diffuse large b-cell lymphoma germinal center b-cell type,512.0,8.0
fibrosarcoma,518.0,5.0
floor of mouth squamous cell carcinoma,519.0,1.0
signet ring cell gastric adenocarcinoma,520.0,9.0
down syndrome,521.5,2.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",524.0,2.0
undifferentiated pleomorphic sarcoma,524.5,4.0
vulvar squamous cell carcinoma,529.0,3.0
familial adenomatous polyposis,541.0,1.0
subcutaneous; right buttock,541.0,3.0
b-cell non-hodgkin lymphoma,547.0,7.0
ovarian mixed germ cell tumor,550.0,1.0
splenic lymphoma with circulating villous lymphocytes,560.0,1.0
paragastric lymph node,560.0,2.0
thoracic lymph duct,569.0,1.0
adult acute monocytic leukemia,573.0,5.0
adult t acute lymphoblastic leukemia,575.0,5.0
anaplastic astrocytoma,577.0,5.0
gallbladder carcinoma,587.5,2.0
obturator lymph node,591.0,3.0
childhood t lymphoblastic lymphoma,593.5,2.0
adrenal cortex carcinoma,601.0,1.0
oral dysplasia,605.0,1.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,620.0,1.0
esophageal adenocarcinoma,628.0,9.0
papillary lung adenocarcinoma,630.0,3.0
burkitt lymphoma,631.5,8.0
primary effusion lymphoma,634.0,3.0
buttock,646.0,2.0
squamous cell carcinoma,647.0,1.0
mycosis fungoides and sezary syndrome,658.5,2.0
adult acute myeloid leukemia,666.5,22.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),667.5,4.0
peritoneal effusion,679.5,6.0
thyroid gland sarcoma,703.0,1.0
head and neck squamous cell carcinoma,707.0,9.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,727.0,3.0
adult b acute lymphoblastic leukemia,755.0,3.0
b acute lymphoblastic leukemia,756.0,5.0
parotid gland mucoepidermoid carcinoma,763.0,1.0
cholangiocarcinoma,769.5,2.0
diffuse large b-cell lymphoma activated b-cell type,771.0,1.0
epithelioid sarcoma,774.0,1.0
mandible,775.0,1.0
pyriform fossa squamous cell carcinoma,785.0,1.0
diffuse large b-cell lymphoma,798.5,20.0
childhood acute monocytic leukemia,803.0,2.0
childhood b acute lymphoblastic leukemia,823.0,9.0
mediastinal (thymic) large b-cell lymphoma,827.0,1.0
ovary,829.0,1.0
follicular lymphoma,852.0,2.0
"chronic eosinophilic leukemia, not otherwise specified",855.0,1.0
vulvar carcinoma,872.0,1.0
vulvar melanoma,883.0,1.0
meninges,884.0,1.0
acute myelomonocytic leukemia,884.0,1.0
lymphoblastic lymphoma,894.0,1.0
uterine corpus leiomyosarcoma,923.0,3.0
left cervical lymph node,925.0,1.0
thyroid gland papillary carcinoma,925.0,1.0
