,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.504,,,0.504,0.794,+..+,10,20,15.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.828,...+,682,15,15.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.435,,,0.435,,+...,16,186,16.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.39799999999999996,,0.398,0.948,.+.+,25,7,16.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.434,,0.434,,.+..,17,187,17.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.82,...+,683,17,17.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.812,...++,680,18,18.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.425,,0.425,,.+..,18,188,18.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.419,,,0.419,,+...,19,189,19.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.418,,0.418,,.+..,20,190,20.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.41100000000000003,,,0.411,,+...,21,191,21.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.7929999999999999,...+,684,21,21.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.409,,,0.409,,+...,22,192,22.0
olaparib,ctrp_olaparib,PARP Inhibitor,0.418,0.359,,0.388,0.903,++.+,33,11,22.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.779,...+,685,23,23.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.40399999999999997,,0.404,,.+..,24,193,24.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.405,,0.405,0.691,.+.+,23,28,25.5
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.396,,0.396,,.+..,26,194,26.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.695,...+,686,27,27.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.396,,0.396,,.+..,27,195,27.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.395,,0.395,,.+..,28,196,28.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,29,197,29.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.6890000000000001,...+,687,29,29.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.392,,0.392,,.+..,30,198,30.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.6859999999999999,...+,688,30,30.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.392,,0.392,,.+..,31,199,31.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.389,,0.389,,.+..,32,200,32.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.669,...+,689,32,32.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.662,...+,690,33,33.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.384,,0.384,,.+..,34,201,34.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.379,,0.379,0.67,.+.+,37,31,34.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.591,...+,691,35,35.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.382,,0.382,,.+..,35,202,35.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.381,,0.381,,.+..,36,203,36.0
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,0.56,...+,692,37,37.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.5589999999999999,...+,693,38,38.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,38,204,38.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.377,,0.377,,.+..,39,205,39.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.376,,0.376,,.+..,40,206,40.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.375,,0.375,,.+..,41,207,41.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.537,...+,695,41,41.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.34299999999999997,,0.343,0.9840000000000001,.+.+,80,3,41.5
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6559999999999999,0.27,,0.463,0.16699999999999998,++.+,13,72,42.5
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.373,,0.373,,.+..,43,208,43.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.344,,0.344,0.898,.+.+,76,12,44.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.373,,0.373,,.+..,44,209,44.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.48700000000000004,...+,696,44,44.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.484,...+,697,45,45.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,45,210,45.0
brd-k29086754,ctrp_BRD-K29086754,Not Clinically Relevant,,0.371,,0.371,,.+..,46,211,46.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.374,,0.374,0.37224999999999997,.+.+++,42,51,46.5
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.371,,0.371,,.+..,47,212,47.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.37,,0.37,,.+..,48,213,48.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.45,...+,701,48,48.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.37,,0.37,,.+..,49,214,49.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.41700000000000004,...+,702,49,49.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.366,,0.366,,.+..,50,215,50.0
kin001-270,gdsc_KIN001-270,Not Clinically Relevant,0.365,,,0.365,,+...,51,216,51.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,0.367,...++,699,52,52.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.36200000000000004,,0.362,,.+..,52,217,52.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.36,,0.36,,.+..,53,218,53.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.359,,0.359,,.+..,54,219,54.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.34700000000000003,...+,703,55,55.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.355,,0.355,,.+..,55,220,55.0
cisplatin,gdsc_Cisplatin,Not Clinically Relevant,0.355,,,0.355,,+...,56,221,56.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.355,,0.355,,.+..,58,222,58.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.304,...+,704,58,58.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.355,,0.355,,.+..,59,223,59.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,0.29,...+,705,59,59.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,60,224,60.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,61,225,61.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.35200000000000004,,0.352,,.+..,62,226,62.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,63,227,63.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,64,228,64.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.22899999999999998,...+,706,64,64.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,65,229,65.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,66,230,66.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.349,,0.349,,.+..,67,231,67.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.349,,0.349,,.+..,68,232,68.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.349,,0.349,,.+..,69,233,69.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.19,...+-,700,69,69.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,0.185,...+,707,70,70.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.349,,0.349,,.+..,70,234,70.0
968,ctrp_968,Not Clinically Relevant,,0.348,,0.348,,.+..,71,235,71.0
brd-k44224150,ctrp_BRD-K44224150,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,72,236,72.0
brd-k84807411,ctrp_BRD-K84807411,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,73,237,73.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.345,,0.345,,.+..,74,238,74.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.314,,0.314,0.735,.+.++,124,25,74.5
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.344,,0.344,,.+..,75,239,75.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.03550000000000003,...+-,676,77,77.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,77,240,77.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,78,241,78.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,79,242,79.0
fgin-1-27,ctrp_FGIN-1-27,Not Clinically Relevant,,0.342,,0.342,,.+..,81,243,81.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.355,,0.355,-0.344,.+.-,57,106,81.5
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.341,,0.341,,.+..,82,244,82.0
sb-431542,ctrp_SB-431542,Not Clinically Relevant,,0.341,,0.341,,.+..,83,245,83.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.34,,0.34,,.+..,84,246,84.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.33899999999999997,,0.339,,.+..,85,247,85.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,86,248,86.0
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.336,,,0.336,,+...,87,249,87.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.12,...-,708,87,87.0
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.336,,0.336,,.+..,88,250,88.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,89,251,89.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.649,0.428,,0.538,-0.9840000000000001,++.-,6,174,90.0
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.32899999999999996,,0.329,,.+..,90,252,90.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,-0.18149999999999997,...++-,694,90,90.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,91,253,91.0
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.318,,0.318,0.177,.+.+,113,71,92.0
tacedinaline,ctrp_tacedinaline,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,92,254,92.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.326,,0.326,-0.109,.+.-,98,86,92.0
lomeguatrib,ctrp_lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.32799999999999996,,0.328,,.+..,93,255,93.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,94,256,94.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.311,...-,709,95,95.0
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.327,,0.327,,.+..,95,257,95.0
pf-184,ctrp_PF-184,Not Clinically Relevant,,0.327,,0.327,,.+..,96,258,96.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.316,...-,710,96,96.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.327,,0.327,,.+..,97,259,97.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,-0.325,...-,711,98,98.0
at-406,ctrp_AT-406,Not Clinically Relevant,,0.326,,0.326,,.+..,99,260,99.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.32648437500000005,...++++---,679,100,100.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.324,,0.324,,.+..,100,261,100.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,101,262,101.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.32299999999999995,,0.323,,.+..,102,263,102.0
ly-2157299,ctrp_LY-2157299,Not Clinically Relevant,,0.322,,0.322,,.+..,103,264,103.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.322,,0.322,,.+..,104,265,104.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,-0.342,...-,712,105,105.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.322,,0.322,,.+..,105,266,105.0
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.321,,0.321,,.+..,106,267,106.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.35100000000000003,...-,713,107,107.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.321,,0.321,,.+..,107,268,107.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.32,,0.32,,.+..,108,269,108.0
ml162,ctrp_ML162,Not Clinically Relevant,,0.32,,0.32,,.+..,109,270,109.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.36800000000000005,...+--,698,109,109.0
thalidomide,ctrp_thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.29,,0.29,0.473,.+.+,173,46,109.5
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.32,,0.32,,.+..,110,271,110.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,-0.415,...-,714,110,110.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.319,,0.319,,.+..,111,272,111.0
busulfan,cmap_busulfan,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication",,,,,-0.425,...-,715,111,111.0
cil70,ctrp_CIL70,Not Clinically Relevant,,0.318,,0.318,,.+..,112,273,112.0
cyclophosphamide,ctrp_cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.313,,0.313,-0.326,.+.-,125,99,112.0
sn-38,ctrp_SN-38,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active",0.316,0.289,,0.302,-0.09300000000000001,++.-,141,84,112.5
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,-0.47100000000000003,...-,716,113,113.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.24600000000000002,0.341,,0.294,0.27399999999999997,++.+,167,61,114.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.318,,0.318,,.+..,114,274,114.0
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.317,,0.317,,.+..,115,275,115.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.294,,0.294,0.20800000000000002,.+.+,164,66,115.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,-0.5660000000000001,...-,718,116,116.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.316,,0.316,,.+..,116,276,116.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.316,,0.316,,.+..,117,277,117.0
bms-754807,gdsc_BMS-754807,Not Clinically Relevant,0.311,0.321,,0.316,,++..,118,278,118.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.5765,...--,717,118,118.0
isoevodiamine,ctrp_isoevodiamine,Not Clinically Relevant,,0.315,,0.315,,.+..,119,279,119.0
tofacitinib,cmap_tofacitinib,JAK Kinase inhibitor,,,,,-0.617,...-,719,120,120.0
nintedanib,ctrp_nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.315,,0.315,,.+..,120,280,120.0
teniposide,ctrp_teniposide,Topo II inhibitor,,0.284,,0.284,0.32799999999999996,.+.+,185,56,120.5
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.315,,0.315,,.+..,121,281,121.0
azd4547,ctrp_AZD4547,"FGFR-1,2 and 3 inhibitor",,0.314,,0.314,,.+..,122,282,122.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,-0.628,...-,720,122,122.0
brd-k90370028,ctrp_BRD-K90370028,Not Clinically Relevant,,0.314,,0.314,,.+..,123,283,123.0
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,-0.631,...-,721,123,123.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.268,,0.268,0.7829999999999999,.+.+,226,22,124.0
brd8899,ctrp_BRD8899,Not Clinically Relevant,,0.312,,0.312,,.+..,126,284,126.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.66,...-,722,126,126.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,-0.6659999999999999,...-,723,127,127.0
nsc48300,ctrp_NSC48300,Not Clinically Relevant,,0.312,,0.312,,.+..,127,285,127.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.311,,0.311,,.+..,128,286,128.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.6940000000000001,...-,724,129,129.0
byl-719,ctrp_BYL-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.311,,0.311,,.+..,129,287,129.0
etoposide,gdsc_Etoposide,Topo II inhibitor,0.23600000000000002,0.292,,0.264,0.7979999999999999,++.++,241,19,130.0
nsc-207895,gdsc_NSC-207895,Not Clinically Relevant,0.311,,,0.311,,+...,130,288,130.0
sulindac,cmap_sulindac,Nonsteroidal anti-Inflammatory drug,,,,,-0.7090000000000001,...-,725,131,131.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.31,,0.31,,.+..,131,289,131.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.309,,0.309,,.+..,132,290,132.0
nsc95397,ctrp_NSC95397,Not Clinically Relevant,,0.308,,0.308,,.+..,133,291,133.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.307,,0.307,,.+..,134,292,134.0
sgx-523,ctrp_SGX-523, Met inhibitor,,0.306,,0.306,,.+..,135,293,135.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.769,...-,728,136,136.0
su11274,ctrp_SU11274,Not Clinically Relevant,,0.305,,0.305,,.+..,136,294,136.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.305,,0.305,,.+..,137,295,137.0
propranolol,cmap_propranolol,"beta-blocker, used to treat high blood pressure, may have anti-cancer activity",,,,,-0.772,...-,729,137,137.0
jw-480,ctrp_JW-480,Not Clinically Relevant,,0.305,,0.305,,.+..,138,296,138.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,-0.7859999999999999,...-,730,138,138.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.305,,0.305,,.+..,139,297,139.0
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.304,,0.304,,.+..,140,298,140.0
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.302,,0.302,,.+..,142,299,142.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.7935,...--,726,143,143.0
ym201636,gdsc_YM201636,Not Clinically Relevant,0.301,,,0.301,,+...,143,300,143.0
brd-k16147474,ctrp_BRD-K16147474,Not Clinically Relevant,,0.301,,0.301,,.+..,144,301,144.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,-0.8079999999999999,...-,731,145,145.0
brd-k75293299,ctrp_BRD-K75293299,Not Clinically Relevant,,0.301,,0.301,,.+..,145,302,145.0
pyr-41,ctrp_PYR-41,Not Clinically Relevant,,0.3,,0.3,,.+..,146,303,146.0
brd-k80183349,ctrp_BRD-K80183349,Not Clinically Relevant,,0.299,,0.299,,.+..,147,304,147.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.8109999999999999,...---,727,147,147.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.299,,0.299,,.+..,148,305,148.0
cimetidine,ctrp_cimetidine,(Tagamet) Antacid and antihistamine,,0.273,,0.273,-0.05950000000000005,.+.+-,215,81,148.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.299,,0.299,,.+..,149,306,149.0
brd-k37390332,ctrp_BRD-K37390332,Not Clinically Relevant,,0.299,,0.299,,.+..,150,307,150.0
mitoxantrone,cmap_mitoxantrone,Topoisomerase II inhibitor; disrupts DNA synthesis and DNA repair ,,,,,-0.836,...-,732,150,150.0
pitstop2,ctrp_pitstop2,Not Clinically Relevant,,0.299,,0.299,,.+..,151,308,151.0
pandacostat,ctrp_pandacostat,Not Clinically Relevant,,0.298,,0.298,,.+..,152,309,152.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.852,...-,733,153,153.0
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.298,,0.298,,.+..,153,310,153.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.8540000000000001,...-,734,154,154.0
erastin,ctrp_erastin,Not Clinically Relevant,,0.298,,0.298,,.+..,154,311,154.0
qs-11,ctrp_QS-11,Not Clinically Relevant,,0.298,,0.298,,.+..,155,312,155.0
