,mean_rank,weight
cecum adenocarcinoma,411.0,18.0
childhood t acute lymphoblastic leukemia,413.0,19.0
diffuse large b-cell lymphoma,415.5,20.0
pancreatic carcinoma,416.5,12.0
thyroid gland undifferentiated (anaplastic) carcinoma,419.0,13.0
axillary lymph node,421.5,6.0
glioblastoma,422.0,84.0
cystic fibrosis,422.0,2.0
gastric adenocarcinoma,425.0,26.0
childhood t lymphoblastic lymphoma,425.5,2.0
pancreatic ductal adenocarcinoma,429.0,39.0
melanoma,430.5,94.0
peripheral blood,433.0,107.0
"chronic myelogenous leukemia, bcr-abl1 positive",434.0,16.0
cutaneous melanoma,434.5,26.0
bone,440.0,1.0
inguinal lymph node,441.0,3.0
b acute lymphoblastic leukemia,443.0,5.0
floor of mouth squamous cell carcinoma,444.0,1.0
celiac axis lymph node,448.5,2.0
pelvis; innominate bone,448.5,2.0
left leg muscle,449.0,3.0
ampulla of vater adenocarcinoma,449.5,2.0
clear cell renal cell carcinoma,450.0,18.0
childhood acute myeloid leukemia,451.0,2.0
anaplastic astrocytoma,452.0,5.0
amelanotic melanoma,453.0,16.0
acute myeloid leukemia,454.0,1.0
groin lymph node,458.0,5.0
gallbladder carcinoma,458.0,2.0
hairy cell leukemia,462.0,3.0
pleural epithelioid mesothelioma,462.0,18.0
mediastinal (thymic) large b-cell lymphoma,463.0,1.0
ovarian cystadenocarcinoma,463.5,6.0
myelodysplastic syndrome,468.0,1.0
endometrial adenocarcinoma,469.5,34.0
astrocytoma,470.0,19.0
benign prostatic hyperplasia,470.0,1.0
chondrosarcoma,473.5,10.0
down syndrome,473.5,2.0
pericardial effusion,475.0,8.0
renal cell carcinoma,477.0,37.0
hepatoblastoma,478.5,4.0
ovarian clear cell adenocarcinoma,484.0,13.0
signet ring cell gastric adenocarcinoma,491.0,9.0
uterine corpus leiomyosarcoma,497.0,3.0
colon adenocarcinoma,499.0,61.0
lymphoma,500.0,1.0
thyroid gland follicular carcinoma,502.5,10.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),503.5,4.0
barrett adenocarcinoma,504.0,3.0
fibrosarcoma,509.0,5.0
familial adenomatous polyposis,511.0,1.0
vulvar carcinoma,512.0,1.0
undifferentiated pleomorphic sarcoma,512.5,4.0
pelvic wall,513.0,3.0
ovarian mucinous cystadenocarcinoma,516.5,2.0
adult acute myeloid leukemia,520.0,22.0
pancreatic adenosquamous carcinoma,521.0,5.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",540.0,2.0
brachialis muscle,550.0,3.0
b-cell non-hodgkin lymphoma,551.0,7.0
mycosis fungoides and sezary syndrome,553.0,2.0
acute myelomonocytic leukemia,562.0,1.0
meninges,562.0,1.0
left supraclavicular lymph node,568.0,4.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,570.0,3.0
childhood b acute lymphoblastic leukemia,570.0,9.0
ovarian mixed germ cell tumor,571.0,1.0
rectal adenocarcinoma,573.0,11.0
vulvar leiomyosarcoma,576.0,3.0
colon carcinoma,576.0,19.0
parotid gland mucoepidermoid carcinoma,577.0,1.0
gestational choriocarcinoma,581.0,2.0
papillary lung adenocarcinoma,589.0,3.0
paragastric lymph node,592.5,2.0
primary effusion lymphoma,593.0,3.0
rectosigmoid adenocarcinoma,593.0,3.0
b-cell prolymphocytic leukemia,596.0,2.0
cutaneous t-cell non-hodgkin lymphoma,596.0,2.0
hilar cholangiocarcinoma,596.0,1.0
childhood acute monocytic leukemia,606.5,2.0
follicular lymphoma,611.0,2.0
buccal mucosa squamous cell carcinoma,613.5,2.0
gliosarcoma,629.0,6.0
obturator lymph node,631.0,3.0
subcutaneous; right buttock,633.0,3.0
diffuse large b-cell lymphoma activated b-cell type,633.0,1.0
thyroid gland sarcoma,659.0,1.0
buttock,692.5,2.0
"chronic eosinophilic leukemia, not otherwise specified",697.0,1.0
head and neck squamous cell carcinoma,707.0,9.0
cholangiocarcinoma,710.5,2.0
hereditary spherocytosis,714.0,1.0
vulvar squamous cell carcinoma,724.0,3.0
right axillary lymph node,728.0,1.0
adrenal cortex carcinoma,771.0,1.0
squamous cell carcinoma,780.0,1.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,784.0,1.0
thigh skin,792.0,1.0
pleural malignant mesothelioma,799.0,5.0
thoracic lymph duct,831.0,1.0
vaginal melanoma,851.0,1.0
epithelioid sarcoma,902.0,1.0
oral dysplasia,903.0,1.0
ovary,910.0,1.0
splenic lymphoma with circulating villous lymphocytes,936.0,1.0
thyroid gland papillary carcinoma,965.0,1.0
left cervical lymph node,965.0,1.0
vulvar melanoma,975.0,1.0
