drug_name,MB002
HADHB,0.8406
PET112,0.8403
indinavir,0.8401000000000001
WASF3,0.8399
TM9SF3,0.8398
RRAGB,0.8397
BCL2A1,0.8395
JX-401,0.8390000000000001
KLF5,0.8389
STAT6,0.8388
SNX6,0.8384999999999999
TLE1,0.8379000000000001
PIAS3,0.8378
HLA-DMA,0.8371999999999999
FFAR1,0.8371
PIT,0.8371
ASCC3,0.8369
LGMN,0.8366
CANT1,0.8364
SIX4,0.8358
CRYZ,0.8358
EPHX2,0.8358
LYRM1,0.8356
Minor histocompatibility antigens LOF,0.8351999999999999
EWSR1,0.8348
repaglinide,0.8345999999999999
NS-1619,0.8341
NCF2,0.8341
IGSF8,0.8340000000000001
HSPA1B,0.8336
WH-4023,0.8336
NF-449,0.8332999999999999
USP47,0.8332999999999999
SPRY4,0.8331000000000001
TER-14687,0.8331000000000001
SCARB1,0.8331000000000001
GBA,0.8329000000000001
ASH2L,0.8325
BRD-K98297262,0.8320000000000001
mirtazapine,0.8319
ALDH3B2,0.8317
hydralazine,0.8317
carbetocin,0.8317
EBNA1BP2,0.8316
NUP85,0.8315
RNH1,0.8312999999999999
huperzine-a,0.8308
KIF14,0.8306999999999999
TXN,0.8304
PVRL2,0.8295999999999999
VX-222,0.8292
procyclidine,0.8292
CAY-10618,0.8288
lupanine,0.8287
PTPRF,0.8286
ATRX,0.8284999999999999
nitrazepam,0.8283
CMPK1,0.8283
DLG5,0.8278
CSNK1D,0.8277
DFFB,0.8276
BTG3,0.8271999999999999
VU-0400195-3,0.8268000000000001
NUDT9,0.8268000000000001
FBXO5,0.8268000000000001
CAV1,0.8267
indoprofen,0.8267
CD58,0.8265
SALL4,0.8264
ARF6,0.8256
cytochalasin-d,0.8254
SB-218795,0.8251000000000001
CHAC1,0.8249
embelin,0.8247
Benzodiazepine receptor agonist,0.8245999999999999
HBP1,0.8243
ABCF3,0.8240000000000001
LIM class homeoboxes GOF,0.8240000000000001
tandutinib,0.8238
ABHD2,0.8238
ZNF449,0.8236
IDH2,0.823
BAS-09104376,0.8229000000000001
ELAC2,0.8229000000000001
MICALL1,0.8229000000000001
brinzolamide,0.8227
BRL-52537,0.8225
KDM4B,0.8223999999999999
KIN001-220,0.8219
LPAR6,0.8216
TBP,0.8214
FEZ1,0.8214
7b-cis,0.8214
AG-370,0.8209000000000001
LPHN1,0.8201
DTX2,0.8201
DPH2,0.82
MSRA,0.8195
TCEA1,0.8190000000000001
HNMT,0.8188
UBE2D1,0.8188
probucol,0.8183
DSE,0.8183
STAP2,0.8178
PSMB8,0.8176000000000001
beclometasone,0.8173999999999999
ATIC,0.8170999999999999
PSMD3,0.8169
NUAK1,0.8168000000000001
CCL2,0.8167
BCL6,0.8164
Na-K-Cl transporter inhibitor,0.8162999999999999
AT-9283,0.8156
gabazine,0.8156
GPR84,0.8153
SYPL1,0.8151
GBGT1,0.8147
EDNRB,0.8145
MAS1L,0.8140000000000001
SYK,0.8140000000000001
SRP14,0.8139
TNFRSF1A,0.8134999999999999
NIPSNAP1,0.8134
ICAM3,0.8128
GNA11,0.8127
FLT1,0.8127
NM-PP1,0.8127
ciglitazone,0.8126000000000001
PDS5A,0.8125
RELB,0.8125
quinine,0.8123999999999999
ARC-239,0.8119
SOX4,0.8116
hydrocortisone,0.8112999999999999
Sodium channel blocker,0.8109999999999999
GPR148,0.8107
cucurbitacin-i,0.8106
ATP5L,0.8106
SLC5A6,0.8105
MDH1,0.8105
HS3ST3A1,0.8104
FOSL1,0.8103
PHF19,0.8099
altrenogest,0.8098000000000001
mecillinam,0.8097
IL18,0.8096
1-phenylbiguanide,0.8095
OSGEP,0.8092
MPDZ,0.8089
TSEN2,0.8088
cladribine,0.8087000000000001
EIF2AK1,0.8087000000000001
CAY-10415,0.8086
PRSS2,0.8084
IP6K2,0.8079999999999999
CAT,0.8079000000000001
LY-294002,0.8078
RAB5A,0.8078
gamma-homolinolenic-acid,0.8076000000000001
PIK3CB,0.8073
SIN3A,0.807
HADHB,0.8066
DYNLT3,0.8065000000000001
KDM5B,0.8065000000000001
midazolam,0.8064
DTX3L,0.8061
SNAI3,0.8056
SEC16A,0.8053
OXTR,0.8051
DNAJC15,0.8049
FADS3,0.8048000000000001
SIRPG,0.8046
UCK2,0.8046
VRK3,0.8045
AG-957,0.8042
HIF1A,0.8033
lavendustin-a,0.8033
timolol,0.8029999999999999
buspirone,0.8029999999999999
VAV3,0.8029000000000001
morphothebaine,0.8028
CFL1,0.8024
CASD1,0.8022
L-368899,0.8020999999999999
NPEPPS,0.8020999999999999
LAMP2,0.802
TEAD2,0.802
T-0070907,0.8015000000000001
SMAD5,0.8014
SERPINB5,0.8012999999999999
diclofenac,0.8011
SDM25N,0.8009000000000001
ZNF395,0.8007
HDAC1-selective,0.8007
RAD51,0.8006
GRWD1,0.8003
RDH14,0.8001
ADAM10,0.7995
ALDH1A1,0.7990999999999999
MBNL2,0.799
tropisetron,0.7988
ERO1L,0.7987000000000001
RAD23B,0.7986
reboxetine,0.7985
15-delta-prostaglandin-j2,0.7983
A2M,0.7979999999999999
podophyllotoxin,0.7973
trioxsalen,0.7970999999999999
S100A1,0.7968000000000001
desoxypeganine,0.7968000000000001
EIF2S2,0.7965000000000001
Akt Signaling GOF,0.7962
RXFP4,0.7961
DHPS,0.7959999999999999
SEC24B,0.7959
PAK4,0.7953
HLA-DPA1,0.7951999999999999
RSU1,0.7951
ICMT,0.795
TMED7,0.7945
RNF5,0.7940999999999999
PEMT,0.7933
"tropanyl-3,5-dimethylbenzoate",0.7925
TTNPB,0.7925
mocimycin,0.7924
FXR antagonist,0.7923
SPECC1L,0.7922
propantheline,0.7920999999999999
HSPA2,0.7909
SQLE,0.7905
CLIC4,0.7904000000000001
GNAS,0.7904000000000001
SENP6,0.7901
CASP3,0.79
SSX2,0.79
RTN2,0.7898999999999999
DAG1,0.7897
LY-2183240,0.7894
PTPN4,0.7892
GPR19,0.7890999999999999
SB-269970,0.789
tetrahydrobiopterin,0.7888
GNAZ,0.7888
quipazine,0.7887000000000001
TES,0.7883
PRAF2,0.7879999999999999
CXCL2,0.7879
TNFSF10,0.7875
ITPKA,0.787
1-benzylimidazole,0.7868
SLC16A6,0.7864
KIAA1033,0.7864
UBE2N,0.7864
amlodipine,0.7861
FAM20B,0.7861
CAPSL,0.7861
ZNF595,0.7857999999999999
CXCR2,0.7856000000000001
ZNF576,0.7852
NSC-632839,0.7851
ELF4,0.7848999999999999
NAT1,0.7848
JTE-013,0.7846
PCGF3,0.784
DBI,0.7836
ATP5F1,0.7834
GPRC5A,0.7829
SOCS4,0.7824
PLA2G12A,0.7824
USP16,0.7820999999999999
MLST8,0.7818999999999999
SCCPDH,0.7817000000000001
HSP inhibitor,0.7814
lidocaine,0.7811
DHX16,0.7811
CDKN2B,0.7809
SPAG4,0.7805
HPRT1,0.7803
DUSP9,0.7803
GANT-58,0.7798
AXIN2,0.7797
itopride,0.7797
ACSL3,0.7795000000000001
harpagoside,0.779
DGKZ,0.779
mestanolone,0.7787999999999999
indolophenanthridine,0.7787000000000001
ARAF,0.7787000000000001
EO-1428,0.7787000000000001
AP1S2,0.7778
