,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.7170000000000001,...+,685,23,23.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.425,,0.425,,.+..,26,194,26.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.6859999999999999,...+,686,26,26.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.418,,,0.418,,+...,28,195,28.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.41600000000000004,,0.416,,.+..,29,196,29.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.38299999999999995,,0.383,0.972,.+.+,55,3,29.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.391,,0.391,0.912,.+.+,50,10,30.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.414,,0.414,,.+..,30,197,30.0
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,0.64,...+,687,31,31.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.41200000000000003,,0.412,,.+..,32,198,32.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.41,,0.41,,.+..,33,199,33.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.37799999999999995,,0.378,0.975,.+.+,64,2,33.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.409,,0.409,,.+..,34,200,34.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.617,...+,689,34,34.0
o-6-benzylguanine,ctrp_O-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair",,0.406,,0.406,,.+..,35,201,35.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.595,...+,690,35,35.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.405,,0.405,,.+..,36,202,36.0
xmd15-27,gdsc_XMD15-27,Not Clinically Relevant,0.402,,,0.402,,+...,37,203,37.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.401,,0.401,,.+..,38,204,38.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.5579999999999999,...+,692,39,39.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.4,,0.4,,.+..,39,205,39.0
tretinoin,ctrp_tretinoin,Retinoid,0.551,0.43700000000000006,,0.494,0.33749999999999997,++.+-,16,62,39.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.39799999999999996,,0.398,,.+..,40,206,40.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.397,,0.397,,.+..,41,207,41.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.396,,0.396,,.+..,42,208,42.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.395,,0.395,,.+..,43,209,43.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.47250000000000003,...++,693,44,44.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.395,,0.395,,.+..,44,210,44.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.467,...+,694,45,45.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,45,211,45.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,46,212,46.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,0.465,...+,695,46,46.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.642,0.302,,0.472,0.20600000000000002,++.+,19,74,46.5
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.43799999999999994,...+,696,47,47.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,47,213,47.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.392,,0.392,,.+..,48,214,48.0
kin001-266,gdsc_KIN001-266,Not Clinically Relevant,0.391,,,0.391,,+...,49,215,49.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.43,...+,697,49,49.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.391,,0.391,,.+..,51,216,51.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.42100000000000004,...+,698,51,51.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.418,...+,699,52,52.0
kin001-236,gdsc_KIN001-236,Not Clinically Relevant,0.38799999999999996,,,0.388,,+...,52,217,52.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.38799999999999996,,0.388,,.+..,53,218,53.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,0.4105,...+++,682,53,53.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.387,,0.387,,.+..,54,219,54.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.391,...+,700,56,56.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.382,,0.382,,.+..,56,220,56.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.39,...+,701,57,57.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.382,,0.382,,.+..,57,221,57.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.382,,0.382,,.+..,58,222,58.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.381,,0.381,,.+..,59,223,59.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.375,...+,702,60,60.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.38,,0.38,,.+..,60,224,60.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.38,,0.38,,.+..,61,225,61.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.37200000000000005,...+,703,61,61.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.38,,0.38,,.+..,62,226,62.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.316,...+,704,64,64.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.376,,0.376,,.+..,65,227,65.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,0.303,...+,705,66,66.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.375,,0.375,,.+..,66,228,66.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.38,,0.38,0.26699999999999996,.+.++-,63,69,66.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.373,,0.373,,.+..,67,229,67.0
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.37200000000000005,,,0.372,,+...,68,230,68.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,69,231,69.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.371,,0.371,,.+..,70,232,70.0
propranolol,cmap_propranolol,"beta-blocker, used to treat high blood pressure, may have anti-cancer activity",,,,,0.258,...+,706,70,70.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.371,,0.371,,.+..,71,233,71.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.2575,...+-,678,71,71.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.371,,0.371,,.+..,72,234,72.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.257,...+,707,72,72.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.37,,0.37,,.+..,73,235,73.0
pac-1,ctrp_PAC-1,Not Clinically Relevant,0.474,0.265,,0.37,,++..,74,236,74.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.368,,0.368,,.+..,75,237,75.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.192,...+,708,75,75.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.187,...+,709,76,76.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.368,,0.368,,.+..,76,238,76.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.368,,0.368,,.+..,77,239,77.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,0.17600000000000002,...+,710,77,77.0
vorinostat,ctrp_vorinostat,HDAC inhibitor (SAHA),0.34600000000000003,0.33799999999999997,,0.342,0.547,++.+,114,40,77.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.36700000000000005,,,0.367,,+...,78,240,78.0
gsk-1059615,cmap_gsk-1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,,,,0.171,...+,712,78,78.0
ruxolitinib,ctrp_ruxolitinib,"JAK1/2 inhibitor, used for myelofibrosis and polycythemia vera",0.6920000000000001,0.335,,0.514,-0.674,++.-,13,144,78.5
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.366,,0.366,,.+..,79,241,79.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.15849999999999997,...+-,679,79,79.0
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.365,,0.365,,.+..,80,242,80.0
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,0.155,...+,713,80,80.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.364,,0.364,,.+..,81,243,81.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,0.14550000000000002,...+-,688,81,81.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.363,,0.363,,.+..,82,244,82.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.363,,0.363,,.+..,83,245,83.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.363,,0.363,,.+..,84,246,84.0
quizartinib,ctrp_quizartinib,Flt3 inhibitor,0.585,0.282,,0.434,-0.688,++.-,24,146,85.0
968,ctrp_968,Not Clinically Relevant,,0.36200000000000004,,0.362,,.+..,85,247,85.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.36200000000000004,,0.362,,.+..,86,248,86.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,-0.04,...-,714,87,87.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.359,,0.359,,.+..,87,249,87.0
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.358,,0.358,,.+..,88,250,88.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.35600000000000004,,0.356,,.+..,89,251,89.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.355,,0.355,,.+..,90,252,90.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.353,,0.353,,.+..,91,253,91.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.353,,0.353,,.+..,92,254,92.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.583,0.461,,0.522,-0.976,++.-,11,174,92.5
gw-843682x,ctrp_GW-843682X,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,93,255,93.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,-0.1705,...+-,711,93,93.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.413,,0.413,-0.764,.+.-,31,155,93.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,94,256,94.0
temozolomide,ctrp_temozolomide,alkylating agent,0.373,0.263,,0.318,0.924,++.+,180,9,94.5
brd-k19103580,ctrp_BRD-K19103580,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,95,257,95.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.35,,0.35,,.+..,96,258,96.0
myriocin,ctrp_myriocin,Not Clinically Relevant,,0.35,,0.35,,.+..,97,259,97.0
vincristine,ctrp_vincristine,"binds tubulin, disrupts microtubule dynamics",,0.327,,0.327,0.4825,.+.+++,151,43,97.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.231,...-,716,97,97.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,-0.23199999999999998,...-,717,98,98.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.35,,0.35,,.+..,98,260,98.0
at-406,ctrp_AT-406,Not Clinically Relevant,,0.349,,0.349,,.+..,99,261,99.0
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.348,,0.348,,.+..,100,262,100.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.348,,0.348,,.+..,101,263,101.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,-0.247,...-,719,101,101.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.348,,0.348,,.+..,102,264,102.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.348,,0.348,,.+..,103,265,103.0
ubenimex,cmap_ubenimex,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia",,,,,-0.326,...-,720,104,104.0
jw-480,ctrp_JW-480,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,104,266,104.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,105,267,105.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.33,...--,718,105,105.0
brd-k29086754,ctrp_BRD-K29086754,Not Clinically Relevant,,0.345,,0.345,,.+..,106,268,106.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.345,,0.345,,.+..,107,269,107.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.344,...-,721,107,107.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.344,,0.344,,.+..,108,270,108.0
hc-067047,ctrp_HC-067047,Not Clinically Relevant,,0.344,,0.344,,.+..,109,271,109.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.34299999999999997,,0.343,-0.35600000000000004,.+.-,110,111,110.5
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.342,,0.342,,.+..,111,272,111.0
kin001-270,gdsc_KIN001-270,Not Clinically Relevant,0.342,,,0.342,,+...,112,273,112.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.342,,0.342,,.+..,113,274,113.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.409015625,...++++---,676,114,114.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.336,,0.336,-0.18100000000000002,.+.-,135,94,114.5
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.42225,...---,715,115,115.0
ml031,ctrp_ML031,Not Clinically Relevant,,0.341,,0.341,,.+..,115,275,115.0
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.341,,0.341,,.+..,116,276,116.0
pandacostat,ctrp_pandacostat,Not Clinically Relevant,,0.341,,0.341,,.+..,117,277,117.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.426,...-,722,117,117.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.31,,0.31,0.594,.+.+,200,36,118.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.341,,0.341,,.+..,118,278,118.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.34,,0.34,,.+..,119,279,119.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.34,,0.34,,.+..,120,280,120.0
brd-k44224150,ctrp_BRD-K44224150,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,121,281,121.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,-0.48,...-,723,122,122.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.33899999999999997,,0.339,,.+..,122,282,122.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.33899999999999997,,0.339,,.+..,123,283,123.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.49550000000000005,...+--,691,123,123.0
azd-7762,cmap_azd-7762, Chk1 / Chk2 inhibitor,,,,,-0.513,...-,724,124,124.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,124,284,124.0
tandutinib,ctrp_tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.299,,0.299,0.8240000000000001,.+.+,234,14,124.0
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.33899999999999997,,0.339,,.+..,125,285,125.0
pirarubicin,cmap_pirarubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.522,...-,725,125,125.0
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,126,286,126.0
busulfan,cmap_busulfan,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication",,,,,-0.556,...-,726,126,126.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.337,,0.337,-0.46399999999999997,.+.-,133,121,127.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,127,287,127.0
tivantinib,ctrp_tivantinib,Met inhibitor,,0.33899999999999997,,0.339,,.+..,128,288,128.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.5670000000000001,...-,727,128,128.0
fgin-1-27,ctrp_FGIN-1-27,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,129,289,129.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.581,...-,728,130,130.0
brd-k61166597,ctrp_BRD-K61166597,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,130,290,130.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.33799999999999997,,0.338,,.+..,131,291,131.0
isoevodiamine,ctrp_isoevodiamine,Not Clinically Relevant,,0.336,,0.336,,.+..,134,292,134.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.295,,0.295,0.6765000000000001,.+.++,244,27,135.5
fsc231,ctrp_FSC231,Not Clinically Relevant,,0.335,,0.335,,.+..,136,293,136.0
riluzole,cmap_riluzole,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors",,,,,-0.618,...-,729,137,137.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,137,294,137.0
hyperforin,ctrp_hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.298,,0.298,0.5720000000000001,.+.+,238,38,138.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,138,295,138.0
isox,ctrp_ISOX,Not Clinically Relevant,,0.332,,0.332,,.+..,139,296,139.0
niclosamide,ctrp_niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.325,,0.325,-0.45,.+.-,159,120,139.5
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.331,,0.331,,.+..,140,297,140.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.33,,0.33,,.+..,141,298,141.0
brd8899,ctrp_BRD8899,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,142,299,142.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.275,0.402,,0.338,-0.763,++.-,132,154,143.0
qs-11,ctrp_QS-11,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,143,300,143.0
masitinib,ctrp_masitinib,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs",0.4,0.252,,0.326,-0.5820000000000001,++.-,155,131,143.0
azd-8055,cmap_azd-8055,mTOR inhibitor,,,,,-0.669,...-,730,143,143.0
curcumin,ctrp_curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.302,,0.302,0.33299999999999996,.+.+,223,63,143.0
cisplatin,gdsc_Cisplatin,Not Clinically Relevant,0.32799999999999996,,,0.328,,+...,144,301,144.0
daporinad,ctrp_daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.354,0.302,,0.328,,++..,145,302,145.0
triazolothiadiazine,ctrp_triazolothiadiazine,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,146,303,146.0
gsk-3 inhibitor ix,ctrp_GSK-3 inhibitor IX,Not Clinically Relevant,,0.327,,0.327,,.+..,147,304,147.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,-0.7040000000000001,...-,731,148,148.0
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.327,,0.327,,.+..,148,305,148.0
pyr-41,ctrp_PYR-41,Not Clinically Relevant,,0.327,,0.327,,.+..,149,306,149.0
mps-1-in-1,gdsc_MPS-1-IN-1,Not Clinically Relevant,0.327,,,0.327,,+...,150,307,150.0
irinotecan,ccle_Irinotecan,"aka CPT-11, inhibitor of Topo I",,,0.28300000000000003,0.283,0.6940000000000001,..++,275,25,150.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.741,...-,732,151,151.0
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.75,...-,733,152,152.0
