,moa,GDSC,CTRP,CCLE,drug,score,evidence
ml203,Not Clinically Relevant,,0.365,,ctrp_ML203,0.365,.+.
abt-199,Bcl2 inhibitor,,0.365,,ctrp_ABT-199,0.365,.+.
brd-m00053801,Not Clinically Relevant,,0.365,,ctrp_BRD-M00053801,0.365,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.363,,ctrp_16-beta-bromoandrosterone,0.363,.+.
iu1,Not Clinically Relevant,,0.36200000000000004,,ctrp_IU1,0.362,.+.
sr1001,Not Clinically Relevant,,0.359,,ctrp_SR1001,0.359,.+.
nsc30930,Not Clinically Relevant,,0.35700000000000004,,ctrp_NSC30930,0.357,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.355,,ctrp_tacrolimus,0.355,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.354,,ctrp_fingolimod,0.354,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.354,,ctrp_sitagliptin,0.354,.+.
necrostatin-7,Not Clinically Relevant,,0.354,,ctrp_necrostatin-7,0.354,.+.
brd-k24690302,Not Clinically Relevant,,0.354,,ctrp_BRD-K24690302,0.354,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.353,,ctrp_barasertib,0.353,.+.
brd-k13999467,Not Clinically Relevant,,0.353,,ctrp_BRD-K13999467,0.353,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.35200000000000004,,ctrp_epigallocatechin-3-monogallate,0.352,.+.
jw-74,Not Clinically Relevant,,0.349,,ctrp_JW-74,0.349,.+.
nsc23766,Not Clinically Relevant,,0.34700000000000003,,ctrp_NSC23766,0.347,.+.
jw-55,Not Clinically Relevant,,0.34700000000000003,,ctrp_JW-55,0.347,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.34600000000000003,,ctrp_darinaparsin,0.346,.+.
brd-k29313308,Not Clinically Relevant,,0.345,,ctrp_BRD-K29313308,0.345,.+.
brd1835,Not Clinically Relevant,,0.344,,ctrp_BRD1835,0.344,.+.
brd-k29086754,Not Clinically Relevant,,0.344,,ctrp_BRD-K29086754,0.344,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.34299999999999997,,ctrp_foretinib,0.343,.+.
cil41,Not Clinically Relevant,,0.342,,ctrp_CIL41,0.342,.+.
ski-ii,Not Clinically Relevant,,0.342,,ctrp_SKI-II,0.342,.+.
brd-k11533227,Not Clinically Relevant,,0.341,,ctrp_BRD-K11533227,0.341,.+.
brd-k44224150,Not Clinically Relevant,,0.33799999999999997,,ctrp_BRD-K44224150,0.338,.+.
qs-11,Not Clinically Relevant,,0.33799999999999997,,ctrp_QS-11,0.338,.+.
npk76-ii-72-1,Not Clinically Relevant,0.336,,,gdsc_NPK76-II-72-1,0.336,+..
968,Not Clinically Relevant,,0.335,,ctrp_968,0.335,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.335,,ctrp_TG-100-115,0.335,.+.
elocalcitol,vitamin D receptor agonist,,0.33399999999999996,,ctrp_elocalcitol,0.334,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.33399999999999996,,ctrp_itraconazole,0.334,.+.
rg-108,Not Clinically Relevant,,0.33299999999999996,,ctrp_RG-108,0.333,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.33299999999999996,,ctrp_PX-12,0.333,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.332,,ctrp_PF-4800567 hydrochloride,0.332,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.332,,ctrp_cytarabine hydrochloride,0.332,.+.
brd-k84807411,Not Clinically Relevant,,0.331,,ctrp_BRD-K84807411,0.331,.+.
sz4ta2,Not Clinically Relevant,,0.331,,ctrp_SZ4TA2,0.331,.+.
brd-k02251932,Not Clinically Relevant,,0.33,,ctrp_BRD-K02251932,0.33,.+.
brd-k92856060,Not Clinically Relevant,,0.33,,ctrp_BRD-K92856060,0.33,.+.
mdivi-1,Not Clinically Relevant,,0.32899999999999996,,ctrp_Mdivi-1,0.329,.+.
elcpk,Not Clinically Relevant,,0.326,,ctrp_ELCPK,0.326,.+.
jw-480,Not Clinically Relevant,,0.324,,ctrp_JW-480,0.324,.+.
belinostat,HDAC inhibitor (PXD101),0.252,0.39399999999999996,,gdsc_Belinostat,0.323,++.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.322,,ctrp_MGCD-265,0.322,.+.
ml162,Not Clinically Relevant,,0.322,,ctrp_ML162,0.322,.+.
apicidin,Not Clinically Relevant,,0.322,,ctrp_apicidin,0.322,.+.
birb-796,Not Clinically Relevant,,0.322,,ctrp_BIRB-796,0.322,.+.
brd6340,Not Clinically Relevant,,0.321,,ctrp_BRD6340,0.321,.+.
lbw242,Not Clinically Relevant,,,0.321,ccle_LBW242,0.321,..+
gmx-1778,Not Clinically Relevant,,0.32,,ctrp_GMX-1778,0.32,.+.
compound 23 citrate,Not Clinically Relevant,,0.32,,ctrp_Compound 23 citrate,0.32,.+.
mst-312,Not Clinically Relevant,,0.32,,ctrp_MST-312,0.32,.+.
ac55649,Not Clinically Relevant,,0.32,,ctrp_AC55649,0.32,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.319,,ctrp_lomeguatrib,0.319,.+.
ml006,Not Clinically Relevant,,0.319,,ctrp_ML006,0.319,.+.
bendamustine,alkylating agent,,0.319,,ctrp_bendamustine,0.319,.+.
pifithrin-mu,Not Clinically Relevant,,0.318,,ctrp_pifithrin-mu,0.318,.+.
bibr-1532,Not Clinically Relevant,,0.318,,ctrp_BIBR-1532,0.318,.+.
nsc19630,Not Clinically Relevant,,0.318,,ctrp_NSC19630,0.318,.+.
pandacostat,Not Clinically Relevant,,0.317,,ctrp_pandacostat,0.317,.+.
nsc 74859,Not Clinically Relevant,,0.316,,ctrp_NSC 74859,0.316,.+.
brd-k86535717,Not Clinically Relevant,,0.316,,ctrp_BRD-K86535717,0.316,.+.
hc-067047,Not Clinically Relevant,,0.316,,ctrp_HC-067047,0.316,.+.
plx-4032,BRAF (V600E) inhibitor,,0.315,,ctrp_PLX-4032,0.315,.+.
brd-k66532283,Not Clinically Relevant,,0.315,,ctrp_BRD-K66532283,0.315,.+.
brd8899,Not Clinically Relevant,,0.315,,ctrp_BRD8899,0.315,.+.
alisertib,Aurora A kinase inhibitor,,0.314,,ctrp_alisertib,0.314,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.314,,ctrp_lenvatinib,0.314,.+.
ml083,Not Clinically Relevant,,0.314,,ctrp_ML083,0.314,.+.
necrostatin-1,Not Clinically Relevant,,0.313,,ctrp_necrostatin-1,0.313,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.312,,ctrp_omacetaxine mepesuccinate,0.312,.+.
pdmp,Not Clinically Relevant,,0.31,,ctrp_PDMP,0.31,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.366,0.255,,ctrp_daporinad,0.31,++.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.31,,ctrp_KW-2449,0.31,.+.
ym201636,Not Clinically Relevant,0.31,,,gdsc_YM201636,0.31,+..
fsc231,Not Clinically Relevant,,0.309,,ctrp_FSC231,0.309,.+.
at-406,Not Clinically Relevant,,0.309,,ctrp_AT-406,0.309,.+.
fgin-1-27,Not Clinically Relevant,,0.307,,ctrp_FGIN-1-27,0.307,.+.
nvp-adw742,Not Clinically Relevant,,0.306,,ctrp_NVP-ADW742,0.306,.+.
mi-2,Not Clinically Relevant,,0.305,,ctrp_MI-2,0.305,.+.
nsc95397,Not Clinically Relevant,,0.304,,ctrp_NSC95397,0.304,.+.
bms-754807,Not Clinically Relevant,0.32799999999999996,0.28,,ctrp_BMS-754807,0.304,++.
cucurbitacin i,Not Clinically Relevant,,0.304,,ctrp_cucurbitacin I,0.304,.+.
ly-2183240,Not Clinically Relevant,,0.304,,ctrp_LY-2183240,0.304,.+.
sgx-523, Met inhibitor,,0.304,,ctrp_SGX-523,0.304,.+.
niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.304,,ctrp_niclosamide,0.304,.+.
nsc-207895,Not Clinically Relevant,0.303,,,gdsc_NSC-207895,0.303,+..
mps-1-in-1,Not Clinically Relevant,0.303,,,gdsc_MPS-1-IN-1,0.303,+..
gsk-3 inhibitor ix,Not Clinically Relevant,,0.303,,ctrp_GSK-3 inhibitor IX,0.303,.+.
lbh-589,HDAC inhibitor,,0.303,,ctrp_LBH-589,0.303,.+.
kpt185,Not Clinically Relevant,,0.303,,ctrp_KPT185,0.303,.+.
brd-k90370028,Not Clinically Relevant,,0.302,,ctrp_BRD-K90370028,0.302,.+.
manumycin a,Not Clinically Relevant,,0.302,,ctrp_manumycin A,0.302,.+.
brd-k37390332,Not Clinically Relevant,,0.302,,ctrp_BRD-K37390332,0.302,.+.
su11274,Not Clinically Relevant,,0.3,,ctrp_SU11274,0.3,.+.
cil70,Not Clinically Relevant,,0.3,,ctrp_CIL70,0.3,.+.
trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.299,,ctrp_trifluoperazine,0.299,.+.
brd-k61166597,Not Clinically Relevant,,0.299,,ctrp_BRD-K61166597,0.299,.+.
nsc48300,Not Clinically Relevant,,0.299,,ctrp_NSC48300,0.299,.+.
ml031,Not Clinically Relevant,,0.299,,ctrp_ML031,0.299,.+.
sb-225002,Not Clinically Relevant,,0.299,,ctrp_SB-225002,0.299,.+.
vorapaxar," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine",,0.298,,ctrp_vorapaxar,0.298,.+.
isox,Not Clinically Relevant,,0.298,,ctrp_ISOX,0.298,.+.
isoevodiamine,Not Clinically Relevant,,0.297,,ctrp_isoevodiamine,0.297,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.297,,ctrp_cyclophosphamide,0.297,.+.
ceranib-2,Not Clinically Relevant,,0.297,,ctrp_ceranib-2,0.297,.+.
zm447439,Not Clinically Relevant,0.297,,,gdsc_ZM447439,0.297,+..
ki8751,Not Clinically Relevant,,0.29600000000000004,,ctrp_Ki8751,0.296,.+.
tacedinaline,Not Clinically Relevant,,0.29600000000000004,,ctrp_tacedinaline,0.296,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.295,,ctrp_AZD1480,0.295,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.293,,ctrp_AZD4547,0.293,.+.
brd-k75293299,Not Clinically Relevant,,0.293,,ctrp_BRD-K75293299,0.293,.+.
cyanoquinoline 11,Not Clinically Relevant,,0.293,,ctrp_cyanoquinoline 11,0.293,.+.
brd-k02492147,Not Clinically Relevant,,0.293,,ctrp_BRD-K02492147,0.293,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.292,,ctrp_sildenafil,0.292,.+.
cediranib,VEGFR inhibitor,,0.29100000000000004,,ctrp_cediranib,0.291,.+.
bix-01294,Not Clinically Relevant,,0.29100000000000004,,ctrp_BIX-01294,0.291,.+.
necrosulfonamide,Not Clinically Relevant,,0.29,,ctrp_necrosulfonamide,0.29,.+.
vorinostat,HDAC inhibitor (SAHA),0.294,0.28600000000000003,,ctrp_vorinostat,0.29,++.
pyr-41,Not Clinically Relevant,,0.29,,ctrp_PYR-41,0.29,.+.
pf-184,Not Clinically Relevant,,0.29,,ctrp_PF-184,0.29,.+.
n9-isopropylolomoucine,Not Clinically Relevant,,0.29,,ctrp_N9-isopropylolomoucine,0.29,.+.
brd-k80183349,Not Clinically Relevant,,0.289,,ctrp_BRD-K80183349,0.289,.+.
brd-k30019337,Not Clinically Relevant,,0.28800000000000003,,ctrp_BRD-K30019337,0.288,.+.
hli 373,Not Clinically Relevant,,0.28800000000000003,,ctrp_HLI 373,0.288,.+.
kh-cb19,Not Clinically Relevant,,0.28800000000000003,,ctrp_KH-CB19,0.288,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.28800000000000003,,ctrp_brivanib,0.288,.+.
am-580,Not Clinically Relevant,,0.28800000000000003,,ctrp_AM-580,0.288,.+.
pl-di,Not Clinically Relevant,,0.28800000000000003,,ctrp_PL-DI,0.288,.+.
qw-bi-011,Not Clinically Relevant,,0.28800000000000003,,ctrp_QW-BI-011,0.288,.+.
cil55a,Not Clinically Relevant,,0.287,,ctrp_CIL55A,0.287,.+.
brd-k71781559,Not Clinically Relevant,,0.284,,ctrp_BRD-K71781559,0.284,.+.
tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.284,,ctrp_tandutinib,0.284,.+.
neuronal differentiation inducer iii,Not Clinically Relevant,,0.284,,ctrp_neuronal differentiation inducer III,0.284,.+.
ro4929097,Notch (gamma secretase) inhibitor,,0.284,,ctrp_RO4929097,0.284,.+.
brd-k85133207,Not Clinically Relevant,,0.284,,ctrp_BRD-K85133207,0.284,.+.
triazolothiadiazine,Not Clinically Relevant,,0.28300000000000003,,ctrp_triazolothiadiazine,0.283,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.28300000000000003,,ctrp_mitomycin,0.283,.+.
cd-1530,Not Clinically Relevant,,0.281,,ctrp_CD-1530,0.281,.+.
ml312,Not Clinically Relevant,,0.281,,ctrp_ML312,0.281,.+.
ciclosporin,,,0.281,,ctrp_ciclosporin,0.281,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.28,,ctrp_gossypol,0.28,.+.
tivantinib,Met inhibitor,,0.28,,ctrp_tivantinib,0.28,.+.
yk 4-279,Not Clinically Relevant,,0.28,,ctrp_YK 4-279,0.28,.+.
brd-k17060750,Not Clinically Relevant,,0.28,,ctrp_BRD-K17060750,0.28,.+.
ch-55,Not Clinically Relevant,,0.28,,ctrp_Ch-55,0.28,.+.
entinostat,HDAC inhibitor,0.28600000000000003,0.273,,ctrp_entinostat,0.28,++.
wz3105,Not Clinically Relevant,0.28,,,gdsc_WZ3105,0.28,+..
ku-0063794,Not Clinically Relevant,,0.27899999999999997,,ctrp_KU-0063794,0.279,.+.
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9",,0.278,,ctrp_alvocidib,0.278,.+.
ql-x-138,Not Clinically Relevant,0.27699999999999997,,,gdsc_QL-X-138,0.277,+..
ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.27699999999999997,,ctrp_ciclopirox,0.277,.+.
importazole,Not Clinically Relevant,,0.27699999999999997,,ctrp_importazole,0.277,.+.
osi-027,Not Clinically Relevant,0.284,0.26899999999999996,,ctrp_OSI-027,0.276,++.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.276,,ctrp_GSK1059615,0.276,.+.
pi-103,Not Clinically Relevant,0.251,0.301,,gdsc_PI-103,0.276,++.
tgx-221,Not Clinically Relevant,,0.276,,ctrp_TGX-221,0.276,.+.
bax channel blocker,Not Clinically Relevant,,0.276,,ctrp_Bax channel blocker,0.276,.+.
thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.276,,ctrp_thalidomide,0.276,.+.
lrrk2-in-1,Not Clinically Relevant,,0.275,,ctrp_LRRK2-IN-1,0.275,.+.
cimetidine,(Tagamet) Antacid and antihistamine,,0.275,,ctrp_cimetidine,0.275,.+.
parbendazole,Not Clinically Relevant,,0.27399999999999997,,ctrp_parbendazole,0.274,.+.
ko-143,Not Clinically Relevant,,0.27399999999999997,,ctrp_Ko-143,0.274,.+.
gw-843682x,Not Clinically Relevant,,0.27399999999999997,,ctrp_GW-843682X,0.274,.+.
unc0638,Not Clinically Relevant,0.273,0.275,,gdsc_UNC0638,0.274,++.
brd1812,Not Clinically Relevant,,0.273,,ctrp_BRD1812,0.273,.+.
nvp-231,Not Clinically Relevant,,0.273,,ctrp_NVP-231,0.273,.+.
cx-5461,Not Clinically Relevant,0.272,,,gdsc_CX-5461,0.272,+..
stf-31,Not Clinically Relevant,,0.272,,ctrp_STF-31,0.272,.+.
brd-k96431673,Not Clinically Relevant,,0.271,,ctrp_BRD-K96431673,0.271,.+.
vu0155056,Not Clinically Relevant,,0.271,,ctrp_VU0155056,0.271,.+.
brd-k78574327,Not Clinically Relevant,,0.271,,ctrp_BRD-K78574327,0.271,.+.
erastin,Not Clinically Relevant,,0.271,,ctrp_erastin,0.271,.+.
bardoxolone methyl,Not Clinically Relevant,,0.271,,ctrp_bardoxolone methyl,0.271,.+.
cr-1-31b,Not Clinically Relevant,,0.27,,ctrp_CR-1-31B,0.27,.+.
gant-61,Not Clinically Relevant,,0.26899999999999996,,ctrp_GANT-61,0.269,.+.
merck60,Not Clinically Relevant,,0.26899999999999996,,ctrp_Merck60,0.269,.+.
pifithrin-alpha,Not Clinically Relevant,,0.26899999999999996,,ctrp_pifithrin-alpha,0.269,.+.
cay10618,Not Clinically Relevant,,0.268,,ctrp_CAY10618,0.268,.+.
ouabain,Not Clinically Relevant,,0.268,,ctrp_ouabain,0.268,.+.
pluripotin,Not Clinically Relevant,,0.267,,ctrp_pluripotin,0.267,.+.
fqi-2,Not Clinically Relevant,,0.267,,ctrp_FQI-2,0.267,.+.
blebbistatin,Not Clinically Relevant,,0.267,,ctrp_blebbistatin,0.267,.+.
brd-k48334597,Not Clinically Relevant,,0.267,,ctrp_BRD-K48334597,0.267,.+.
ar-42,Not Clinically Relevant,0.266,,,gdsc_AR-42,0.266,+..
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.266,,ctrp_nintedanib,0.266,.+.
sch-529074,Not Clinically Relevant,,0.265,,ctrp_SCH-529074,0.265,.+.
etp-46464,Not Clinically Relevant,,0.265,,ctrp_ETP-46464,0.265,.+.
pitstop2,Not Clinically Relevant,,0.265,,ctrp_pitstop2,0.265,.+.
kx2-391,Src inhibitor (peptidomimetic) that targets the peptide substrate site of Src,,0.265,,ctrp_KX2-391,0.265,.+.
vincristine,"binds tubulin, disrupts microtubule dynamics",,0.265,,ctrp_vincristine,0.265,.+.
cudc-101,Not Clinically Relevant,0.265,,,gdsc_CUDC-101,0.265,+..
silmitasertib,casein kinase 2 inhibitor ,,0.264,,ctrp_silmitasertib,0.264,.+.
fqi-1,Not Clinically Relevant,,0.264,,ctrp_FQI-1,0.264,.+.
b02,Not Clinically Relevant,,0.264,,ctrp_B02,0.264,.+.
simvastatin,"HMG-CoA reductase inhibitor,",,0.264,,ctrp_simvastatin,0.264,.+.
bleomycin a2,"Induces DNA strand breaks, inhibits incorporation of thymidine into DNA strands.",,0.263,,ctrp_bleomycin A2,0.263,.+.
cay10594,Not Clinically Relevant,,0.263,,ctrp_CAY10594,0.263,.+.
sb-525334,Not Clinically Relevant,,0.263,,ctrp_SB-525334,0.263,.+.
ly-2157299,Not Clinically Relevant,,0.262,,ctrp_LY-2157299,0.262,.+.
i-bet151,Not Clinically Relevant,,0.262,,ctrp_I-BET151,0.262,.+.
semagacestat,Notch (gamma secretase) inhibitor,,0.262,,ctrp_semagacestat,0.262,.+.
brd-k45681478,Not Clinically Relevant,,0.262,,ctrp_BRD-K45681478,0.262,.+.
brd-k27224038,Not Clinically Relevant,,0.261,,ctrp_BRD-K27224038,0.261,.+.
cd-437,Not Clinically Relevant,,0.26,,ctrp_CD-437,0.26,.+.
fluvastatin,"HMG-CoA reductase inhibitor,",,0.26,,ctrp_fluvastatin,0.26,.+.
brd-k34222889,Not Clinically Relevant,,0.259,,ctrp_BRD-K34222889,0.259,.+.
tipifarnib-p2,Not Clinically Relevant,,0.259,,ctrp_tipifarnib-P2,0.259,.+.
brd-k96970199,Not Clinically Relevant,,0.258,,ctrp_BRD-K96970199,0.258,.+.
cil56,Not Clinically Relevant,,0.258,,ctrp_CIL56,0.258,.+.
gsk690693,Not Clinically Relevant,0.258,,,gdsc_GSK690693,0.258,+..
brd-k35604418,Not Clinically Relevant,,0.258,,ctrp_BRD-K35604418,0.258,.+.
pf-750,Not Clinically Relevant,,0.257,,ctrp_PF-750,0.257,.+.
wz8040,Not Clinically Relevant,,0.257,,ctrp_WZ8040,0.257,.+.
dinaciclib,"CDK inhibitor, esp CDK1, 2, 5, and 9",,0.257,,ctrp_dinaciclib,0.257,.+.
regorafenib,VEGFR2-TIE2 inhibitor ,,0.257,,ctrp_regorafenib,0.257,.+.
teniposide,Topo II inhibitor,,0.257,,ctrp_teniposide,0.257,.+.
brd-k41334119,Not Clinically Relevant,,0.256,,ctrp_BRD-K41334119,0.256,.+.
rigosertib,"ON-01910, Plk-1 inhibitor",,0.256,,ctrp_rigosertib,0.256,.+.
dacarbazine,"alkylating agent, Dacarbazine works by methylating guanine at the O-6 and N-7 positions",,0.255,,ctrp_dacarbazine,0.255,.+.
brd-k70511574,Not Clinically Relevant,,0.255,,ctrp_BRD-K70511574,0.255,.+.
gw-405833,Not Clinically Relevant,,0.255,,ctrp_GW-405833,0.255,.+.
wz4002,Not Clinically Relevant,,0.254,,ctrp_WZ4002,0.254,.+.
ml311,Not Clinically Relevant,,0.254,,ctrp_ML311,0.254,.+.
purmorphamine,Not Clinically Relevant,,0.253,,ctrp_purmorphamine,0.253,.+.
srt-1720,Not Clinically Relevant,,0.253,,ctrp_SRT-1720,0.253,.+.
cal-101,"Idelalisib,  PI3K/p110δ inhibitor",,0.253,,ctrp_CAL-101,0.253,.+.
gsk2636771,"PI3K beta inhibitor, >900-fold selectivity over PI3Kα/PI3Kγ and >10-fold over PI3Kδ. ",,0.253,,ctrp_GSK2636771,0.253,.+.
curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.252,,ctrp_curcumin,0.252,.+.
cay10603,Not Clinically Relevant,0.252,,,gdsc_CAY10603,0.252,+..
gsk525762a,Not Clinically Relevant,,0.252,,ctrp_GSK525762A,0.252,.+.
narciclasine,Not Clinically Relevant,,0.252,,ctrp_narciclasine,0.252,.+.
sb-743921,kinesin spindle protein (KSP) inhibitor,,0.251,,ctrp_SB-743921,0.251,.+.
neopeltolide,Not Clinically Relevant,,0.251,,ctrp_neopeltolide,0.251,.+.
momelotinib,JAK1 and JAK2 inhibitor,,0.251,,ctrp_momelotinib,0.251,.+.
tigecycline,antibiotic used to treat a number of bacterial infections,,0.251,,ctrp_tigecycline,0.251,.+.
jq-1,Not Clinically Relevant,,0.251,,ctrp_JQ-1,0.251,.+.
