,mean_rank,weight
hereditary thyroid gland medullary carcinoma,257.0,1.0
anaplastic large cell lymphoma,257.5,8.0
undifferentiated pleomorphic sarcoma,258.0,4.0
ovarian serous cystadenocarcinoma,258.5,4.0
ovarian mucinous adenocarcinoma,259.5,4.0
osteosarcoma,262.0,23.0
inguinal lymph node,262.0,3.0
askin tumor,262.5,2.0
ovarian adenocarcinoma,266.0,5.0
spleen,266.0,3.0
primary effusion lymphoma,267.0,3.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",272.0,2.0
cerebrospinal fluid,274.0,3.0
skin nodule,274.0,1.0
abdomen,275.0,2.0
bladder squamous cell carcinoma,275.0,3.0
liposarcoma,276.0,1.0
neurofibromatosis type 1,276.0,1.0
gastric tubular adenocarcinoma,278.0,11.0
plasma cell myeloma,282.5,30.0
endometrial adenosquamous carcinoma,283.0,6.0
oligodendroglioma,283.0,5.0
erythroleukemia,285.0,3.0
gestational choriocarcinoma,285.5,2.0
tongue squamous cell carcinoma,286.0,34.0
lymph node,286.0,105.0
epstein-barr virus-related burkitt lymphoma,288.5,10.0
bone,289.0,1.0
thyroid gland follicular carcinoma,291.0,10.0
laryngeal squamous cell carcinoma,299.5,12.0
adult t acute lymphoblastic leukemia,301.0,5.0
diffuse large b-cell lymphoma germinal center b-cell type,306.5,8.0
abdominal wall,308.0,2.0
poorly differentiated thyroid gland carcinoma,309.0,3.0
esophageal squamous cell carcinoma,311.0,59.0
ovarian leiomyosarcoma,314.0,3.0
brca1 syndrome,314.0,1.0
bronchogenic carcinoma,316.5,2.0
papillary renal cell carcinoma,318.0,5.0
axillary lymph node,319.5,6.0
pleural effusion,322.5,224.0
cutaneous melanoma,322.5,26.0
peritoneal effusion,324.5,6.0
childhood t lymphoblastic lymphoma,325.0,2.0
b acute lymphoblastic leukemia,326.0,5.0
adult acute monocytic leukemia,331.0,5.0
hodgkin lymphoma,331.0,11.0
celiac axis lymph node,332.0,2.0
cervical carcinoma,333.0,2.0
melanoma,334.5,94.0
tonsillar squamous cell carcinoma,336.0,1.0
breast carcinoma,341.0,27.0
natural killer cell lymphoblastic leukemia/lymphoma,341.0,1.0
lung adenocarcinoma,341.0,145.0
hereditary spherocytosis,349.0,1.0
subserosa of fallopian tube,351.0,1.0
skin squamous cell carcinoma,355.0,1.0
ascites,356.0,103.0
n/a,358.0,34.0
glioblastoma,360.5,84.0
b-cell prolymphocytic leukemia,360.5,2.0
rhabdomyosarcoma,361.5,4.0
malignant ovarian brenner tumor,365.0,1.0
pleural epithelioid mesothelioma,365.5,18.0
mycosis fungoides and sezary syndrome,366.5,2.0
mantle cell lymphoma,366.5,6.0
ductal breast carcinoma,371.5,32.0
rhabdoid tumor of the kidney,372.0,3.0
subcutaneous,373.0,7.0
lung giant cell carcinoma,375.5,4.0
mucinous gastric adenocarcinoma,379.0,3.0
intraperitoneal,379.0,1.0
peripheral blood,380.0,107.0
vulvar squamous cell carcinoma,381.0,3.0
chronic lymphocytic leukemia,384.0,2.0
adult acute myeloid leukemia,385.5,22.0
gastric carcinoma,388.0,12.0
childhood acute myeloid leukemia,390.5,2.0
clear cell renal cell carcinoma,394.0,18.0
human papillomavirus-related cervical squamous cell carcinoma,397.5,8.0
bladder carcinoma,399.0,51.0
diffuse large b-cell lymphoma,399.5,20.0
lymphoma,400.0,1.0
ovarian serous adenocarcinoma,401.0,7.0
small intestine,402.0,1.0
biphasic synovial sarcoma,403.0,1.0
barrett adenocarcinoma,404.0,3.0
brca2 syndrome,405.0,1.0
cystic fibrosis,410.0,2.0
cutaneous t-cell non-hodgkin lymphoma,410.5,2.0
breast adenocarcinoma,412.0,23.0
acute myeloid leukemia,412.0,1.0
peritoneal ascites,413.0,2.0
undifferentiated gallbladder carcinoma,414.0,1.0
familial adenomatous polyposis,416.0,1.0
recurrent bladder carcinoma,417.0,3.0
marek disease,418.0,1.0
renal cell carcinoma,418.0,37.0
groin lymph node,419.0,5.0
pancreatic adenosquamous carcinoma,419.0,5.0
pancreatic carcinoma,420.5,12.0
pancreatic adenocarcinoma,426.0,39.0
intrahepatic cholangiocarcinoma,427.5,6.0
ovarian clear cell adenocarcinoma,430.0,13.0
"chronic myelogenous leukemia, bcr-abl1 positive",431.5,16.0
childhood t acute lymphoblastic leukemia,432.0,19.0
liver,432.5,32.0
gallbladder carcinoma,441.5,2.0
pyriform fossa squamous cell carcinoma,443.0,1.0
lung,444.0,7.0
hepatocellular carcinoma,444.0,51.0
pericardial effusion,444.5,8.0
cecum adenocarcinoma,446.5,18.0
ovarian cystadenocarcinoma,447.5,6.0
down syndrome,450.0,2.0
skin,450.0,3.0
pleural sarcomatoid mesothelioma,453.0,8.0
diffuse large b-cell lymphoma activated b-cell type,453.0,1.0
"invasive ductal carcinoma, not otherwise specified",454.5,30.0
pancreatic ductal adenocarcinoma,457.0,39.0
endometrial adenocarcinoma,459.5,34.0
gastric adenocarcinoma,463.0,26.0
floor of mouth squamous cell carcinoma,463.0,1.0
b-cell non-hodgkin lymphoma,465.0,7.0
ovarian granulosa cell tumor,465.5,2.0
amelanotic melanoma,467.5,16.0
mandible,468.0,1.0
myelodysplastic syndrome,468.0,1.0
non-small cell lung carcinoma,468.5,24.0
ovarian mucinous cystadenocarcinoma,469.0,2.0
hepatoblastoma,474.0,4.0
burkitt lymphoma,476.5,8.0
thyroid gland undifferentiated (anaplastic) carcinoma,479.0,13.0
vulvar leiomyosarcoma,488.0,3.0
adrenal cortex carcinoma,491.0,1.0
pelvis; innominate bone,493.5,2.0
colon carcinoma,494.0,19.0
benign prostatic hyperplasia,501.0,1.0
gingival squamous cell carcinoma,506.0,2.0
right axillary lymph node,511.0,1.0
ampulla of vater adenocarcinoma,518.5,2.0
lymphoblastic lymphoma,519.0,1.0
pleural malignant mesothelioma,520.0,5.0
fibrosarcoma,524.0,5.0
pleural biphasic mesothelioma,527.0,7.0
pelvic wall,528.0,3.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),529.0,4.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",542.0,2.0
esophageal adenocarcinoma,543.0,9.0
astrocytoma,545.0,19.0
"chronic eosinophilic leukemia, not otherwise specified",557.0,1.0
rectosigmoid adenocarcinoma,559.0,3.0
hilar cholangiocarcinoma,561.0,1.0
brachialis muscle,562.0,3.0
parotid gland mucoepidermoid carcinoma,564.0,1.0
ovarian mixed germ cell tumor,566.0,1.0
oral dysplasia,575.0,1.0
epithelioid cell type gastrointestinal stromal tumor,582.0,3.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,584.0,1.0
left supraclavicular lymph node,585.0,4.0
signet ring cell gastric adenocarcinoma,586.0,9.0
colon adenocarcinoma,587.0,61.0
rectal adenocarcinoma,589.0,11.0
paragastric lymph node,595.0,2.0
left leg muscle,602.0,3.0
invasive lobular breast carcinoma,603.0,1.0
obturator lymph node,604.0,3.0
follicular lymphoma,604.5,2.0
adult b acute lymphoblastic leukemia,607.0,3.0
gliosarcoma,614.0,6.0
anaplastic astrocytoma,616.0,5.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,621.0,3.0
subcutaneous; right buttock,623.0,3.0
head and neck squamous cell carcinoma,627.0,9.0
buttock,630.0,2.0
buccal mucosa squamous cell carcinoma,631.5,2.0
papillary lung adenocarcinoma,632.0,3.0
childhood acute monocytic leukemia,635.5,2.0
squamous cell carcinoma,639.0,1.0
vulvar carcinoma,660.0,1.0
childhood b acute lymphoblastic leukemia,671.0,9.0
splenic lymphoma with circulating villous lymphocytes,672.0,1.0
thoracic lymph duct,705.0,1.0
meninges,713.0,1.0
acute myelomonocytic leukemia,713.0,1.0
cholangiocarcinoma,726.5,2.0
uterine corpus leiomyosarcoma,732.0,3.0
gastric fundus carcinoma,762.0,1.0
vaginal melanoma,766.0,1.0
chondrosarcoma,767.0,10.0
vulvar melanoma,831.0,1.0
thyroid gland sarcoma,864.0,1.0
thigh skin,890.0,1.0
peritoneum,917.0,1.0
thyroid gland papillary carcinoma,947.0,1.0
left cervical lymph node,947.0,1.0
epithelioid sarcoma,972.0,1.0
ovary,981.0,1.0
