drug_name,MB009
pyrimethamine,0.9462
CEBPB,0.9462
NOSIP,0.9462
MRGPRX4,0.9459000000000001
ZNF625,0.9458
COBL,0.9458
idarubicin,0.9456
niridazole,0.9455
RS-16566,0.9455
HADHB,0.9453
IWR-1-ENDO,0.9451999999999999
CASK,0.9451
BRD-K98297262,0.945
PRSS2,0.9440000000000001
CRYZ,0.9438
Poly ADP ribose polymerases LOF,0.9438
ABT-751,0.9436
CDIPT,0.9434999999999999
PPP2R3C,0.9434
HNMT,0.9427
HLA-DRB1,0.9427
KDELR3,0.9426000000000001
YBX1,0.9425
SLC22A4,0.9423999999999999
metixene,0.9423
clomifene,0.9419
testosterone,0.9415
AS-604850,0.9412999999999999
BCL9,0.941
treprostinil,0.9408
RDH11,0.9407
amcinonide,0.9406
INHBE,0.9405
GLIS3,0.9404
LEPRE1,0.9403
EIF5,0.9403
FAM20B,0.9401
DTX2,0.9401
clofibric-acid,0.9398000000000001
rilmenidine,0.9397
prostaglandin,0.9396
PSMA8,0.9393
QRFPR,0.9392
CBR3,0.9390000000000001
TNFSF8,0.9389
TCEA1,0.9389
CELSR3,0.9383
VU-0400195-3,0.9381
HCFC1,0.9381
WASF3,0.9376000000000001
HSD17B10,0.9373999999999999
GCLM,0.9373999999999999
SMAD5,0.9373999999999999
LY-341495,0.9365000000000001
MYNN,0.9364
FGFR2,0.9362999999999999
IL10,0.9362999999999999
erythromycin,0.9362999999999999
lansoprazole,0.9362
olanzapine,0.9362
PPARD,0.9362
TOX2,0.9358
RBBP7,0.9357
CASP3,0.9356
rosmarinic-acid,0.9355
ALDH4A1,0.9355
PT-630,0.9354
prostaglandin-a1,0.9354
SPRY4,0.9353
ziprasidone,0.9353
vecuronium,0.9351999999999999
etacrynic-acid,0.9351999999999999
TACC3,0.935
clobenpropit,0.9349
ZNF212,0.9349
ponalrestat,0.9347
NDUFB1,0.9343
indirubin,0.9343
ZNF57,0.9343
CETN3,0.934
GBA,0.9339
DUT,0.9339
MAPKAPK2,0.9337000000000001
1-benzylimidazole,0.9336
IL15,0.9334
LIMK2,0.9333
MRGPRD,0.9333
HOXB5,0.9333
NQO2,0.9329999999999999
beclometasone,0.9329000000000001
SLC5A6,0.9329000000000001
ZNF277,0.9329000000000001
LIF,0.9329000000000001
GLTSCR1,0.9328
rifapentine,0.9327
CYP1B1,0.9325
CD81,0.9323999999999999
RASD1,0.9319
COASY,0.9317
tyrphostin-AG-82,0.9316
OAS1,0.9315000000000001
MTSS1,0.9314
resveratrol,0.9309999999999999
CDK1-5-inhibitor,0.9309000000000001
GATA3,0.9305
CNOT4,0.9304000000000001
ECH1,0.9303
tubastatin-a,0.9303
picrotoxin,0.9303
BRD-K51557114,0.9301
IL1B,0.9299
INS,0.9298000000000001
SMARCC2,0.9297
NIPSNAP1,0.9297
TSPAN6,0.9296
IL1RAP,0.9294
ATP5S,0.9293
STXBP2,0.9292
ZNF263,0.9287000000000001
FAM3C,0.9287000000000001
fulvestrant,0.9287000000000001
SETD1B,0.9287000000000001
ZNF595,0.9286
E2F8,0.9285
eicosatetraynoic-acid,0.9281999999999999
GSK-461364,0.9281
CFD,0.9281
ELF4,0.9277
oxymetholone,0.9276000000000001
BCL6B,0.9276000000000001
IL1RAP,0.9276000000000001
ZNF669,0.9276000000000001
amylocaine,0.9275
BRPF1,0.9274
ZNF707,0.9270999999999999
LAGE3,0.9270999999999999
ofloxacin,0.927
DNM1,0.9269
NCF2,0.9269
LPAR6,0.9268000000000001
POLA2,0.9267
L-755507,0.9266
naltriben,0.9264
F10,0.9262999999999999
FLT1,0.9261
gabazine,0.9259000000000001
EPB41L4B,0.9259000000000001
trioxsalen,0.9253
propantheline,0.9253
ketoconazole,0.9253
RRS1,0.9251999999999999
zolpidem,0.9248999999999999
IP6K2,0.9247
BRD-K86682249,0.9247
DICER1,0.9246
SOD2,0.9245
SQSTM1,0.9245
PSMD3,0.9245
KIAA0528,0.9245
huperzine-a,0.9244
ritonavir,0.9242
naloxone,0.9242
decafluorobutane,0.924
P2RY12,0.9239
TM7SF2,0.9234
FRAT2,0.9233
FKBP4,0.9233
GNAI1,0.9231999999999999
PGRMC1,0.9231
PAFAH1B2,0.9227
SERPINC1,0.9226000000000001
PLK2,0.9225
NLK,0.9224
GPR83,0.9220999999999999
lonidamine,0.9218999999999999
methysergide,0.9218000000000001
ADNP2,0.9217
MEK inhibitor,0.9217
bendroflumethiazide,0.9216
GPR160,0.9215000000000001
PRD class homeoboxes and psudogenes LOF,0.9213
BRD-K70751730,0.9207
IRF3,0.9207
MEST,0.9207
harpagoside,0.9207
PHGDH,0.9201
CD19,0.9198000000000001
TFF1,0.9198000000000001
PTPN11,0.9197
catechin,0.9197
VAPB,0.9194
CLIC4,0.9189
LHX8,0.9188
desoxypeganine,0.9187000000000001
AG-494,0.9185
IDH1,0.9184
PTP4A3,0.9183
IL6,0.9179
TRIB3,0.9178000000000001
NDUFS6,0.9178000000000001
KIF5C,0.9177
VX-745,0.9175
fluticasone,0.9172
RNF5,0.9170999999999999
BRD-A93048969,0.917
STO-609,0.917
GLOD4,0.9161
TADA3,0.9159999999999999
SLC3A1,0.9159
NDUFA3,0.9153
isogedunin,0.9152
MYCBP2,0.9152
BRD-K28680267,0.9151
RXFP4,0.9151
YWHAH,0.915
CLTB,0.915
BMY-14802,0.9148999999999999
repaglinide,0.9148999999999999
KUC104502N,0.9147
GAK,0.9146
LGALS1,0.9146
mitomycin-c,0.9145
ABCF1,0.9142
EBNA1BP2,0.9140999999999999
ARF6,0.9139
EMPTY_VECTOR,0.9138
TEAD2,0.9134
TEAD4,0.9129999999999999
LYRM1,0.9129
AKT3,0.9127
MED4,0.9127
tripelennamine,0.9122
X linked mental retardation group 2 LOF,0.9120999999999999
MAD2L1BP,0.912
duloxetine,0.9111
doxepin,0.9109999999999999
NDFIP1,0.9109
MLL3,0.9106000000000001
ASH2L,0.9103
CGP-7930,0.9103
HEAT,0.9101
westcort,0.9101
FEZ1,0.9098999999999999
GABBR1,0.9093000000000001
calycanthine,0.909
IRF9,0.9089
norgestimate,0.9089
AGPAT2,0.9085
MPL,0.9076000000000001
ABCA5,0.9074
PDLIM1,0.9072
rimexolone,0.907
BRD-K41143549,0.9067000000000001
guggulsterone,0.9067000000000001
NUDT6,0.9066
L-692585,0.9063
ASCC3,0.9063
DSE,0.9063
buspirone,0.9062
HDAC1-selective,0.9061
estradiol,0.9059
SLC1A5,0.9057999999999999
SC-19220,0.9057999999999999
desoxycortone,0.9055
diphenoxylate,0.9052
PJA1,0.9051
RPS6KB1,0.9051
IRF3,0.905
UQCRFS1,0.905
TBK1,0.9048
aminomethyltransferase,0.9045000000000001
HARS,0.9045000000000001
AP4S1,0.9045000000000001
tolterodine,0.9043000000000001
solifenacin,0.9043000000000001
gedunin,0.9043000000000001
KLHL21,0.9042
tropisetron,0.9041
tyrphostin-51,0.9037000000000001
argatroban,0.9036
SCAF8,0.9035
PPIE,0.9034
RBMS1,0.9034
LPHN2,0.9033
TPMT,0.9031999999999999
MSX2,0.9029
PWP1,0.9029
flumazenil,0.9027
TIMELESS,0.9026000000000001
Mediator complex LOF,0.9024
DHX8,0.9022
FPL-64176,0.9020999999999999
C5,0.902
GGH,0.9018999999999999
RAB31,0.9018
chlortetracycline,0.9017000000000001
YC-1,0.9015000000000001
TRAF4,0.9013
KUC103898N,0.9013
valproic-acid,0.9007
DNM1L,0.9006000000000001
FOXN3,0.9005
NDUFB4,0.9002
rifaximin,0.9001
PTDSS1,0.9001
XK,0.9
cimetidine,0.9
L-2167,0.8996999999999999
SMARCE1,0.8994
r(-)-propylnorapomorphine,0.899
BRD-K59222562,0.8989
PPP3CC,0.8986
nornicotine,0.8986
Rho GTPase activating proteins LOF,0.8985
RARRES1,0.8984000000000001
CHAF1B,0.8981999999999999
betahistine,0.8981999999999999
PPP2R3A,0.8981
FOXJ2,0.898
TRAF1,0.8978
TXNRD3,0.8975
LAP3,0.8975
CHRAC1,0.8973
naproxol,0.8969
esmolol,0.8967
SGPL1,0.8966
IFIT5,0.8963
TFAP2A,0.8962
ASAH1,0.8961
TNPO3,0.8957999999999999
LGALS8,0.8957999999999999
UTP18,0.8956000000000001
cladribine,0.8953
KLF10,0.8953
GALT,0.8952
fluocinonide,0.8951
DMSO,0.8946
noreleagnine,0.8945000000000001
EED,0.8945000000000001
MK-212,0.8944
HLF,0.8943000000000001
PLOD3,0.8943000000000001
Cyclooxygenase inhibitor,0.8941
ASF1B,0.8941
PXK,0.8939
SDM25N,0.8937
ARHGEF6,0.8936
POLRMT,0.8935
UBE2N,0.8935
CARS,0.8934000000000001
DIS3,0.8934000000000001
etomidate,0.8933
PCGF2,0.8931999999999999
FLT3,0.8931999999999999
PIAS3,0.8931999999999999
ELOVL6,0.8931
SLC7A1,0.8928
CAY-10618,0.8925
PKM2,0.8925
GSTP1,0.8920999999999999
probucol,0.8918
RHOBTB1,0.8917
BRD-K63784565,0.8917
ZKSCAN2,0.8915000000000001
BRD-K32656671,0.8911
APEX1,0.8908
zuclopenthixol,0.8906000000000001
BCL6B,0.8901
atomoxetine,0.89
GLDC,0.8893000000000001
GFOD1,0.8892
BRD-K75430629,0.8892
SU-11274,0.8891
cytochalasin-d,0.8891
ZFP1,0.8889
Thymidylate synthase inhibitor,0.8887999999999999
PKCbeta-inhibitor,0.8887
LGALS3,0.8886
CAB39,0.8885
HMGA1,0.8881999999999999
GPSM2,0.8879
TMED7,0.8876000000000001
APOE,0.8876000000000001
genistein,0.8873000000000001
FYN,0.8873000000000001
MAPK9,0.8870999999999999
Integrin subunits beta LOF,0.8869
amonafide,0.8868
POR,0.8865999999999999
EWSR1,0.8864
CAY-10577,0.8858
YES1,0.8858
pentoxifylline,0.8856999999999999
farnesol,0.8856999999999999
IGFBP3,0.8856
PRKAB1,0.8856
IGFBP6,0.8855
ELK3,0.8853
ARHGAP1,0.885
L-701324,0.8848999999999999
mycophenolate-mofetil,0.8848
SIRPG,0.8847
oxcarbazepine,0.8845999999999999
MEF2A,0.8844
PLA2G2A,0.8842
CERS3,0.8842
FZD6,0.8841
BRD-K65285700,0.8834000000000001
ZNF521,0.8831
RNF166,0.8831
SOCS4,0.8826
SMU1,0.8826
SLC7A5,0.8826
acebutolol,0.8823000000000001
DPH2,0.8820999999999999
OAT,0.8818
SATB1,0.8818
KLF6,0.8815999999999999
TNFSF10,0.8815999999999999
KCNQ1,0.8814
TMED9,0.8814
SMYD3,0.8812000000000001
Bacterial 30S ribosomal subunit inhibitor,0.8812000000000001
alfadolone,0.8811
SRC,0.8804000000000001
ASAP2,0.8803
SIRT7,0.8802
RPS6KA4,0.8802
SLC16A6,0.8801000000000001
SLC25A14,0.8801000000000001
MCL1,0.8798999999999999
WZ-4002,0.8791
ICAM3,0.8791
irinotecan,0.879
PSMD9,0.8789
PDXK,0.8787
NDUFB6,0.8784000000000001
ITGB4,0.8782
OSR2,0.8781
danusertib,0.8781
FGB,0.8779
TBPL1,0.8778
RHO-kinase-inhibitor-III[rockout],0.8776999999999999
WNT9A,0.8774
Wnt family LOF,0.8773000000000001
MALT1,0.8773000000000001
U0126,0.8773000000000001
OTUD3,0.8768
TTNPB,0.8768
ZNF563,0.8767
STAMBP,0.8765999999999999
SOS2,0.8764
baeomycesic-acid,0.8761
AG-370,0.8755
PDGFRB,0.8754000000000001
BRD-K26947839,0.8752
BRD-A80383043,0.8748
NRBP1,0.8747
PROS1,0.8747
GTDC1,0.8745999999999999
ZNF174,0.8743000000000001
beta-CCP,0.8742
VEGFC,0.8742
LGALS8,0.8739
tremorine,0.8728
BDKRB2,0.8726
RNPS1,0.872
IFNAR2,0.872
triamcinolone,0.8718
flucytosine,0.8717
HEATR1,0.8712000000000001
CSNK1D,0.8711
altanserin,0.8709
DTX3L,0.87
hydrastinine,0.87
fusaric-acid,0.8698999999999999
SUPV3L1,0.8694
TCS-359,0.8693000000000001
PDGFRA,0.8689
CALM3,0.8686
ATP1A3,0.8684999999999999
SMS,0.8684999999999999
ASNS,0.8684000000000001
benzbromarone,0.8681
NFATC2,0.8679000000000001
BMS-641988,0.8678
sunitinib,0.8676999999999999
FUT1,0.8672
S100B,0.8671
tetracycline,0.867
clofibrate,0.867
ATMIN,0.8667
norketamine,0.8664000000000001
beclometasone,0.8663
PLEKHM1,0.8663
mirtazapine,0.8659
CD24,0.8659
DLC1,0.8654000000000001
doxercalciferol,0.8653
benzanthrone,0.8649
FPGS,0.8649
PGBD1,0.8649
STXBP1,0.8649
STK33,0.8647
flunarizine,0.8645999999999999
MMP1,0.8645
BMS-191011,0.8643000000000001
carbinoxamine,0.8643000000000001
parthenolide,0.8640000000000001
pyrrolidine-dithiocarbamate,0.8637999999999999
SHMT2,0.8636
"tropanyl-3,5-dimethylbenzoate",0.8634999999999999
RASGRP4,0.8634999999999999
tosyl-phenylalanyl-chloromethyl-ketone,0.8633
PAK1,0.863
MEK1-2-inhibitor,0.8629000000000001
loxapine,0.8626
BCKDK,0.8622
AK2,0.8621
zacopride,0.8618000000000001
PVRL2,0.8615999999999999
EIF5A,0.8614
LY-278584,0.8606999999999999
MMP7,0.8604999999999999
LSM5,0.8603000000000001
lithocholic-acid,0.8601000000000001
CDX2,0.86
CD81,0.8592
PTK2,0.8591
MXD4,0.8589
ipriflavone,0.8581
SLC38A2,0.8573999999999999
TRAK2,0.8573000000000001
tacrolimus,0.8571
MRPS2,0.8569
CYP1A1,0.8568000000000001
ITGA4,0.8567
flecainide,0.8565999999999999
RRAGD,0.8565999999999999
TOPBP1,0.8563
ambroxol,0.856
GSK-429286A,0.8554999999999999
AURKB,0.8554999999999999
epigallocatechin,0.8553000000000001
rosiglitazone,0.8545999999999999
HDAC1,0.8543999999999999
CD58,0.8541
POLR1A,0.8540000000000001
SANT-1,0.8540000000000001
FGFR inhibitor,0.8539
RNH1,0.8534
ARID5B,0.8534
PAQR7,0.8533
hispidin,0.8531
GPR151,0.853
LARS,0.8528
CREBL2,0.8528
PD-173074,0.8526
TNFRSF6B,0.8526
TIMM9,0.8525
moexipril,0.852
doxylamine,0.8518000000000001
BCL2L1,0.8518000000000001
BCL2L11,0.8515999999999999
CD19,0.8514
ipsapirone,0.8514
PCGF6,0.8513
RIOK2,0.8513
SEC14L1,0.8512000000000001
synephrine,0.8511
lobeline,0.851
UBE2J1,0.851
NTRK1,0.8509
QARS,0.8506
TTNPB,0.8504
amiloride,0.8498
HOOK2,0.8497
AOC3,0.8495999999999999
sorafenib,0.8493
RABGGTA,0.8489
PAFAH1B2,0.8488
ATP7A,0.8487
TNFRSF1A,0.8487
midodrine,0.8478
idebenone,0.8478
EDNRB,0.8473
terreic-acid,0.8473
PIK3CB,0.8471
SLC25A5,0.8471
ZNF195,0.847
RAD51,0.8469
AMBP,0.8464
POU5F2,0.846
TMEM174,0.8459
RALBP1,0.8456
SQLE,0.8452
HMGB4,0.8452
NR1H3,0.8452
BLMH,0.8451000000000001
EPHA3,0.8443999999999999
GR-159897,0.8442000000000001
nicardipine,0.8438
SHMT2,0.8434
alisertib,0.8432
orantinib,0.8431000000000001
COQ3,0.8427
GOT1,0.8422
FBXO11,0.8419
UNC-0321,0.8419
ATP6V0C,0.8417
SLC35A3,0.841
PIGB,0.8409
PIT,0.8406
MLN-8054,0.8406
triamcinolone,0.8405
AM-404,0.8403
itopride,0.8403
RS-102895,0.8397
raloxifene,0.8395
F3,0.8393999999999999
arecaidine,0.8393
LEF1,0.8392000000000001
PDXK,0.8386
streptozotocin,0.8386
ERLIN1,0.8384999999999999
LYN,0.8384999999999999
AFP,0.8382999999999999
resorcinol,0.8381000000000001
LY-320135,0.8373
