,mean_rank,weight
poorly differentiated thyroid gland carcinoma,371.0,3.0
gallbladder carcinoma,371.0,2.0
duodenal adenocarcinoma,375.0,1.0
"invasive ductal carcinoma, not otherwise specified",375.0,30.0
omentum,375.0,7.0
anaplastic large cell lymphoma,377.0,8.0
astrocytoma,378.0,19.0
breast adenocarcinoma,381.0,23.0
adult acute monocytic leukemia,385.0,5.0
myeloid leukemia associated with down syndrome,388.0,1.0
pancreatic carcinoma,391.0,12.0
intrahepatic cholangiocarcinoma,395.0,6.0
pleural biphasic mesothelioma,400.0,7.0
gastric carcinoma,400.5,12.0
clear cell renal cell carcinoma,401.5,18.0
childhood acute myeloid leukemia,405.0,2.0
vulvar leiomyosarcoma,406.0,3.0
thyroid gland undifferentiated (anaplastic) carcinoma,407.0,13.0
ovarian cystadenocarcinoma,409.5,6.0
recurrent bladder carcinoma,413.0,3.0
bladder carcinoma,416.0,51.0
hodgkin lymphoma,418.0,11.0
pancreatic adenosquamous carcinoma,420.0,5.0
pericardial effusion,421.5,8.0
subcutaneous; right buttock,422.0,3.0
human papillomavirus-related endocervical adenocarcinoma,423.0,4.0
marek disease,428.0,1.0
bone,429.0,1.0
tongue squamous cell carcinoma,429.5,34.0
rhabdoid tumor of the kidney,430.0,3.0
acute myeloid leukemia,430.0,1.0
adrenal cortex carcinoma,432.0,1.0
diffuse large b-cell lymphoma activated b-cell type,434.0,1.0
left leg muscle,437.0,3.0
intraperitoneal,438.0,1.0
mucinous gastric adenocarcinoma,438.0,3.0
liver,438.5,32.0
undifferentiated pleomorphic sarcoma,439.0,4.0
pleural sarcomatoid mesothelioma,444.0,8.0
brachialis muscle,447.0,3.0
ovarian clear cell adenocarcinoma,449.0,13.0
ovarian mucinous adenocarcinoma,450.0,4.0
gastric adenocarcinoma,450.0,26.0
non-small cell lung carcinoma,450.5,24.0
mandible,451.0,1.0
hepatoblastoma,451.5,4.0
endometrial adenocarcinoma,452.5,34.0
gastric tubular adenocarcinoma,454.0,11.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,456.0,1.0
pelvis; innominate bone,457.0,2.0
lung,460.0,7.0
gliosarcoma,461.5,6.0
myelodysplastic syndrome,462.0,1.0
rectal adenocarcinoma,463.0,11.0
ovarian mucinous cystadenocarcinoma,464.5,2.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",470.0,2.0
peripheral blood,470.0,107.0
skin,471.0,3.0
buttock,480.5,2.0
uterine corpus sarcoma,486.0,3.0
left supraclavicular lymph node,488.0,4.0
colon adenocarcinoma,488.0,61.0
pancreatic adenocarcinoma,490.0,39.0
cystic fibrosis,490.0,2.0
chronic lymphocytic leukemia,491.0,2.0
cecum adenocarcinoma,491.5,18.0
ampulla of vater adenocarcinoma,495.0,2.0
familial adenomatous polyposis,499.0,1.0
colon carcinoma,499.0,19.0
papillary lung adenocarcinoma,500.0,3.0
thyroid gland sarcoma,502.0,1.0
down syndrome,502.0,2.0
small intestine,505.0,1.0
fibrosarcoma,515.0,5.0
epstein-barr virus-related burkitt lymphoma,515.5,10.0
vulvar carcinoma,518.0,1.0
mantle cell lymphoma,522.5,6.0
pleural malignant mesothelioma,525.0,5.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",531.0,2.0
pancreatic ductal adenocarcinoma,532.0,39.0
"chronic myelogenous leukemia, bcr-abl1 positive",538.5,16.0
"chronic eosinophilic leukemia, not otherwise specified",546.0,1.0
human papillomavirus-related cervical squamous cell carcinoma,546.0,8.0
gingival squamous cell carcinoma,554.0,2.0
rectosigmoid adenocarcinoma,559.0,3.0
epithelioid cell type gastrointestinal stromal tumor,562.0,3.0
hilar cholangiocarcinoma,564.0,1.0
b-cell prolymphocytic leukemia,573.0,2.0
gastric fundus carcinoma,575.0,1.0
diffuse large b-cell lymphoma germinal center b-cell type,578.5,8.0
vulvar squamous cell carcinoma,582.0,3.0
mycosis fungoides and sezary syndrome,583.0,2.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),589.0,4.0
obturator lymph node,592.0,3.0
diffuse large b-cell lymphoma,597.0,20.0
peritoneum,599.0,1.0
signet ring cell gastric adenocarcinoma,603.0,9.0
hereditary spherocytosis,617.0,1.0
barrett adenocarcinoma,620.0,3.0
mediastinal (thymic) large b-cell lymphoma,623.0,1.0
benign prostatic hyperplasia,624.0,1.0
pyriform fossa squamous cell carcinoma,631.0,1.0
paragastric lymph node,637.0,2.0
peritoneal effusion,642.0,6.0
primary effusion lymphoma,643.0,3.0
cutaneous t-cell non-hodgkin lymphoma,643.5,2.0
left cervical lymph node,644.0,1.0
thyroid gland papillary carcinoma,644.0,1.0
childhood acute myeloid leukemia with maturation,651.0,1.0
b acute lymphoblastic leukemia,657.0,5.0
buccal mucosa squamous cell carcinoma,658.5,2.0
b-cell non-hodgkin lymphoma,670.0,7.0
oral dysplasia,679.0,1.0
head and neck squamous cell carcinoma,693.0,9.0
cervical carcinoma,700.5,2.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,716.0,3.0
childhood b acute lymphoblastic leukemia,716.0,9.0
esophageal adenocarcinoma,722.0,9.0
cholangiocarcinoma,772.0,2.0
burkitt lymphoma,773.5,8.0
adult acute myeloid leukemia,774.0,22.0
hairy cell leukemia,774.0,3.0
uterine corpus leiomyosarcoma,785.0,3.0
splenic lymphoma with circulating villous lymphocytes,801.0,1.0
childhood acute monocytic leukemia,806.5,2.0
adult b acute lymphoblastic leukemia,808.0,3.0
lymphoblastic lymphoma,813.0,1.0
ovary,817.0,1.0
parotid gland mucoepidermoid carcinoma,846.0,1.0
floor of mouth squamous cell carcinoma,868.0,1.0
squamous cell carcinoma,901.0,1.0
follicular lymphoma,913.0,2.0
anaplastic astrocytoma,934.0,5.0
vulvar melanoma,935.0,1.0
meninges,951.0,1.0
acute myelomonocytic leukemia,951.0,1.0
epithelioid sarcoma,974.0,1.0
