,mean_rank,weight
adult acute monocytic leukemia,438.0,5.0
gingival squamous cell carcinoma,439.0,2.0
amelanotic melanoma,439.0,16.0
biphasic synovial sarcoma,440.0,1.0
pericardial effusion,447.0,8.0
bladder squamous cell carcinoma,447.0,3.0
endometrial adenocarcinoma,447.5,34.0
hairy cell leukemia,448.0,3.0
primary effusion lymphoma,449.0,3.0
"chronic myelogenous leukemia, bcr-abl1 positive",449.5,16.0
anaplastic large cell lymphoma,457.5,8.0
myeloid leukemia associated with down syndrome,460.0,1.0
malignant ovarian brenner tumor,462.0,1.0
colon carcinoma,465.0,19.0
pancreatic adenosquamous carcinoma,465.0,5.0
cecum adenocarcinoma,466.0,18.0
gliosarcoma,467.0,6.0
myelodysplastic syndrome,467.0,1.0
lung,470.0,7.0
small intestine,470.0,1.0
non-small cell lung carcinoma,473.0,24.0
gastric tubular adenocarcinoma,474.0,11.0
liver,474.5,32.0
cutaneous t-cell non-hodgkin lymphoma,475.5,2.0
gallbladder carcinoma,479.0,2.0
mycosis fungoides and sezary syndrome,481.0,2.0
rectal adenocarcinoma,491.0,11.0
mantle cell lymphoma,491.0,6.0
childhood t acute lymphoblastic leukemia,492.0,19.0
childhood t lymphoblastic lymphoma,495.0,2.0
peripheral blood,499.0,107.0
pancreatic adenocarcinoma,504.0,39.0
ovarian mucinous cystadenocarcinoma,504.0,2.0
epithelioid cell type gastrointestinal stromal tumor,507.0,3.0
mediastinal (thymic) large b-cell lymphoma,507.0,1.0
chronic lymphocytic leukemia,509.0,2.0
ampulla of vater adenocarcinoma,514.5,2.0
mandible,515.0,1.0
familial adenomatous polyposis,515.0,1.0
pancreatic ductal adenocarcinoma,516.0,39.0
undifferentiated pleomorphic sarcoma,516.0,4.0
b-cell prolymphocytic leukemia,524.0,2.0
rectosigmoid adenocarcinoma,527.0,3.0
uterine corpus leiomyosarcoma,531.0,3.0
undifferentiated gallbladder carcinoma,533.0,1.0
diffuse large b-cell lymphoma activated b-cell type,535.0,1.0
pyriform fossa squamous cell carcinoma,537.0,1.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",544.0,2.0
skin squamous cell carcinoma,550.0,1.0
human papillomavirus-related cervical squamous cell carcinoma,555.5,8.0
childhood b acute lymphoblastic leukemia,556.0,9.0
adult t acute lymphoblastic leukemia,558.0,5.0
vulvar carcinoma,565.0,1.0
human papillomavirus-related endocervical adenocarcinoma,567.0,4.0
recurrent bladder carcinoma,567.0,3.0
b acute lymphoblastic leukemia,569.0,5.0
barrett adenocarcinoma,574.0,3.0
fibrosarcoma,578.0,5.0
epstein-barr virus-related burkitt lymphoma,578.5,10.0
adrenal cortex carcinoma,580.0,1.0
diffuse large b-cell lymphoma germinal center b-cell type,583.0,8.0
vulvar leiomyosarcoma,586.0,3.0
cervical lymph node,598.0,5.0
hilar cholangiocarcinoma,599.0,1.0
obturator lymph node,602.0,3.0
oral cavity squamous cell carcinoma,602.5,6.0
signet ring cell gastric adenocarcinoma,605.0,9.0
subcutaneous; right buttock,608.0,3.0
down syndrome,611.0,2.0
papillary lung adenocarcinoma,613.0,3.0
epithelioid sarcoma,621.0,1.0
paragastric lymph node,622.0,2.0
esophageal adenocarcinoma,632.0,9.0
bone,633.0,1.0
b-cell non-hodgkin lymphoma,641.0,7.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,643.0,3.0
peritoneal effusion,644.0,6.0
vaginal melanoma,656.0,1.0
cervical carcinoma,662.5,2.0
floor of mouth squamous cell carcinoma,676.0,1.0
cystic fibrosis,680.5,2.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),684.5,4.0
cholangiocarcinoma,701.0,2.0
benign prostatic hyperplasia,701.0,1.0
burkitt lymphoma,703.5,8.0
childhood acute monocytic leukemia,711.5,2.0
hereditary spherocytosis,712.0,1.0
splenic lymphoma with circulating villous lymphocytes,720.0,1.0
buccal mucosa squamous cell carcinoma,727.0,2.0
left cervical lymph node,731.0,1.0
thyroid gland papillary carcinoma,731.0,1.0
vulvar squamous cell carcinoma,732.0,3.0
adult b acute lymphoblastic leukemia,750.0,3.0
diffuse large b-cell lymphoma,763.5,20.0
parotid gland mucoepidermoid carcinoma,765.0,1.0
adult acute myeloid leukemia,814.5,22.0
anaplastic astrocytoma,829.0,5.0
vulvar melanoma,839.0,1.0
head and neck squamous cell carcinoma,841.0,9.0
"chronic eosinophilic leukemia, not otherwise specified",862.0,1.0
follicular lymphoma,864.0,2.0
lymphoblastic lymphoma,876.0,1.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,884.0,1.0
ovary,887.0,1.0
oral dysplasia,895.0,1.0
meninges,947.0,1.0
acute myelomonocytic leukemia,947.0,1.0
squamous cell carcinoma,957.0,1.0
