drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms
at-406,,,,,,,AT-406,XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs),AT-406
at-7519,,,AT-7519,AT7519,CDK1; CDK2; CDK4; CDK6; CDK9,Cell cycle,,,,AT-7519; AT7519
at13387,,,,,,,AT13387,HSP90AA1,inhibitor of HSP90,AT13387
at7867,,,,,,,AT7867,AKT1; AKT2; AKT3; RPS6KB2,inhibitor of AKT1/2/3 and S6K,AT7867
austocystin d,,,,,,,austocystin D,,natural product; inducer of DNA damage,austocystin D
avagacestat,,,Avagacestat,"BMS-708163, BMS 708163",Amyloid beta20; Amyloid beta40,Other,,,,BMS 708163; BMS-708163; Avagacestat
avicin d,,,,,,,avicin D,,natural product,avicin D
avrainvillamide,,,,,,,avrainvillamide,NPM1,natural product; inhibitor of nucleophosmin,avrainvillamide
axitinib,,,Axitinib,"AG-13736, Inlyta",PDGFR; KIT; VEGFR,RTK signaling,axitinib,FLT1; FLT3; KDR; KIT; PDGFRA; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Inlyta; AG-13736; Axitinib; axitinib
az-3146,,,,,,,AZ-3146,TTK,inhibitor of TTK protein kinase,AZ-3146
az628,,,AZ628,"AZ-628, AZ 628",BRAF,ERK MAPK signaling,,,,AZ-628; AZ628; AZ 628
azacitidine,,,,,,,azacitidine,DNMT1,inhibitor of DNA methyltransferase,azacitidine
azd1480,,,,,,,AZD1480,JAK1; JAK2,inhibitor of Janus kinases 1 and 2,AZD1480
azd4547,,,,,,,AZD4547,FGFR1; FGFR2; FGFR3,inhibitor of fibroblast growth factor receptors,AZD4547
azd6482,,,AZD6482,"AZD 6482, AZD-6482, AK-55409",PI3Kbeta,PI3K/MTOR signaling,AZD6482,PIK3CB; PIK3CD,inhibitor of PI3K catalytic subunits beta and delta,AZD-6482; AZD6482; AK-55409; AZD 6482
azd7545,,,,,,,AZD7545,PDK2,inhibitor of pyruvate dehydrogenase kinase 2,AZD7545
azd7762,,,AZD7762,"AZD-7762, AZD 7762",CHEK1; CHEK2,Cell cycle,AZD7762,CHEK1; CHEK2,inhibitor of checkpoint kinases 1 and 2,AZD 7762; AZD7762; AZD-7762
azd8055,,,AZD8055,AZD-8055,MTORC1; MTORC2,PI3K/MTOR signaling,AZD8055,MTOR,inhibitor of mTOR,AZD-8055; AZD8055
b02,,,,,,,B02,RAD51,inhibitor of RAD51,B02
bafilomycin a1,,,,,,,bafilomycin A1,ATP6V0A1,inhibitor of the vacuolar-type H+-ATPase,bafilomycin A1
barasertib,,,,,,,barasertib,AURKB,inhibitor of aurora kinase B,barasertib
bardoxolone methyl,,,,,,,bardoxolone methyl,,electrophilic inducer of the NFE2L2-KEAP1 pathway,bardoxolone methyl
bax channel blocker,,,,,,,Bax channel blocker,BAX,inhibitor of BAX-mediated mitochondrial cytochrome c release,Bax channel blocker
bay-61-3606,,,BAY-61-3606,"Syk Inhibitor, BAY-613606",SYK,"Other, kinases",,,,Syk Inhibitor; BAY-613606; BAY-61-3606
bcl-lzh-4,,,,,,,BCL-LZH-4,,"inhibitor of BCL2, BCL-xL, and MCL1",BCL-LZH-4
bec,,,,,,,BEC,ARG1; ARG2,inhibitor of arginase I and II,BEC
belinostat,,,Belinostat,"PXD101, PXD-101",HDAC1,Chromatin histone acetylation,belinostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Belinostat; PXD101; PXD-101; belinostat
bendamustine,,,,,,,bendamustine,,DNA alkylator,bendamustine
betulinic acid,,,,,,,betulinic acid,,natural product; inhibitor of specificity protein 1 transcription factor in cells,betulinic acid
bexarotene,,,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",Retinioic X receptor (RXR) agonist,Other,bexarotene,RXRA; RXRB; RXRG,inhibitor of retinoid X receptors,Targrexin; Bexarotene; Targretin; LG-100069; Bexarotenum; bexarotene; Targretyn; Targret
bi-2536,,,BI-2536,,PLK1; PLK2; PLK3,Cell cycle,BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1),BI-2536
bibr-1532,,,,,,,BIBR-1532,TERT,inhibitor of telomerase reverse transcriptase,BIBR-1532
bicalutamide,,,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",AR,Hormone-related,,,,Casodex; ICI-176334; ICI 176334; Bicalutamide; Cosudex
birinapant,,,,,,,birinapant,DIABLO; XIAP,SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs),birinapant
bix-01294,,,,,,,BIX-01294,EHMT2,inhibitor of G9a histone methyltransferase,BIX-01294
bix02189,,,BIX02189,BIX 02189,MEK5; ERK5,ERK MAPK signaling,,,,BIX02189; BIX 02189
blebbistatin,,,,,,,blebbistatin,MYH1; MYH2,inhibitor of myosin II ATPases,blebbistatin
bleomycin,,,Bleomycin,,dsDNA break induction,DNA replication,,,,Bleomycin
bleomycin (50 um),,,Bleomycin (50 uM),,dsDNA break induction,DNA replication,,,,Bleomycin (50 uM)
bleomycin a2,,,,,,,bleomycin A2,,inducer of DNA damage,bleomycin A2
bms-195614,,,,,,,BMS-195614,RARA; RARB; RARG,antagonist of retinoic acid receptors,BMS-195614
bms-270394,,,,,,,BMS-270394,RARG,antagonist of retinoic acid receptor gamma,BMS-270394
bms-345541,,,BMS-345541,"BMS345541, IKK Inhibitor 3",IKK1; IKK2,"Other, kinases",BMS-345541,IKBKB,inhibitor of IKK-2,BMS-345541; BMS345541; IKK Inhibitor 3
bms-509744,,,BMS-509744,"KIN001-127, ITK inhibitor",ITK,Other,,,,ITK inhibitor; BMS-509744; KIN001-127
bms-536924,,,BMS-536924,BMS 536924,IGF1R; IR,IGFR signaling,BMS-536924,IGF1R; INSR,inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR),BMS 536924; BMS-536924
bms-754807,,,BMS-754807,"BMS754807, BMS 754807",IGF1R; IR,IGFR signaling,BMS-754807,IGF1R,inhibitor of insulin-like growth factor 1 receptor and insulin receptor,BMS-754807; BMS754807; BMS 754807
bortezomib,,,Bortezomib,"PS-341, LDP-341, Velcade",Proteasome,Protein stability and degradation,bortezomib,PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of 26S proteasome,LDP-341; bortezomib; Velcade; PS-341; Bortezomib
bosutinib,,,Bosutinib,"SKI-606, Bosulif",SRC; ABL; TEC,"Other, kinases",bosutinib,ABL1; SRC,inhibitor of SRC and ABL1,Bosulif; Bosutinib; SKI-606; bosutinib
brd-a02303741,,,,,,,BRD-A02303741,DOT1L,inhibitor of histone methyltransferases,BRD-A02303741
brd-a02303741:carboplatin (1:1 mol/mol),,,,,,,BRD-A02303741:carboplatin (1:1 mol/mol),DOT1L,inhibitor of histone methyltransferases;inducer of DNA damage,BRD-A02303741:carboplatin (1:1 mol/mol)
brd-a02303741:navitoclax (2:1 mol/mol),,,,,,,BRD-A02303741:navitoclax (2:1 mol/mol),DOT1L; BCL2; BCL2L1; BCL2L2,"inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W",BRD-A02303741:navitoclax (2:1 mol/mol)
brd-a05715709,,,,,,,BRD-A05715709,IDH1,putative inhibitor of IDH1 R132H,BRD-A05715709
brd-a71883111,,,,,,,BRD-A71883111,IDH1,putative inhibitor of IDH1 R132H,BRD-A71883111
brd-a86708339,,,,,,,BRD-A86708339,,screening hit,BRD-A86708339
brd-a94377914,,,,,,,BRD-A94377914,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",BRD-A94377914
brd-k01737880,,,,,,,BRD-K01737880,,screening hit,BRD-K01737880
brd-k02251932,,,,,,,BRD-K02251932,,product of diversity oriented synthesis,BRD-K02251932
brd-k02492147,,,,,,,BRD-K02492147,,product of diversity oriented synthesis,BRD-K02492147
brd-k03536150,,,,,,,BRD-K03536150,BAX,activator of BAX,BRD-K03536150
brd-k03911514,,,,,,,BRD-K03911514,,stapled helical peptide,BRD-K03911514
brd-k04800985,,,,,,,BRD-K04800985,,product of diversity oriented synthesis,BRD-K04800985
brd-k07442505,,,,,,,BRD-K07442505,BAX,stapled helical peptide activating BAX,BRD-K07442505
brd-k09344309,,,,,,,BRD-K09344309,,screening hit,BRD-K09344309
brd-k09587429,,,,,,,BRD-K09587429,,product of diversity oriented synthesis,BRD-K09587429
brd-k11533227,,,,,,,BRD-K11533227,HDAC1; HDAC2,inhibitor of HDAC1 and HDAC2,BRD-K11533227
brd-k13185470,,,,,,,BRD-K13185470,MCL1,stapled helical peptide targeting MCL1,BRD-K13185470
brd-k13999467,,,,,,,BRD-K13999467,,product of diversity oriented synthesis,BRD-K13999467
brd-k14844214,,,,,,,BRD-K14844214,,product of diversity oriented synthesis,BRD-K14844214
brd-k16130065,,,,,,,BRD-K16130065,,stapled helical peptide,BRD-K16130065
brd-k16147474,,,,,,,BRD-K16147474,,product of diversity oriented synthesis,BRD-K16147474
brd-k17060750,,,,,,,BRD-K17060750,,product of diversity oriented synthesis,BRD-K17060750
brd-k19103580,,,,,,,BRD-K19103580,,product of diversity oriented synthesis,BRD-K19103580
brd-k20514654,,,,,,,BRD-K20514654,,stapled helical peptide,BRD-K20514654
brd-k24690302,,,,,,,BRD-K24690302,HDAC1,inhibitor of HDAC1,BRD-K24690302
brd-k26531177,,,,,,,BRD-K26531177,,analog of the natural product piperlongumine,BRD-K26531177
brd-k27188169,,,,,,,BRD-K27188169,,stapled helical peptide,BRD-K27188169
brd-k27188169:navitoclax (2:1 mol/mol),,,,,,,BRD-K27188169:navitoclax (2:1 mol/mol),BCL2; BCL2L1; BCL2L2,"stapled helical peptide;inhibitor of BCL2, BCL-xL, and BCL-W",BRD-K27188169:navitoclax (2:1 mol/mol)
brd-k27224038,,,,,,,BRD-K27224038,,product of diversity oriented synthesis,BRD-K27224038
brd-k27986637,,,,,,,BRD-K27986637,,product of diversity oriented synthesis; screening hit,BRD-K27986637
brd-k28456706,,,,,,,BRD-K28456706,HNF4A,inhibitor of hepatocyte nuclear factor 4 alpha,BRD-K28456706
brd-k29086754,,,,,,,BRD-K29086754,,product of diversity oriented synthesis,BRD-K29086754
brd-k29313308,,,,,,,BRD-K29313308,HDAC3,inhibitor of HDAC3,BRD-K29313308
brd-k30019337,,,,,,,BRD-K30019337,,product of diversity oriented synthesis,BRD-K30019337
brd-k30748066,,,,,,,BRD-K30748066,CDK9,inhibitor of CDK9,BRD-K30748066
brd-k33199242,,,,,,,BRD-K33199242,,product of diversity oriented synthesis,BRD-K33199242
brd-k33514849,,,,,,,BRD-K33514849,,screening hit,BRD-K33514849
brd-k34099515,,,,,,,BRD-K34099515,,screening hit,BRD-K34099515
brd-k34222889,,,,,,,BRD-K34222889,,analog of the natural product piperlongumine,BRD-K34222889
brd-k34485477,,,,,,,BRD-K34485477,,product of diversity oriented synthesis,BRD-K34485477
brd-k35604418,,,,,,,BRD-K35604418,MCL1,inhibitor of MCL1,BRD-K35604418
brd-k37390332,,,,,,,BRD-K37390332,,product of diversity oriented synthesis,BRD-K37390332
brd-k41334119,,,,,,,BRD-K41334119,,product of diversity oriented synthesis,BRD-K41334119
brd-k41597374,,,,,,,BRD-K41597374,,product of diversity oriented synthesis,BRD-K41597374
brd-k42260513,,,,,,,BRD-K42260513,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit,BRD-K42260513
brd-k44224150,,,,,,,BRD-K44224150,,product of diversity oriented synthesis,BRD-K44224150
brd-k45681478,,,,,,,BRD-K45681478,,product of diversity oriented synthesis; screening hit,BRD-K45681478
brd-k48334597,,,,,,,BRD-K48334597,,product of diversity oriented synthesis,BRD-K48334597
brd-k48477130,,,,,,,BRD-K48477130,,screening hit,BRD-K48477130
brd-k49290616,,,,,,,BRD-K49290616,,product of diversity oriented synthesis,BRD-K49290616
brd-k50799972,,,,,,,BRD-K50799972,,product of diversity oriented synthesis,BRD-K50799972
brd-k51490254,,,,,,,BRD-K51490254,HDAC6; HDAC8,inhibitor of HDAC6 and HDAC8,BRD-K51490254
brd-k51831558,,,,,,,BRD-K51831558,EZH2,inhibitor of enhancer of zeste polycomb repressive complex 2 subunit,BRD-K51831558
brd-k52037352,,,,,,,BRD-K52037352,,product of diversity oriented synthesis,BRD-K52037352
brd-k55116708,,,,,,,BRD-K55116708,,product of diversity oriented synthesis; inhibitor of leukemic stem cells,BRD-K55116708
brd-k55473186,,,,,,,BRD-K55473186,NOTCH1,stapled helical peptide targeting NOTCH1,BRD-K55473186
brd-k58730230,,,,,,,BRD-K58730230,,stapled helical peptide,BRD-K58730230
brd-k61166597,,,,,,,BRD-K61166597,,inhibitor of HDAC1 and HDAC2,BRD-K61166597
brd-k63431240,,,,,,,BRD-K63431240,,product of diversity oriented synthesis; screening hit,BRD-K63431240
brd-k64610608,,,,,,,BRD-K64610608,,product of diversity oriented synthesis; screening hit,BRD-K64610608
brd-k66453893,,,,,,,BRD-K66453893,,product of diversity oriented synthesis,BRD-K66453893
brd-k66532283,,,,,,,BRD-K66532283,HDAC1; HDAC2,inhibitor of HDAC1 and HDAC2,BRD-K66532283
brd-k70511574,,,,,,,BRD-K70511574,PLK1,inhibitor of polo-like kinase 1 (PLK1),BRD-K70511574
brd-k71781559,,,,,,,BRD-K71781559,,screening hit,BRD-K71781559
brd-k71935468,,,,,,,BRD-K71935468,,inducer of ROS,BRD-K71935468
brd-k75293299,,,,,,,BRD-K75293299,,product of diversity oriented synthesis,BRD-K75293299
brd-k78574327,,,,,,,BRD-K78574327,,product of diversity oriented synthesis,BRD-K78574327
brd-k79669418,,,,,,,BRD-K79669418,MDM2; MDM4,inhibitor of MDM4-p53 interaction,BRD-K79669418
brd-k80183349,,,,,,,BRD-K80183349,HDAC1; HDAC2,inhibitor of HDAC1 and HDAC2,BRD-K80183349
brd-k84807411,,,,,,,BRD-K84807411,,product of diversity oriented synthesis,BRD-K84807411
brd-k85133207,,,,,,,BRD-K85133207,HDAC1,inhibitor of HDAC1,BRD-K85133207
brd-k86535717,,,,,,,BRD-K86535717,,product of diversity oriented synthesis,BRD-K86535717
brd-k88742110,,,,,,,BRD-K88742110,HDAC8,inhibitor of HDAC8,BRD-K88742110
brd-k90370028,,,,,,,BRD-K90370028,,screening hit,BRD-K90370028
brd-k92856060,,,,,,,BRD-K92856060,,screening hit,BRD-K92856060
brd-k94991378,,,,,,,BRD-K94991378,,inducer of ROS,BRD-K94991378
brd-k96431673,,,,,,,BRD-K96431673,,product of diversity oriented synthesis,BRD-K96431673
brd-k96970199,,,,,,,BRD-K96970199,,product of diversity oriented synthesis,BRD-K96970199
brd-k97651142,,,,,,,BRD-K97651142,,aphrocallistin derivative,BRD-K97651142
brd-k99006945,,,,,,,BRD-K99006945,,screening hit,BRD-K99006945
brd-k99584050,,,,,,,BRD-K99584050,,stapled helical peptide,BRD-K99584050
brd-m00053801,,,,,,,BRD-M00053801,BCL2,inhibitor of BCL2,BRD-M00053801
brd1812,,,,,,,BRD1812,,screening hit,BRD1812
brd1835,,,,,,,BRD1835,EZH2,product of diversity oriented synthesis; screening hit,BRD1835
brd4132,,,,,,,BRD4132,,screening hit,BRD4132
brd6340,,,,,,,BRD6340,,screening hit,BRD6340
brd8899,,,,,,,BRD8899,STK33,inhibitor of serine/threonine kinasase STK33,BRD8899
brd8958,,,,,,,BRD8958,EP300,inhibitor of E1A binding protein p300,BRD8958
brd9647,,,,,,,BRD9647,,screening hit,BRD9647
brd9876,,,,,,,BRD9876,,screening hit,BRD9876
brd9876:mk-1775 (4:1 mol/mol),,,,,,,BRD9876:MK-1775 (4:1 mol/mol),WEE1,screening hit;inhibitor of WEE1,BRD9876:MK-1775 (4:1 mol/mol)
brefeldin a,,,,,,,brefeldin A,ARF1,modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi,brefeldin A
brivanib,,,,,,,brivanib,FLT1; KDR,inhibitor of VEGFR 1/2,brivanib
bryostatin 1,,,Bryostatin 1,Bryostatin,PKC,"Other, kinases",,,,Bryostatin; Bryostatin 1
bx-912,,,BX-912,,PDK1 (PDPK1),PI3K/MTOR signaling,,,,BX-912
bx795,,,BX795,BX-795,TBK1; PDK1 (PDPK1); IKK; AURKB; AURKC,Other,,,,BX795; BX-795
byl-719,,,,,,,BYL-719,PIK3CA,inhibitor of PI3K catalytic subunit alpha,BYL-719
c6-ceramide,,,,,,,C6-ceramide,MAPK1; PPP2CA; UGCG,inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A,C6-ceramide
cabozantinib,,,Cabozantinib,"BMS-907351, XL-184, Cometriq","VEGFR; MET; RET; KIT; FLT1; FLT3; FLT4; TIE2,AXL","Other, kinases",cabozantinib,FLT3; KDR; MET; RET,"inhibitor of c-MET, VEGFR2/3, and RET",BMS-907351; Cabozantinib; XL-184; cabozantinib; Cometriq
camptothecin,,,Camptothecin,"Camptothecine, (+)-Camptothecin",TOP1,DNA replication,,,,(+)-Camptothecin; Camptothecin; Camptothecine
canertinib,,,,,,,canertinib,EGFR; ERBB2,inhibitor of EGFR and HER2,canertinib
carboplatin,,,,,,,carboplatin,,inducer of DNA damage,carboplatin
carboplatin:etoposide (40:17 mol/mol),,,,,,,carboplatin:etoposide (40:17 mol/mol),TOP2A,inducer of DNA damage;inhibitor of topoisomerase II,carboplatin:etoposide (40:17 mol/mol)
carboplatin:unc0638 (2:1 mol/mol),,,,,,,carboplatin:UNC0638 (2:1 mol/mol),EHMT1; EHMT2,inducer of DNA damage;inhibitor of EHMT2 and GLP methyltransferase,carboplatin:UNC0638 (2:1 mol/mol)
cay10576,,,,,,,CAY10576,IKBKE,inhibitor of IKK-epsilon,CAY10576
cay10594,,,,,,,CAY10594,PLD2,inhibitor of phospholipase D2,CAY10594
cay10603,,,CAY10603,,HDAC1; HDAC6,Chromatin histone acetylation,,,,CAY10603
cay10618,,,,,,,CAY10618,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,CAY10618
cbb-1007,,,,,,,CBB-1007,KDM1A,inhibitor of lysine-specific demethylase 1A (LSD1),CBB-1007
cct-018159,,,CCT-018159,"CCT018159, CCT 018159",HSP90,Protein stability and degradation,,,,CCT 018159; CCT018159; CCT-018159
cct007093,,,CCT007093,,PPM1D,Other,,,,CCT007093
cct036477,,,,,,,CCT036477,,inhibitor of WNT signaling by blocking beta-catenin transcription,CCT036477
cd-1530,,,,,,,CD-1530,RARG,agonist of retinoic acid receptor gamma,CD-1530
cd-437,,,,,,,CD-437,RARG,agonist of retinoic acid receptor gamma,CD-437
cediranib,,,,,,,cediranib,FLT1; FLT4; KDR,inhibitor of VEGFRs,cediranib
ceranib-2,,,,,,,ceranib-2,ACER1; ACER2; ACER3; ASAH1; ASAH2; ASAH2B,inhibitor of ceramidase activity,ceranib-2
cerulenin,,,,,,,cerulenin,FASN; HMGCS1,inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase,cerulenin
cetuximab,,,Cetuximab,"Erbitux, IMC-C225, C225, IMC-225, L01XC06",EGFR,EGFR signaling,,,,C225; L01XC06; Erbitux; IMC-225; Cetuximab; IMC-C225
cgp-082996,,,CGP-082996,"CINK4, KIN001-021",CDK4,Cell cycle,,,,KIN001-021; CGP-082996; CINK4
cgp-60474,,,CGP-60474,"KIN001-019, CGP60474, CGP 60474","CDK1,CDK2,CDK5,CDK7,CDK9; PKC",Cell cycle,,,,CGP 60474; CGP60474; CGP-60474; KIN001-019
ch-55,,,,,,,Ch-55,RARA; RARB; RARG,agonist of retinoid acid receptors,Ch-55
chir-99021,,,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021",GSK3A; GSK3B,WNT signaling,CHIR-99021,GSK3B,inhibitor of GSK3 beta,CHIR99021; CT 99021; CHIR 99021; CHIR-99021
chlorambucil,,,,,,,chlorambucil,,DNA alkylator,chlorambucil
chm-1,,,,,,,CHM-1,,inhibitor of tubulin polymerization,CHM-1
ci-1040,,,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3",MEK1; MEK2,ERK MAPK signaling,,,,PD-18435; CI 1040; PD-184352; CI-1040; 212631-79-3
ci-976,,,,,,,CI-976,ACAT1,inhibitor of acetyl-CoA acetyltransferase I,CI-976
ciclopirox,,,,,,,ciclopirox,RRM1,substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase,ciclopirox
ciclosporin,,,,,,,ciclosporin,PPID,inhibitor of calcineurin by binding to cyclophilin D,ciclosporin
cid-5951923,,,,,,,CID-5951923,KLF5,modulator of KLF5 expression,CID-5951923
cil41,,,,,,,CIL41,,screening hit,CIL41
cil55,,,,,,,CIL55,,screening hit,CIL55
cil55a,,,,,,,CIL55A,,screening hit,CIL55A
cil56,,,,,,,CIL56,,screening hit,CIL56
cil70,,,,,,,CIL70,,screening hit,CIL70
cimetidine,,,,,,,cimetidine,HRH2,inhibitor of histidine receptor H2,cimetidine
cisplatin,,,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA crosslinker,DNA replication,,,,CIS-DDP; Cisplatin; Platinol; cis-Diammineplatinum(II) dichloride
clofarabine,,,,,,,clofarabine,,inducer of DNA damage,clofarabine
cmk,,,CMK,KIN001-128,RSK2,ERK MAPK signaling,,,,CMK; KIN001-128
col-3,,,,,,,COL-3,,analog of tetracycline,COL-3
compound 1541a,,,,,,,Compound 1541A,CASP3; CASP6; CASP7,"activators of executioner procaspases 3, 6, and 7",Compound 1541A
compound 1b,,,,,,,compound 1B,,screening hit,compound 1B
compound 23 citrate,,,,,,,Compound 23 citrate,,analog of natural product cortistatin,Compound 23 citrate
compound 7d-cis,,,,,,,Compound 7d-cis,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport,Compound 7d-cis
cp466722,,,CP466722,"CP-466722, CP 466722, 1080622-86-1",ATM,Genome integrity,,,,CP466722; CP 466722; 1080622-86-1; CP-466722
cp724714,,,CP724714,CP-724714,ERBB2,EGFR signaling,,,,CP-724714; CP724714
cr-1-31b,,,,,,,CR-1-31B,EIF4A2; EIF4E; EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,CR-1-31B
crizotinib,PF2341066,c-MET,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066",MET; ALK; ROS1,RTK signaling,crizotinib,ALK; MET,inhibitor of c-MET and ALK,Crizotinib; PF-2341066; Xalkori; PF 2341066; PF2341066; crizotinib
crizotinib:plx-4032 (2:1 mol/mol),,,,,,,crizotinib:PLX-4032 (2:1 mol/mol),ALK; MET; BRAF,inhibitor of c-MET and ALK;inhibitor of BRAF,crizotinib:PLX-4032 (2:1 mol/mol)
cucurbitacin i,,,,,,,cucurbitacin I,,natural product; modulator of NFKB1 and STAT3 signaling,cucurbitacin I
cudc-101,,,CUDC-101,CUDC 101,HDAC1-10; EGFR; ERBB2,Other,,,,CUDC-101; CUDC 101
curcumin,,,,,,,curcumin,,natural product; modulator of ROS; modulator of NF-kappa-B signaling,curcumin
cx-5461,,,CX-5461,"CX5461, CX 5461",RNA Polymerase 1,Other,,,,CX5461; CX 5461; CX-5461
cyanoquinoline 11,,,,,,,cyanoquinoline 11,MAP3K8,inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells,cyanoquinoline 11
cyclopamine,,,Cyclopamine,,SMO,Other,,,,Cyclopamine
