drug,ctrp_drug_name,ctrp_target,ctrp_target_description
ml029,ML029,,inhibitor of antigen receptor-mediated NFkappaB activity
temozolomide,temozolomide,,DNA alkylator
qw-bi-011,QW-BI-011,EHMT2,inhibitor of G9a histone methyltransferase
brd-k90370028,BRD-K90370028,,screening hit
snx-2112,SNX-2112,HSP90AA1;HSP90B1,inhibitor of HSP90alpha and HSP90beta
navitoclax,navitoclax,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W"
bexarotene,bexarotene,RXRA;RXRB;RXRG,inhibitor of retinoid X receptors
nilotinib,nilotinib,ABL1;BCR;KIT,"inhibitor of ABL1, BCR, and c-KIT"
sunitinib,sunitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
bendamustine,bendamustine,,DNA alkylator
omacetaxine mepesuccinate,omacetaxine mepesuccinate,,inhibitor of protein translation by preventing protein elongation
cd-437,CD-437,RARG,agonist of retinoic acid receptor gamma
sch-79797,SCH-79797,F2R,antagonist of proteinase-activated receptor 1 (PAR1)
le-135,LE-135,RARB,antagonist of retinoic acid receptor beta
ski-ii,SKI-II,SPHK1,inhibitor of sphingosine kinase 1
ci-976,CI-976,ACAT1,inhibitor of acetyl-CoA acetyltransferase I
platin,Platin,,DNA alkylator; organoplatinum reagent
necrostatin-1,necrostatin-1,RIPK1,inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway
gw-405833,GW-405833,CNR2,partial agonist of cannabinoid receptor 2
ac55649,AC55649,RARB,agonist of retinoic acid receptor beta
rita,RITA,MDM2;TP53,inhibitor of p53-MDM2 interaction
ly-2183240,LY-2183240,FAAH,inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake
ki8751,Ki8751,KDR;KIT;PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA"
cd-1530,CD-1530,RARG,agonist of retinoic acid receptor gamma
tpca-1,TPCA-1,IKBKB,inhibitor of IKK-2
oxaliplatin,oxaliplatin,,DNA alkylator; organoplatinum reagent
nsc632839,NSC632839,USP13;USP5,inhibitor of ubiquitin isopeptidase
pifithrin-mu,pifithrin-mu,HSPA1A;HSPA1B;HSPA1L;TP53,inhibitor of p53 binding to mitochondria; inhibitor of HSP70
sn-38,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I
brd-k80183349,BRD-K80183349,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
brd-k66532283,BRD-K66532283,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
mk-2206,MK-2206,AKT1,inhibitor of AKT1
triazolothiadiazine,triazolothiadiazine,PDE4A;PDE4B;PDE4D,inhibitor of phosphdiesterase 4A/B/D
brd-k66453893,BRD-K66453893,,product of diversity oriented synthesis
brd-k11533227,BRD-K11533227,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
brd-k27224038,BRD-K27224038,,product of diversity oriented synthesis
brd-k33514849,BRD-K33514849,,screening hit
brd-k14844214,BRD-K14844214,,product of diversity oriented synthesis
brd1835,BRD1835,EZH2,product of diversity oriented synthesis; screening hit
brd-k41597374,BRD-K41597374,,product of diversity oriented synthesis
brd-k63431240,BRD-K63431240,,product of diversity oriented synthesis; screening hit
brd-k13999467,BRD-K13999467,,product of diversity oriented synthesis
brd-k96970199,BRD-K96970199,,product of diversity oriented synthesis
brefeldin a,brefeldin A,ARF1,modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi
agk-2,AGK-2,SIRT2,inhibitor of sirtuin 2
l-685458,L-685458,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase
pf-750,PF-750,FAAH,inhibitor of fatty acid amide hydrolase
triptolide,triptolide,,natural product; inhibitor of RNA polymerase II
nutlin-3,nutlin-3,MDM2,inhibitor of p53-MDM2 interaction
aa-cocf3,AA-COCF3,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D,inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase
16-beta-bromoandrosterone,16-beta-bromoandrosterone,,dehydroepiandrosterone (DHEA) analog
prl-3 inhibitor i,PRL-3 inhibitor I,PTP4A3,inhibitor of phosphatase of regenerating liver-3 (PRL3)
sid 26681509,SID 26681509,CTSL1,inhibitor of cathepsin L
neuronal differentiation inducer iii,neuronal differentiation inducer III,,induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity
nsc 74859,NSC 74859,STAT3,inhibitor of STAT3
bortezomib,bortezomib,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of 26S proteasome
abt-737,ABT-737,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W"
zebularine,zebularine,DNMT1,inhibitor of DNA methyltransferases
pi-103,PI-103,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,"inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K"
tubastatin a,tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6
sr-ii-138a,SR-II-138A,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
neopeltolide,neopeltolide,,inhibitor of cellular respiration
parthenolide,parthenolide,,natural product; modulator of ROS; modulator of NF-kappa-B signaling
compound 7d-cis,Compound 7d-cis,XPO1,inhibitor of CRM1-mediated nucleocytoplasmic transport
tg-101348,TG-101348,JAK2,inhibitor of Janus kinase 2
pevonedistat,pevonedistat,NAE1,inhibitor of Nedd-8 activating enzyme
azd7545,AZD7545,PDK2,inhibitor of pyruvate dehydrogenase kinase 2
ver-155008,VER-155008,HSPA1A;HSPA1B;HSPA1L,inhibitor of HSP70
ml203,ML203,PKM,activator of muscle pyruvate kinase (PKM2)
srt-1720,SRT-1720,SIRT1,activator of sirtuin-1
cay10594,CAY10594,PLD2,inhibitor of phospholipase D2
compound 1541a,Compound 1541A,CASP3;CASP6;CASP7,"activators of executioner procaspases 3, 6, and 7"
rg-108,RG-108,DNMT1,inhibitor of DNA methyltransferase
pac-1,PAC-1,CASP3,activator of procaspase-3
pluripotin,pluripotin,MAPK1;RASAL1,promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK
gmx-1778,GMX-1778,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
avrainvillamide,avrainvillamide,NPM1,natural product; inhibitor of nucleophosmin
bms-536924,BMS-536924,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)
gemcitabine,gemcitabine,CMPK1;RRM1;TYMS,"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase "
mst-312,MST-312,TERT,inhibitor of telomerase reverse transcriptase
olaparib,olaparib,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 and 2
oligomycin a,oligomycin A,ATP5L2,inhibitor of mitochondrial ATP synthase
indisulam,indisulam,CA9,inhibitor of carbonic anhydrase isoform IX
brd-k49290616,BRD-K49290616,,product of diversity oriented synthesis
brd-k02492147,BRD-K02492147,,product of diversity oriented synthesis
austocystin d,austocystin D,,natural product; inducer of DNA damage
sj-172550,SJ-172550,MDM2;TP53,inhibitor of p53-MDM2 interaction
brd-k09587429,BRD-K09587429,,product of diversity oriented synthesis
pandacostat,pandacostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
brd-k96431673,BRD-K96431673,,product of diversity oriented synthesis
cyanoquinoline 11,cyanoquinoline 11,MAP3K8,inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells
tipifarnib-p2,tipifarnib-P2,FNTA,inhibitor of farnesyltransferase
tipifarnib-p1,tipifarnib-P1,FNTA,inhibitor of farnesyltransferase
compound 23 citrate,Compound 23 citrate,,analog of natural product cortistatin
nakiterpiosin,nakiterpiosin,,natural product; inhibitor of microtubule assembly
cct036477,CCT036477,,inhibitor of WNT signaling by blocking beta-catenin transcription
tamatinib,tamatinib,SYK,inhibitor of spleen tyrosine kinase
myriocin,myriocin,SPTLC1;SPTLC2;SPTLC3,inhibitor of serine palmitoyltransferase
ym-155,YM-155,BIRC5,inhibitor of survivin expression
bms-754807,BMS-754807,IGF1R,inhibitor of insulin-like growth factor 1 receptor and insulin receptor
bibr-1532,BIBR-1532,TERT,inhibitor of telomerase reverse transcriptase
tosedostat,tosedostat,ANPEP;LAP3;NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"
neratinib,neratinib,EGFR;ERBB2,inhibitor of EGFR and HER2
brd1812,BRD1812,,screening hit
brd8958,BRD8958,EP300,inhibitor of E1A binding protein p300
serdemetan,serdemetan,MDM2,inhibitor of MDM2
daporinad,daporinad,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
mk-1775,MK-1775,WEE1,inhibitor of WEE1
tivozanib,tivozanib,FLT1;FLT3;KDR,inhibitor of VEGFRs
ko-143,Ko-143,ABCG2,inhibitor of breast cancer resistance protein multidrug transporter (BCRP)
cr-1-31b,CR-1-31B,EIF4A2;EIF4E;EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex
brd-k71781559,BRD-K71781559,,screening hit
brd-k86535717,BRD-K86535717,,product of diversity oriented synthesis
brd-k48334597,BRD-K48334597,,product of diversity oriented synthesis
ml312,ML312,SCARB1,"inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake"
brd-k04800985,BRD-K04800985,,product of diversity oriented synthesis
brd-k78574327,BRD-K78574327,,product of diversity oriented synthesis
brd-k19103580,BRD-K19103580,,product of diversity oriented synthesis
brd-k30019337,BRD-K30019337,,product of diversity oriented synthesis
brd-k84807411,BRD-K84807411,,product of diversity oriented synthesis
brd-k01737880,BRD-K01737880,,screening hit
brd-k44224150,BRD-K44224150,,product of diversity oriented synthesis
brd-k75293299,BRD-K75293299,,product of diversity oriented synthesis
brd-k64610608,BRD-K64610608,,product of diversity oriented synthesis; screening hit
brd-k09344309,BRD-K09344309,,screening hit
brd-k02251932,BRD-K02251932,,product of diversity oriented synthesis
brd-k55116708,BRD-K55116708,,product of diversity oriented synthesis; inhibitor of leukemic stem cells
brd-k41334119,BRD-K41334119,,product of diversity oriented synthesis
brd-k34485477,BRD-K34485477,,product of diversity oriented synthesis
brd-k16147474,BRD-K16147474,,product of diversity oriented synthesis
brd-k29086754,BRD-K29086754,,product of diversity oriented synthesis
brd-k33199242,BRD-K33199242,,product of diversity oriented synthesis
brd-k52037352,BRD-K52037352,,product of diversity oriented synthesis
brd-k27986637,BRD-K27986637,,product of diversity oriented synthesis; screening hit
brd-k37390332,BRD-K37390332,,product of diversity oriented synthesis
tandutinib,tandutinib,FLT3;KIT,inhibitor of c-KIT and VEGFR3
fulvestrant,fulvestrant,ESR1;GPER1,antagonist of the estrogen receptor
bafilomycin a1,bafilomycin A1,ATP6V0A1,inhibitor of the vacuolar-type H+-ATPase
isonicotinohydroxamic acid,isonicotinohydroxamic acid,HDAC6,inhibitor of HDAC6
hli 373,HLI 373,MDM2,inhibitor of MDM2
nsc19630,NSC19630,WRN,inhibitor of Werner syndrome helicase activity
nsc48300,NSC48300,TASP1,inhibitor of threonine endopeptidase taspase 1
prima-1-met,PRIMA-1-Met,TP53,re-activator of the pro-apoptotic activity of mutant p53
isoevodiamine,isoevodiamine,,natural product
unc0638,UNC0638,EHMT1;EHMT2,inhibitor of EHMT2 and GLP methyltransferase
cucurbitacin i,cucurbitacin I,,natural product; modulator of NFKB1 and STAT3 signaling
brd-k50799972,BRD-K50799972,,product of diversity oriented synthesis
brd-k17060750,BRD-K17060750,,product of diversity oriented synthesis
barasertib,barasertib,AURKB,inhibitor of aurora kinase B
linifanib,linifanib,FLT1;FLT3;KDR,inhibitor of VEGFRs
veliparib,veliparib,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)
saracatinib,saracatinib,ABL1;SRC,inhibitor of SRC and ABL1
afatinib,afatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
cediranib,cediranib,FLT1;FLT4;KDR,inhibitor of VEGFRs
canertinib,canertinib,EGFR;ERBB2,inhibitor of EGFR and HER2
obatoclax,obatoclax,BCL2;BCL2L1;MCL1,"inhibitor of MCL1, BCL2, and BCL-xL"
masitinib,masitinib,KIT;PDGFRA;PDGFRB,"inhibitor of c-KIT, PDGFRA, and PDGFRB"
zstk474,ZSTK474,PIK3CB;PIK3CD;PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma"
brivanib,brivanib,FLT1;KDR,inhibitor of VEGFR 1/2
gdc-0879,GDC-0879,BRAF,inhibitor of BRAF
nvp-tae684,NVP-TAE684,ALK,inhibitor of ALK and ALK-NPM fusion protein
sns-032,SNS-032,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5,inhibitor of cyclin-dependent kinases
plx-4720,PLX-4720,BRAF,inhibitor of BRAF
tgx-221,TGX-221,PIK3CB,inhibitor of PI3K catalytic subunit beta
ku-0063794,KU-0063794,MTOR,inhibitor of mTOR
tg-100-115,TG-100-115,PIK3CD;PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma
gsk1059615,GSK1059615,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity
su11274,SU11274,MET,inhibitor of MET
brd-k88742110,BRD-K88742110,HDAC8,inhibitor of HDAC8
lrrk2-in-1,LRRK2-IN-1,DCLK1;LRRK2,inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase
brd8899,BRD8899,STK33,inhibitor of serine/threonine kinasase STK33
ex-527,EX-527,SIRT1,inhibitor of sirtuin 1
elcpk,ELCPK,,screening hit
npc-26,NPC-26,,"induces cell death through a non-apoptotic, mitochondrial-dependent mechanism"
"1s,3r-rsl-3","1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4
cil55a,CIL55A,,screening hit
sch-529074,SCH-529074,TP53,activator of mutant p53
stemregenin 1,StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor
fqi-2,FQI-2,,inhibitor of LSF1-mediated transcription
ml210,ML210,,selectively kills engineered cells expressing mutant HRAS
darinaparsin,darinaparsin,,inducer of ROS; inhibitor of microtubule assembly
px-12,PX-12,TXN,inhibitor of thioredoxin-1
gant-61,GANT-61,,inhibitor of hedgehog signaling pathway
pl-di,PL-DI,,dimer of piperlongumine; inducer of ROS
tw-37,TW-37,BCL2;BCL2L1,inhibitor of BCL2 and BCL-xL
azd8055,AZD8055,MTOR,inhibitor of mTOR
chm-1,CHM-1,,inhibitor of tubulin polymerization
qs-11,QS-11,ARFGAP1,inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)
ml239,ML239,,ML239; inhibitor of breast cancer stem cell proliferation
salermide,salermide,SIRT1;SIRT2,inhibitor of sirtuin 1 and sirtuin 2
fumonisin b1,fumonisin B1,CERS1;CERS2;CERS3;CERS4;CERS5;CERS6,inhibitor of ceramide synthase
jq-1,JQ-1,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins
brd-k51490254,BRD-K51490254,HDAC6;HDAC8,inhibitor of HDAC6 and HDAC8
brd-k85133207,BRD-K85133207,HDAC1,inhibitor of HDAC1
bms-345541,BMS-345541,IKBKB,inhibitor of IKK-2
cay10576,CAY10576,IKBKE,inhibitor of IKK-epsilon
repligen 136,Repligen 136,HDAC3,inhibitor of HDAC3
nintedanib,nintedanib,FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB,"inhibitor of c-KIT, VEGFRs, PDGFRs, and FGFRs"
crizotinib,crizotinib,ALK;MET,inhibitor of c-MET and ALK
foretinib,foretinib,KDR;MET,inhibitor of MET and VEGFR2
regorafenib,regorafenib,BRAF;KDR;KIT;RET,"inhibitor of BRAF, RET, KIT, and VEGFR2"
wz8040,WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance
osi-930,OSI-930,KDR;KIT,inhibitor of c-KIT and VEGFR2
mgcd-265,MGCD-265,FLT1;FLT3;KDR;MET,inhibitor of c-MET and VEGFRs
lenvatinib,lenvatinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
yk 4-279,YK 4-279,DHX9;ERG;ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity
cay10618,CAY10618,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase
ku 0060648,KU 0060648,PRKDC,inhibitor of DNA-dependent protein kinase
narciclasine,narciclasine,RHOA,activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling
mln2238,MLN2238,PSMB5,inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site
isox,ISOX,HDAC6,inhibitor of HDAC6
lapatinib,lapatinib,EGFR;ERBB2,inhibitor of EGFR and HER2
brd-k29313308,BRD-K29313308,HDAC3,inhibitor of HDAC3
unc0321,UNC0321,EHMT2,inhibitor of G9a histone methyltransferase
sgx-523,SGX-523,MET,inhibitor of MET
erismodegib,erismodegib,,screening hit
alisertib,alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B
azd6482,AZD6482,PIK3CB;PIK3CD,inhibitor of PI3K catalytic subunits beta and delta
ruxolitinib,ruxolitinib,JAK1;JAK2,inhibitor of Janus kinases 1 and 2
bleomycin a2,bleomycin A2,,inducer of DNA damage
