,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.368,,0.368,,.+..,74,238,74.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.368,,0.368,,.+..,75,239,75.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.426,,0.426,-0.637,.+.-,30,120,75.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.32899999999999996,,0.329,0.788,.+.++,134,16,75.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.368,,0.368,,.+..,76,240,76.0
teniposide,ctrp_teniposide,Topo II inhibitor,,0.337,,0.337,0.526,.+.+,120,34,77.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.366,,0.366,,.+..,77,241,77.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.366,,0.366,,.+..,78,242,78.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.32799999999999996,,0.328,0.782,.+.+,140,17,78.5
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.365,,0.365,,.+..,79,243,79.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.365,,0.365,,.+..,80,244,80.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,-0.044000000000000004,...-,709,80,80.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,-0.056499999999999995,...+-,680,81,81.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.363,,0.363,,.+..,81,245,81.0
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.363,,0.363,,.+..,82,246,82.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.361,,0.361,,.+..,83,247,83.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.358,,0.358,,.+..,84,248,84.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.35600000000000004,,0.356,,.+..,85,249,85.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.355,,0.355,,.+..,86,250,86.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.21600000000000003,...-,712,86,86.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.355,,0.355,,.+..,87,251,87.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.21699999999999997,...--,711,87,87.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.354,,0.354,,.+..,88,252,88.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.354,,0.354,,.+..,89,253,89.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,90,254,90.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,-0.25,...-,713,90,90.0
thalidomide,ctrp_thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.326,,0.326,0.504,.+.+,145,35,90.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,91,255,91.0
brd-k29086754,ctrp_BRD-K29086754,Not Clinically Relevant,,0.35,,0.35,,.+..,92,256,92.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.349,,0.349,-0.258,.+.-,94,92,93.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.28398437499999996,...+++++--,677,93,93.0
pac-1,ctrp_PAC-1,Not Clinically Relevant,0.45799999999999996,0.24,,0.349,,++..,93,257,93.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,-0.298,...-,714,94,94.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.331,...-,715,96,96.0
ym201636,gdsc_YM201636,Not Clinically Relevant,0.348,,,0.348,,+...,96,258,96.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,-0.34375,...+--,699,97,97.0
brd-k19103580,ctrp_BRD-K19103580,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,98,259,98.0
quizartinib,ctrp_quizartinib,Flt3 inhibitor,0.61,0.27899999999999997,,0.444,-0.9570000000000001,++.-,26,170,98.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.345,,0.345,,.+..,99,260,99.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.33799999999999997,,0.338,-0.2,.+.-,114,85,99.5
cil70,ctrp_CIL70,Not Clinically Relevant,,0.345,,0.345,,.+..,100,261,100.0
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.344,,0.344,,.+..,101,262,101.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,-0.384,...-,716,102,102.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.344,,0.344,,.+..,102,263,102.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.344,,0.344,,.+..,103,264,103.0
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.344,,0.344,,.+..,104,265,104.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.40299999999999997,...-,717,104,104.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.34299999999999997,,0.343,,.+..,105,266,105.0
tofacitinib,cmap_tofacitinib,JAK Kinase inhibitor,,,,,-0.41,...-,718,105,105.0
daporinad,ctrp_daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.397,0.287,,0.342,,++..,106,267,106.0
cisplatin,gdsc_Cisplatin,Not Clinically Relevant,0.341,,,0.341,,+...,107,268,107.0
ubenimex,cmap_ubenimex,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia",,,,,-0.466,...-,719,108,108.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.341,,0.341,,.+..,108,269,108.0
azd4547,ctrp_AZD4547,"FGFR-1,2 and 3 inhibitor",,0.341,,0.341,,.+..,109,270,109.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.31,0.384,,0.347,-0.648,++.-,97,122,109.5
hyperforin,ctrp_hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.31,,0.31,0.5529999999999999,.+.+,188,31,109.5
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,-0.483,...-,720,110,110.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.34,,0.34,,.+..,111,271,111.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.49,...-,721,111,111.0
vorinostat,ctrp_vorinostat,HDAC inhibitor (SAHA),0.364,0.316,,0.34,-0.539,++.-,110,113,111.5
mps-1-in-1,gdsc_MPS-1-IN-1,Not Clinically Relevant,0.33899999999999997,,,0.339,,+...,112,272,112.0
riluzole,cmap_riluzole,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors",,,,,-0.5379999999999999,...-,723,112,112.0
brd-k90370028,ctrp_BRD-K90370028,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,113,273,113.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.591,...-,724,115,115.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,115,274,115.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.59275,...---,710,116,116.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,116,275,116.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,117,276,117.0
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.315,,0.315,0.17600000000000002,.+.+,175,61,118.0
aica ribonucleotide,gdsc_AICA Ribonucleotide,Not Clinically Relevant,0.337,,,0.337,,+...,118,277,118.0
birb-796,ctrp_BIRB-796,Not Clinically Relevant,,0.337,,0.337,,.+..,119,278,119.0
fedratinib,gdsc_Fedratinib,JAK2 inhibitor,0.336,,,0.336,,+...,121,279,121.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,-0.647,...-,725,121,121.0
brd8899,ctrp_BRD8899,Not Clinically Relevant,,0.336,,0.336,,.+..,122,280,122.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.336,,0.336,,.+..,123,281,123.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,-0.6555000000000001,...--,722,124,124.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,124,282,124.0
tacedinaline,ctrp_tacedinaline,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,125,283,125.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,126,284,126.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.33299999999999996,,0.333,,.+..,127,285,127.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.33299999999999996,,0.333,,.+..,128,286,128.0
ml006,ctrp_ML006,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,129,287,129.0
azd-7762,cmap_azd-7762, Chk1 / Chk2 inhibitor,,,,,-0.706,...-,726,130,130.0
jw-480,ctrp_JW-480,Not Clinically Relevant,,0.332,,0.332,,.+..,130,288,130.0
bms-754807,gdsc_BMS-754807,Not Clinically Relevant,0.327,0.336,,0.332,,++..,131,289,131.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.332,,0.332,,.+..,132,290,132.0
busulfan,cmap_busulfan,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication",,,,,-0.7090000000000001,...-,727,132,132.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.33,,0.33,,.+..,133,291,133.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.721,...-,728,134,134.0
decitabine,ctrp_decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.299,,0.299,0.253,.+.+,219,50,134.5
rita,ctrp_RITA,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,135,292,135.0
ml029,ctrp_ML029,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,136,293,136.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.733,...-,729,136,136.0
isox,ctrp_ISOX,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,137,294,137.0
ml031,ctrp_ML031,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,138,295,138.0
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.745,...-,730,138,138.0
manumycin a,ctrp_manumycin A,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,139,296,139.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.748,...-,731,140,140.0
brd-k61166597,ctrp_BRD-K61166597,Not Clinically Relevant,,0.327,,0.327,,.+..,141,297,141.0
brd-k16147474,ctrp_BRD-K16147474,Not Clinically Relevant,,0.327,,0.327,,.+..,142,298,142.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.327,,0.327,,.+..,143,299,143.0
brd-k41597374,ctrp_BRD-K41597374,Not Clinically Relevant,,0.326,,0.326,,.+..,144,300,144.0
hc-067047,ctrp_HC-067047,Not Clinically Relevant,,0.325,,0.325,,.+..,146,301,146.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.325,,0.325,,.+..,147,302,147.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.325,,0.325,,.+..,148,303,148.0
ar-42,gdsc_AR-42,Not Clinically Relevant,0.325,,,0.325,,+...,149,304,149.0
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,-0.852,...-,733,150,150.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.325,,0.325,,.+..,150,305,150.0
cimetidine,ctrp_cimetidine,(Tagamet) Antacid and antihistamine,,0.297,,0.297,0.006999999999999951,.+.+-,224,77,150.5
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.325,,0.325,,.+..,151,306,151.0
propranolol,cmap_propranolol,"beta-blocker, used to treat high blood pressure, may have anti-cancer activity",,,,,-0.853,...-,734,151,151.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.324,,0.324,,.+..,152,307,152.0
bms-536924,ctrp_BMS-536924,Not Clinically Relevant,0.37200000000000005,0.27699999999999997,,0.324,,++..,153,308,153.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.86225,...---,732,153,153.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.285,,0.285,0.174,.+.+,245,62,153.5
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.324,,0.324,,.+..,154,309,154.0
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,155,310,155.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.8734999999999999,...--,735,156,156.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,156,311,156.0
gsk-1059615,cmap_gsk-1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,,,,-0.875,...-,736,157,157.0
