,moa,GDSC,CTRP,CCLE,drug,score,evidence
purmorphamine,Not Clinically Relevant,,0.302,,ctrp_purmorphamine,0.302,.+.
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9",,0.302,,ctrp_alvocidib,0.302,.+.
importazole,Not Clinically Relevant,,0.301,,ctrp_importazole,0.301,.+.
pha-793887,"CDK inhibitor, esp CDK2, CDK5 and CDK7",0.29600000000000004,0.306,,gdsc_PHA-793887,0.301,++.
sch-79797,Not Clinically Relevant,,0.301,,ctrp_SCH-79797,0.301,.+.
sb-525334,Not Clinically Relevant,,0.3,,ctrp_SB-525334,0.3,.+.
prima-1,Not Clinically Relevant,,0.299,,ctrp_PRIMA-1,0.299,.+.
nvp-231,Not Clinically Relevant,,0.298,,ctrp_NVP-231,0.298,.+.
bleomycin a2,"Induces DNA strand breaks, inhibits incorporation of thymidine into DNA strands.",,0.298,,ctrp_bleomycin A2,0.298,.+.
tgx-221,Not Clinically Relevant,,0.298,,ctrp_TGX-221,0.298,.+.
cytochalasin b,Not Clinically Relevant,,0.297,,ctrp_cytochalasin B,0.297,.+.
n9-isopropylolomoucine,Not Clinically Relevant,,0.297,,ctrp_N9-isopropylolomoucine,0.297,.+.
simvastatin,"HMG-CoA reductase inhibitor,",,0.297,,ctrp_simvastatin,0.297,.+.
kh-cb19,Not Clinically Relevant,,0.29600000000000004,,ctrp_KH-CB19,0.296,.+.
fluvastatin,"HMG-CoA reductase inhibitor,",,0.29600000000000004,,ctrp_fluvastatin,0.296,.+.
salermide,Not Clinically Relevant,,0.29600000000000004,,ctrp_salermide,0.296,.+.
zm447439,Not Clinically Relevant,0.29600000000000004,,,gdsc_ZM447439,0.296,+..
momelotinib,JAK1 and JAK2 inhibitor,,0.295,,ctrp_momelotinib,0.295,.+.
methylstat,Not Clinically Relevant,,0.295,,ctrp_methylstat,0.295,.+.
narciclasine,Not Clinically Relevant,,0.295,,ctrp_narciclasine,0.295,.+.
sr-ii-138a,Not Clinically Relevant,,0.295,,ctrp_SR-II-138A,0.295,.+.
tamatinib,(R4060) inhibitor of IgE and IgG-mediated activation of Fc receptor signaling. Primary target is Syk,,0.295,,ctrp_tamatinib,0.295,.+.
cr-1-31b,Not Clinically Relevant,,0.293,,ctrp_CR-1-31B,0.293,.+.
at7867,Not Clinically Relevant,,0.293,,ctrp_AT7867,0.293,.+.
brd-k96431673,Not Clinically Relevant,,0.293,,ctrp_BRD-K96431673,0.293,.+.
sb-743921,kinesin spindle protein (KSP) inhibitor,,0.292,,ctrp_SB-743921,0.292,.+.
cal-101,"Idelalisib,  PI3K/p110δ inhibitor",,0.292,,ctrp_CAL-101,0.292,.+.
az-3146,Not Clinically Relevant,,0.292,,ctrp_AZ-3146,0.292,.+.
cil55a,Not Clinically Relevant,,0.292,,ctrp_CIL55A,0.292,.+.
leptomycin b,Not Clinically Relevant,,0.29100000000000004,,ctrp_leptomycin B,0.291,.+.
phloretin,Not Clinically Relevant,,0.29100000000000004,,ctrp_phloretin,0.291,.+.
smer-3,Not Clinically Relevant,,0.289,,ctrp_SMER-3,0.289,.+.
pi-103,Not Clinically Relevant,0.21899999999999997,0.359,,gdsc_PI-103,0.289,++.
gw-405833,Not Clinically Relevant,,0.289,,ctrp_GW-405833,0.289,.+.
agk-2,Not Clinically Relevant,,0.289,,ctrp_AGK-2,0.289,.+.
nsc-207895,Not Clinically Relevant,0.289,,,gdsc_NSC-207895,0.289,+..
ifosfamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA",,0.289,,ctrp_ifosfamide,0.289,.+.
cyanoquinoline 11,Not Clinically Relevant,,0.289,,ctrp_cyanoquinoline 11,0.289,.+.
