,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.374,,0.374,0.9840000000000001,.+.+,55,3,29.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.408,,0.408,,.+..,29,199,29.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,0.677,...+,691,30,30.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.402,,0.402,,.+..,30,200,30.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.6759999999999999,...+,692,31,31.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.401,,0.401,,.+..,31,201,31.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.4,,0.4,,.+..,32,202,32.0
unc1215,gdsc_UNC1215,Not Clinically Relevant,0.4,,,0.4,,+...,33,203,33.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.657,...+,693,34,34.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.4,,0.4,,.+..,34,204,34.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.41,,0.41,0.485,.+.+,27,43,35.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.594,...+,694,36,36.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.396,,0.396,,.+..,36,205,36.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,37,206,37.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.555,...+,695,38,38.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.39299999999999996,,0.393,,.+..,38,207,38.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,39,208,39.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.5215,...++,685,40,40.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.389,,0.389,,.+..,40,209,40.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.387,,0.387,,.+..,41,210,41.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.726,0.281,,0.504,0.161,++.+,13,71,42.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.504,...+,696,42,42.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.382,,0.382,,.+..,43,211,43.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.48,...+,697,44,44.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.47700000000000004,...+,698,45,45.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.38,,0.38,,.+..,45,212,45.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.38,,0.38,,.+..,46,213,46.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.47600000000000003,...+,699,46,46.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.377,,0.377,,.+..,47,214,47.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.466,...+,700,47,47.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.377,,0.377,,.+..,48,215,48.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.46399999999999997,...+,701,48,48.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.377,,0.377,,.+..,49,216,49.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.376,,0.376,,.+..,50,217,50.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.375,,0.375,,.+..,51,218,51.0
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.375,,,0.375,,+...,52,219,52.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.375,,0.375,,.+..,53,220,53.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.366,...+,702,53,53.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.33799999999999997,,0.338,0.953,.+.+,102,6,54.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.375,,0.375,,.+..,54,221,54.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.385,,0.385,0.19,.+.+,42,68,55.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.374,,0.374,,.+..,56,222,56.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.373,,0.373,,.+..,57,223,57.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.368,,0.368,,.+..,58,224,58.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.363,,0.363,0.3715,.+.+++,65,52,58.5
iu1,ctrp_IU1,Not Clinically Relevant,,0.368,,0.368,,.+..,59,225,59.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,0.287,...+,703,59,59.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.36700000000000005,,0.367,,.+..,60,226,60.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.366,,0.366,,.+..,61,227,61.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.262,...+,704,61,61.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.24100000000000002,...+,705,62,62.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.365,,0.365,,.+..,62,228,62.0
brd-k29086754,ctrp_BRD-K29086754,Not Clinically Relevant,,0.364,,0.364,,.+..,63,229,63.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.23199999999999998,...+,706,64,64.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.363,,0.363,,.+..,64,230,64.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.22,...+,707,65,65.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.361,,0.361,,.+..,66,231,66.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.36,,0.36,,.+..,67,232,67.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.36,,0.36,,.+..,68,233,68.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.359,,0.359,,.+..,69,234,69.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.359,,0.359,,.+..,70,235,70.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.35700000000000004,,0.357,,.+..,71,236,71.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.35600000000000004,,0.356,,.+..,72,237,72.0
brd-k29313308,ctrp_BRD-K29313308,Not Clinically Relevant,,0.35600000000000004,,0.356,,.+..,73,238,73.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,0.138,...+,708,73,73.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.35600000000000004,,0.356,,.+..,74,239,74.0
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.35600000000000004,,0.356,,.+..,75,240,75.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.355,,0.355,,.+..,76,241,76.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.35100000000000003,,0.351,,.+..,77,242,77.0
cisplatin,gdsc_Cisplatin,Not Clinically Relevant,0.35100000000000003,,,0.351,,+...,78,243,78.0
nsc19630,ctrp_NSC19630,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,79,244,79.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,80,245,80.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.044000000000000095,...+-,675,81,81.0
968,ctrp_968,Not Clinically Relevant,,0.35,,0.35,,.+..,81,246,81.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.35,,0.35,,.+..,82,247,82.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.35,,0.35,,.+..,83,248,83.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.349,,0.349,,.+..,84,249,84.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.10800000000000001,...-,710,84,84.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.348,,0.348,,.+..,85,250,85.0
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.348,,0.348,,.+..,86,251,86.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.348,,0.348,,.+..,87,252,87.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,88,253,88.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,-0.228,...-,711,89,89.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,89,254,89.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.34600000000000003,,0.346,,.+..,90,255,90.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.664,0.45799999999999996,,0.561,-0.981,++.-,7,174,90.5
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.345,,0.345,,.+..,91,256,91.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.336,,0.336,0.092,.+.+,106,77,91.5
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.345,,0.345,,.+..,92,257,92.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.345,,0.345,,.+..,93,258,93.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.29725,...+--,679,93,93.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.34299999999999997,,0.343,,.+..,94,259,94.0
busulfan,cmap_busulfan,"alkylating agent, forms DNA-DNA intrastrand crosslinks, prevents DNA replication",,,,,-0.31,...-,713,94,94.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,-0.313,...-,714,95,95.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.342,,0.342,,.+..,95,260,95.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,-0.32699999999999996,...--,712,96,96.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.341,,0.341,,.+..,96,261,96.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.36700000000000005,...-,715,97,97.0
brd-k44224150,ctrp_BRD-K44224150,Not Clinically Relevant,,0.341,,0.341,,.+..,97,262,97.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.408,...-,716,98,98.0
vorinostat,ctrp_vorinostat,HDAC inhibitor (SAHA),0.312,0.307,,0.31,0.5760000000000001,++.+,159,37,98.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.34,,0.34,,.+..,99,263,99.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.263,0.405,,0.334,-0.129,++.-,113,86,99.5
at-406,ctrp_AT-406,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,100,264,100.0
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.33799999999999997,,0.338,,.+..,101,265,101.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.337,,0.337,,.+..,103,266,103.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.445,...-,717,104,104.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.336,,0.336,,.+..,104,267,104.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,-0.458,...+--,709,105,105.0
fgin-1-27,ctrp_FGIN-1-27,Not Clinically Relevant,,0.336,,0.336,,.+..,105,268,105.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.336,,0.336,,.+..,107,269,107.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.34,,0.34,-0.578,.+.-,98,116,107.0
compound 23 citrate,ctrp_Compound 23 citrate,Not Clinically Relevant,,0.336,,0.336,,.+..,108,270,108.0
sgx-523,ctrp_SGX-523, Met inhibitor,,0.335,,0.335,,.+..,109,271,109.0
thalidomide,ctrp_thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.305,,0.305,0.45399999999999996,.+.+,170,49,109.5
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.535,...-,719,110,110.0
brd-k84807411,ctrp_BRD-K84807411,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,110,272,110.0
hg-5-113-01,gdsc_HG-5-113-01,Not Clinically Relevant,0.33399999999999996,,,0.334,,+...,111,273,111.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.537234375,...+++----,674,111,111.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.33399999999999996,,0.334,,.+..,112,274,112.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.293,,0.293,0.7609999999999999,.+.+,203,22,112.5
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,-0.55,...-,720,113,113.0
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,114,275,114.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.33299999999999996,,0.333,,.+..,115,276,115.0
ym201636,gdsc_YM201636,Not Clinically Relevant,0.332,,,0.332,,+...,116,277,116.0
brd-k86535717,ctrp_BRD-K86535717,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,117,278,117.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.295,,0.295,0.6385000000000001,.+.++,199,35,117.0
ubenimex,cmap_ubenimex,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia",,,,,-0.5870000000000001,...-,723,117,117.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.5935,...--,718,118,118.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.327,,0.327,,.+..,118,279,118.0
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.327,,0.327,,.+..,119,280,119.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.597,...-,724,119,119.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.326,,0.326,,.+..,120,281,120.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.325,,0.325,,.+..,121,282,121.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.605,...-,725,121,121.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.325,,0.325,,.+..,122,283,122.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.608,...-,726,122,122.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.325,,0.325,,.+..,123,284,123.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,-0.621,...-,727,123,123.0
hc-067047,ctrp_HC-067047,Not Clinically Relevant,,0.324,,0.324,,.+..,124,285,124.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.324,,0.324,,.+..,125,286,125.0
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,-0.638,...-,728,126,126.0
brd-k66532283,ctrp_BRD-K66532283,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,126,287,126.0
mps-1-in-1,gdsc_MPS-1-IN-1,Not Clinically Relevant,0.32299999999999995,,,0.323,,+...,127,288,127.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,-0.649,...-,729,127,127.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.298,,0.298,0.168,.+.+,185,70,127.5
cimetidine,ctrp_cimetidine,(Tagamet) Antacid and antihistamine,,0.303,,0.303,-0.07600000000000001,.+.+-,173,83,128.0
ly-2157299,ctrp_LY-2157299,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,128,289,128.0
nsc-207895,gdsc_NSC-207895,Not Clinically Relevant,0.321,,,0.321,,+...,129,290,129.0
rita,ctrp_RITA,Not Clinically Relevant,,0.32,,0.32,,.+..,130,291,130.0
lbw242,ccle_LBW242,Not Clinically Relevant,,,0.32,0.32,,..+.,131,292,131.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.67625,...---,721,131,131.0
lomeguatrib,ctrp_lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.32,,0.32,,.+..,132,293,132.0
etoposide,gdsc_Etoposide,Topo II inhibitor,0.25,0.311,,0.28,0.7409999999999999,++.++,241,23,132.0
niclosamide,ctrp_niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.302,,0.302,-0.207,.+.-,178,88,133.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.32,,0.32,,.+..,133,294,133.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.6809999999999999,...-,730,133,133.0
brd-k75293299,ctrp_BRD-K75293299,Not Clinically Relevant,,0.32,,0.32,,.+..,134,295,134.0
ml162,ctrp_ML162,Not Clinically Relevant,,0.319,,0.319,,.+..,135,296,135.0
qs-11,ctrp_QS-11,Not Clinically Relevant,,0.319,,0.319,,.+..,136,297,136.0
pirarubicin,cmap_pirarubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.6920000000000001,...-,731,136,136.0
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.319,,0.319,,.+..,137,298,137.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,-0.7024999999999999,...--,722,138,138.0
pandacostat,ctrp_pandacostat,Not Clinically Relevant,,0.319,,0.319,,.+..,138,299,138.0
wz3105,gdsc_WZ3105,Not Clinically Relevant,0.318,,,0.318,,+...,139,300,139.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.318,,0.318,,.+..,140,301,140.0
birb-796,ctrp_BIRB-796,Not Clinically Relevant,,0.318,,0.318,,.+..,141,302,141.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.7559999999999999,...-,733,141,141.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.317,,0.317,,.+..,142,303,142.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.7915,...--,732,143,143.0
tivantinib,ctrp_tivantinib,Met inhibitor,,0.317,,0.317,,.+..,143,304,143.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.317,,0.317,,.+..,144,305,144.0
gsk-1059615,cmap_gsk-1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,,,,-0.8420000000000001,...-,734,145,145.0
ml006,ctrp_ML006,Not Clinically Relevant,,0.316,,0.316,,.+..,145,306,145.0
brd-k16147474,ctrp_BRD-K16147474,Not Clinically Relevant,,0.316,,0.316,,.+..,146,307,146.0
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.292,,0.292,-0.198,.+.-,205,87,146.0
riluzole,cmap_riluzole,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors",,,,,-0.853,...-,735,146,146.0
azd-8055,cmap_azd-8055,mTOR inhibitor,,,,,-0.853,...-,736,147,147.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.316,,0.316,,.+..,147,308,147.0
nsc95397,ctrp_NSC95397,Not Clinically Relevant,,0.315,,0.315,,.+..,148,309,148.0
vincristine,ctrp_vincristine,"binds tubulin, disrupts microtubule dynamics",,0.287,,0.287,0.1315,.+.++-,223,74,148.5
zm447439,gdsc_ZM447439,Not Clinically Relevant,0.315,,,0.315,,+...,149,310,149.0
tofacitinib,cmap_tofacitinib,JAK Kinase inhibitor,,,,,-0.868,...-,737,149,149.0
brd-k90370028,ctrp_BRD-K90370028,Not Clinically Relevant,,0.315,,0.315,,.+..,150,311,150.0
