,moa,GDSC,CTRP,CCLE,drug,score,evidence
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.374,,ctrp_sitagliptin,0.374,.+.
brd-k51490254,Not Clinically Relevant,,0.373,,ctrp_BRD-K51490254,0.373,.+.
bms-195614,Not Clinically Relevant,,0.368,,ctrp_BMS-195614,0.368,.+.
iu1,Not Clinically Relevant,,0.368,,ctrp_IU1,0.368,.+.
ml203,Not Clinically Relevant,,0.36700000000000005,,ctrp_ML203,0.367,.+.
brd-k51831558,Not Clinically Relevant,,0.366,,ctrp_BRD-K51831558,0.366,.+.
bms-270394,Not Clinically Relevant,,0.365,,ctrp_BMS-270394,0.365,.+.
brd-k29086754,Not Clinically Relevant,,0.364,,ctrp_BRD-K29086754,0.364,.+.
cil41,Not Clinically Relevant,,0.363,,ctrp_CIL41,0.363,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.363,,ctrp_tacrolimus,0.363,.+.
rg-108,Not Clinically Relevant,,0.361,,ctrp_RG-108,0.361,.+.
repligen 136,Not Clinically Relevant,,0.36,,ctrp_Repligen 136,0.36,.+.
compound 1541a,Not Clinically Relevant,,0.36,,ctrp_Compound 1541A,0.36,.+.
sz4ta2,Not Clinically Relevant,,0.359,,ctrp_SZ4TA2,0.359,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.359,,ctrp_PF-4800567 hydrochloride,0.359,.+.
compound 1b,Not Clinically Relevant,,0.35700000000000004,,ctrp_compound 1B,0.357,.+.
brd-k24690302,Not Clinically Relevant,,0.35600000000000004,,ctrp_BRD-K24690302,0.356,.+.
brd-k29313308,Not Clinically Relevant,,0.35600000000000004,,ctrp_BRD-K29313308,0.356,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.35600000000000004,,ctrp_foretinib,0.356,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.35600000000000004,,ctrp_fingolimod,0.356,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.355,,ctrp_omacetaxine mepesuccinate,0.355,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.35100000000000003,,ctrp_PX-12,0.351,.+.
cisplatin,Not Clinically Relevant,0.35100000000000003,,,gdsc_Cisplatin,0.351,+..
nsc19630,Not Clinically Relevant,,0.35100000000000003,,ctrp_NSC19630,0.351,.+.
brd1835,Not Clinically Relevant,,0.35100000000000003,,ctrp_BRD1835,0.351,.+.
968,Not Clinically Relevant,,0.35,,ctrp_968,0.35,.+.
jw-55,Not Clinically Relevant,,0.35,,ctrp_JW-55,0.35,.+.
brd-k13999467,Not Clinically Relevant,,0.35,,ctrp_BRD-K13999467,0.35,.+.
jw-74,Not Clinically Relevant,,0.349,,ctrp_JW-74,0.349,.+.
sr1001,Not Clinically Relevant,,0.348,,ctrp_SR1001,0.348,.+.
brd-k11533227,Not Clinically Relevant,,0.348,,ctrp_BRD-K11533227,0.348,.+.
necrostatin-7,Not Clinically Relevant,,0.348,,ctrp_necrostatin-7,0.348,.+.
brd-k92856060,Not Clinically Relevant,,0.34700000000000003,,ctrp_BRD-K92856060,0.347,.+.
ski-ii,Not Clinically Relevant,,0.34600000000000003,,ctrp_SKI-II,0.346,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.34600000000000003,,ctrp_TG-100-115,0.346,.+.
gmx-1778,Not Clinically Relevant,,0.345,,ctrp_GMX-1778,0.345,.+.
abt-199,Bcl2 inhibitor,,0.345,,ctrp_ABT-199,0.345,.+.
nsc23766,Not Clinically Relevant,,0.345,,ctrp_NSC23766,0.345,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.34299999999999997,,ctrp_lenvatinib,0.343,.+.
apicidin,Not Clinically Relevant,,0.342,,ctrp_apicidin,0.342,.+.
brd-k44224150,Not Clinically Relevant,,0.341,,ctrp_BRD-K44224150,0.341,.+.
elcpk,Not Clinically Relevant,,0.341,,ctrp_ELCPK,0.341,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.34,,ctrp_darinaparsin,0.34,.+.
mst-312,Not Clinically Relevant,,0.34,,ctrp_MST-312,0.34,.+.
at-406,Not Clinically Relevant,,0.33899999999999997,,ctrp_AT-406,0.339,.+.
plx-4032,BRAF (V600E) inhibitor,,0.33799999999999997,,ctrp_PLX-4032,0.338,.+.
alisertib,Aurora A kinase inhibitor,,0.33799999999999997,,ctrp_alisertib,0.338,.+.
mdivi-1,Not Clinically Relevant,,0.337,,ctrp_Mdivi-1,0.337,.+.
compound 23 citrate,Not Clinically Relevant,,0.336,,ctrp_Compound 23 citrate,0.336,.+.
ac55649,Not Clinically Relevant,,0.336,,ctrp_AC55649,0.336,.+.
kpt185,Not Clinically Relevant,,0.336,,ctrp_KPT185,0.336,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.336,,ctrp_itraconazole,0.336,.+.
fgin-1-27,Not Clinically Relevant,,0.336,,ctrp_FGIN-1-27,0.336,.+.
sgx-523, Met inhibitor,,0.335,,ctrp_SGX-523,0.335,.+.
brd-k84807411,Not Clinically Relevant,,0.33399999999999996,,ctrp_BRD-K84807411,0.334,.+.
hg-5-113-01,Not Clinically Relevant,0.33399999999999996,,,gdsc_HG-5-113-01,0.334,+..
bendamustine,alkylating agent,,0.33399999999999996,,ctrp_bendamustine,0.334,.+.
belinostat,HDAC inhibitor (PXD101),0.263,0.405,,gdsc_Belinostat,0.334,++.
brd-k02251932,Not Clinically Relevant,,0.33299999999999996,,ctrp_BRD-K02251932,0.333,.+.
elocalcitol,vitamin D receptor agonist,,0.33299999999999996,,ctrp_elocalcitol,0.333,.+.
ym201636,Not Clinically Relevant,0.332,,,gdsc_YM201636,0.332,+..
brd-k86535717,Not Clinically Relevant,,0.32799999999999996,,ctrp_BRD-K86535717,0.328,.+.
bibr-1532,Not Clinically Relevant,,0.327,,ctrp_BIBR-1532,0.327,.+.
nsc 74859,Not Clinically Relevant,,0.327,,ctrp_NSC 74859,0.327,.+.
ceranib-2,Not Clinically Relevant,,0.326,,ctrp_ceranib-2,0.326,.+.
lbh-589,HDAC inhibitor,,0.325,,ctrp_LBH-589,0.325,.+.
necrostatin-1,Not Clinically Relevant,,0.325,,ctrp_necrostatin-1,0.325,.+.
pdmp,Not Clinically Relevant,,0.325,,ctrp_PDMP,0.325,.+.
hc-067047,Not Clinically Relevant,,0.324,,ctrp_HC-067047,0.324,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.324,,ctrp_cytarabine hydrochloride,0.324,.+.
ly-2157299,Not Clinically Relevant,,0.32299999999999995,,ctrp_LY-2157299,0.323,.+.
mps-1-in-1,Not Clinically Relevant,0.32299999999999995,,,gdsc_MPS-1-IN-1,0.323,+..
brd-k66532283,Not Clinically Relevant,,0.32299999999999995,,ctrp_BRD-K66532283,0.323,.+.
nsc-207895,Not Clinically Relevant,0.321,,,gdsc_NSC-207895,0.321,+..
rita,Not Clinically Relevant,,0.32,,ctrp_RITA,0.32,.+.
lbw242,Not Clinically Relevant,,,0.32,ccle_LBW242,0.32,..+
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.32,,ctrp_lomeguatrib,0.32,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.32,,ctrp_KW-2449,0.32,.+.
brd-k75293299,Not Clinically Relevant,,0.32,,ctrp_BRD-K75293299,0.32,.+.
ml162,Not Clinically Relevant,,0.319,,ctrp_ML162,0.319,.+.
qs-11,Not Clinically Relevant,,0.319,,ctrp_QS-11,0.319,.+.
pandacostat,Not Clinically Relevant,,0.319,,ctrp_pandacostat,0.319,.+.
nvp-adw742,Not Clinically Relevant,,0.319,,ctrp_NVP-ADW742,0.319,.+.
wz3105,Not Clinically Relevant,0.318,,,gdsc_WZ3105,0.318,+..
sb-225002,Not Clinically Relevant,,0.318,,ctrp_SB-225002,0.318,.+.
birb-796,Not Clinically Relevant,,0.318,,ctrp_BIRB-796,0.318,.+.
pifithrin-mu,Not Clinically Relevant,,0.317,,ctrp_pifithrin-mu,0.317,.+.
tivantinib,Met inhibitor,,0.317,,ctrp_tivantinib,0.317,.+.
brd6340,Not Clinically Relevant,,0.317,,ctrp_BRD6340,0.317,.+.
ly-2183240,Not Clinically Relevant,,0.316,,ctrp_LY-2183240,0.316,.+.
ml006,Not Clinically Relevant,,0.316,,ctrp_ML006,0.316,.+.
brd-k16147474,Not Clinically Relevant,,0.316,,ctrp_BRD-K16147474,0.316,.+.
nsc95397,Not Clinically Relevant,,0.315,,ctrp_NSC95397,0.315,.+.
zm447439,Not Clinically Relevant,0.315,,,gdsc_ZM447439,0.315,+..
brd-k90370028,Not Clinically Relevant,,0.315,,ctrp_BRD-K90370028,0.315,.+.
jw-480,Not Clinically Relevant,,0.315,,ctrp_JW-480,0.315,.+.
am-580,Not Clinically Relevant,,0.314,,ctrp_AM-580,0.314,.+.
ki8751,Not Clinically Relevant,,0.314,,ctrp_Ki8751,0.314,.+.
bms-754807,Not Clinically Relevant,0.332,0.29600000000000004,,ctrp_BMS-754807,0.314,++.
brd-k61166597,Not Clinically Relevant,,0.313,,ctrp_BRD-K61166597,0.313,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.369,0.254,,ctrp_daporinad,0.312,++.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.312,,ctrp_MGCD-265,0.312,.+.
nsc48300,Not Clinically Relevant,,0.311,,ctrp_NSC48300,0.311,.+.
vorinostat,HDAC inhibitor (SAHA),0.312,0.307,,ctrp_vorinostat,0.31,++.
isox,Not Clinically Relevant,,0.309,,ctrp_ISOX,0.309,.+.
bix-01294,Not Clinically Relevant,,0.309,,ctrp_BIX-01294,0.309,.+.
tacedinaline,Not Clinically Relevant,,0.308,,ctrp_tacedinaline,0.308,.+.
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9",,0.308,,ctrp_alvocidib,0.308,.+.
ro4929097,Notch (gamma secretase) inhibitor,,0.306,,ctrp_RO4929097,0.306,.+.
ml083,Not Clinically Relevant,,0.306,,ctrp_ML083,0.306,.+.
isoevodiamine,Not Clinically Relevant,,0.305,,ctrp_isoevodiamine,0.305,.+.
brd-k02492147,Not Clinically Relevant,,0.305,,ctrp_BRD-K02492147,0.305,.+.
ml031,Not Clinically Relevant,,0.305,,ctrp_ML031,0.305,.+.
thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.305,,ctrp_thalidomide,0.305,.+.
cucurbitacin i,Not Clinically Relevant,,0.305,,ctrp_cucurbitacin I,0.305,.+.
pl-di,Not Clinically Relevant,,0.304,,ctrp_PL-DI,0.304,.+.
dinaciclib,"CDK inhibitor, esp CDK1, 2, 5, and 9",,0.303,,ctrp_dinaciclib,0.303,.+.
cimetidine,(Tagamet) Antacid and antihistamine,,0.303,,ctrp_cimetidine,0.303,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.303,,ctrp_AZD1480,0.303,.+.
brd8899,Not Clinically Relevant,,0.303,,ctrp_BRD8899,0.303,.+.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.302,,ctrp_GSK1059615,0.302,.+.
bms-345541,Not Clinically Relevant,0.37200000000000005,0.23199999999999998,,ctrp_BMS-345541,0.302,++.
niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.302,,ctrp_niclosamide,0.302,.+.
pf-184,Not Clinically Relevant,,0.301,,ctrp_PF-184,0.301,.+.
gsk-3 inhibitor ix,Not Clinically Relevant,,0.3,,ctrp_GSK-3 inhibitor IX,0.3,.+.
trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.3,,ctrp_trifluoperazine,0.3,.+.
yk 4-279,Not Clinically Relevant,,0.3,,ctrp_YK 4-279,0.3,.+.
ch-55,Not Clinically Relevant,,0.299,,ctrp_Ch-55,0.299,.+.
manumycin a,Not Clinically Relevant,,0.299,,ctrp_manumycin A,0.299,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.298,,ctrp_brivanib,0.298,.+.
triazolothiadiazine,Not Clinically Relevant,,0.297,,ctrp_triazolothiadiazine,0.297,.+.
pyr-41,Not Clinically Relevant,,0.297,,ctrp_PYR-41,0.297,.+.
mi-2,Not Clinically Relevant,,0.297,,ctrp_MI-2,0.297,.+.
cd-1530,Not Clinically Relevant,,0.297,,ctrp_CD-1530,0.297,.+.
brd-k30019337,Not Clinically Relevant,,0.297,,ctrp_BRD-K30019337,0.297,.+.
necrosulfonamide,Not Clinically Relevant,,0.297,,ctrp_necrosulfonamide,0.297,.+.
cyanoquinoline 11,Not Clinically Relevant,,0.29600000000000004,,ctrp_cyanoquinoline 11,0.296,.+.
brd-k48334597,Not Clinically Relevant,,0.29600000000000004,,ctrp_BRD-K48334597,0.296,.+.
fsc231,Not Clinically Relevant,,0.29600000000000004,,ctrp_FSC231,0.296,.+.
vorapaxar," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine",,0.295,,ctrp_vorapaxar,0.295,.+.
brd-k80183349,Not Clinically Relevant,,0.295,,ctrp_BRD-K80183349,0.295,.+.
parbendazole,Not Clinically Relevant,,0.295,,ctrp_parbendazole,0.295,.+.
cx-5461,Not Clinically Relevant,0.295,,,gdsc_CX-5461,0.295,+..
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.295,,ctrp_sildenafil,0.295,.+.
gw-843682x,Not Clinically Relevant,,0.294,,ctrp_GW-843682X,0.294,.+.
gsk690693,Not Clinically Relevant,0.294,,,gdsc_GSK690693,0.294,+..
hli 373,Not Clinically Relevant,,0.293,,ctrp_HLI 373,0.293,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.293,,ctrp_gossypol,0.293,.+.
cil70,Not Clinically Relevant,,0.293,,ctrp_CIL70,0.293,.+.
cediranib,VEGFR inhibitor,,0.292,,ctrp_cediranib,0.292,.+.
brd1812,Not Clinically Relevant,,0.292,,ctrp_BRD1812,0.292,.+.
kh-cb19,Not Clinically Relevant,,0.292,,ctrp_KH-CB19,0.292,.+.
byl-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.29,,ctrp_BYL-719,0.29,.+.
su11274,Not Clinically Relevant,,0.29,,ctrp_SU11274,0.29,.+.
etp-46464,Not Clinically Relevant,,0.29,,ctrp_ETP-46464,0.29,.+.
pi-103,Not Clinically Relevant,0.27,0.311,,gdsc_PI-103,0.29,++.
stf-31,Not Clinically Relevant,,0.29,,ctrp_STF-31,0.29,.+.
brd-k37390332,Not Clinically Relevant,,0.29,,ctrp_BRD-K37390332,0.29,.+.
lrrk2-in-1,Not Clinically Relevant,,0.29,,ctrp_LRRK2-IN-1,0.29,.+.
unc0638,Not Clinically Relevant,0.28800000000000003,0.293,,gdsc_UNC0638,0.29,++.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.28800000000000003,,ctrp_AZD4547,0.288,.+.
brd-k35604418,Not Clinically Relevant,,0.28800000000000003,,ctrp_BRD-K35604418,0.288,.+.
n9-isopropylolomoucine,Not Clinically Relevant,,0.28800000000000003,,ctrp_N9-isopropylolomoucine,0.288,.+.
vincristine,"binds tubulin, disrupts microtubule dynamics",,0.287,,ctrp_vincristine,0.287,.+.
ko-143,Not Clinically Relevant,,0.287,,ctrp_Ko-143,0.287,.+.
erastin,Not Clinically Relevant,,0.287,,ctrp_erastin,0.287,.+.
cr-1-31b,Not Clinically Relevant,,0.287,,ctrp_CR-1-31B,0.287,.+.
ml029,Not Clinically Relevant,,0.287,,ctrp_ML029,0.287,.+.
decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.28600000000000003,,ctrp_decitabine,0.286,.+.
brd-k78574327,Not Clinically Relevant,,0.28600000000000003,,ctrp_BRD-K78574327,0.286,.+.
tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.28600000000000003,,ctrp_tandutinib,0.286,.+.
ql-x-138,Not Clinically Relevant,0.28600000000000003,,,gdsc_QL-X-138,0.286,+..
genentech cpd 10,Not Clinically Relevant,0.285,,,gdsc_Genentech Cpd 10,0.285,+..
brd-k17060750,Not Clinically Relevant,,0.285,,ctrp_BRD-K17060750,0.285,.+.
ouabain,Not Clinically Relevant,,0.284,,ctrp_ouabain,0.284,.+.
cil55a,Not Clinically Relevant,,0.28300000000000003,,ctrp_CIL55A,0.283,.+.
ml312,Not Clinically Relevant,,0.282,,ctrp_ML312,0.282,.+.
5-fluorouracil,antimetabolite,0.282,,,gdsc_5-Fluorouracil,0.282,+..
jw-7-24-1,Not Clinically Relevant,0.282,,,gdsc_JW-7-24-1,0.282,+..
blebbistatin,Not Clinically Relevant,,0.281,,ctrp_blebbistatin,0.281,.+.
pf-3758309,Not Clinically Relevant,,0.281,,ctrp_PF-3758309,0.281,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.281,,ctrp_cyclophosphamide,0.281,.+.
kx2-391,Src inhibitor (peptidomimetic) that targets the peptide substrate site of Src,,0.28,,ctrp_KX2-391,0.28,.+.
neuronal differentiation inducer iii,Not Clinically Relevant,,0.28,,ctrp_neuronal differentiation inducer III,0.28,.+.
sb-525334,Not Clinically Relevant,,0.28,,ctrp_SB-525334,0.28,.+.
etoposide,Topo II inhibitor,0.25,0.311,,gdsc_Etoposide,0.28,++.
ar-42,Not Clinically Relevant,0.28,,,gdsc_AR-42,0.28,+..
cil56,Not Clinically Relevant,,0.27899999999999997,,ctrp_CIL56,0.279,.+.
fqi-2,Not Clinically Relevant,,0.27899999999999997,,ctrp_FQI-2,0.279,.+.
narciclasine,Not Clinically Relevant,,0.27899999999999997,,ctrp_narciclasine,0.279,.+.
srt-1720,Not Clinically Relevant,,0.278,,ctrp_SRT-1720,0.278,.+.
zg-10,Not Clinically Relevant,0.278,,,gdsc_ZG-10,0.278,+..
bardoxolone methyl,Not Clinically Relevant,,0.27699999999999997,,ctrp_bardoxolone methyl,0.277,.+.
ku-0063794,Not Clinically Relevant,,0.27699999999999997,,ctrp_KU-0063794,0.277,.+.
brd-k71781559,Not Clinically Relevant,,0.276,,ctrp_BRD-K71781559,0.276,.+.
pitstop2,Not Clinically Relevant,,0.276,,ctrp_pitstop2,0.276,.+.
brd-k96431673,Not Clinically Relevant,,0.275,,ctrp_BRD-K96431673,0.275,.+.
cerulenin,Not Clinically Relevant,,0.27399999999999997,,ctrp_cerulenin,0.274,.+.
salermide,Not Clinically Relevant,,0.273,,ctrp_salermide,0.273,.+.
brd-k34222889,Not Clinically Relevant,,0.273,,ctrp_BRD-K34222889,0.273,.+.
importazole,Not Clinically Relevant,,0.273,,ctrp_importazole,0.273,.+.
brd-k96970199,Not Clinically Relevant,,0.273,,ctrp_BRD-K96970199,0.273,.+.
tgx-221,Not Clinically Relevant,,0.273,,ctrp_TGX-221,0.273,.+.
b02,Not Clinically Relevant,,0.273,,ctrp_B02,0.273,.+.
rigosertib,"ON-01910, Plk-1 inhibitor",,0.272,,ctrp_rigosertib,0.272,.+.
ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.272,,ctrp_ciclopirox,0.272,.+.
ml311,Not Clinically Relevant,,0.272,,ctrp_ML311,0.272,.+.
osi-027,Not Clinically Relevant,0.255,0.289,,gdsc_OSI-027,0.272,++.
cay10618,Not Clinically Relevant,,0.271,,ctrp_CAY10618,0.271,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.271,,ctrp_mitomycin,0.271,.+.
brd-k01737880,Not Clinically Relevant,,0.271,,ctrp_BRD-K01737880,0.271,.+.
camptothecin,Not Clinically Relevant,0.27,,,gdsc_Camptothecin,0.27,+..
fluvastatin,"HMG-CoA reductase inhibitor,",,0.27,,ctrp_fluvastatin,0.27,.+.
curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.27,,ctrp_curcumin,0.27,.+.
bax channel blocker,Not Clinically Relevant,,0.27,,ctrp_Bax channel blocker,0.27,.+.
marinopyrrole a,Not Clinically Relevant,,0.27,,ctrp_marinopyrrole A,0.27,.+.
nakiterpiosin,Not Clinically Relevant,,0.27,,ctrp_nakiterpiosin,0.27,.+.
merck60,Not Clinically Relevant,,0.26899999999999996,,ctrp_Merck60,0.269,.+.
pifithrin-alpha,Not Clinically Relevant,,0.268,,ctrp_pifithrin-alpha,0.268,.+.
cd-437,Not Clinically Relevant,,0.268,,ctrp_CD-437,0.268,.+.
brd-k66453893,Not Clinically Relevant,,0.267,,ctrp_BRD-K66453893,0.267,.+.
teniposide,Topo II inhibitor,,0.267,,ctrp_teniposide,0.267,.+.
brd-k70511574,Not Clinically Relevant,,0.267,,ctrp_BRD-K70511574,0.267,.+.
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.267,,ctrp_nintedanib,0.267,.+.
nsc632839,Not Clinically Relevant,,0.267,,ctrp_NSC632839,0.267,.+.
dacarbazine,"alkylating agent, Dacarbazine works by methylating guanine at the O-6 and N-7 positions",,0.267,,ctrp_dacarbazine,0.267,.+.
wz4002,Not Clinically Relevant,,0.267,,ctrp_WZ4002,0.267,.+.
gsk461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,0.266,,ctrp_GSK461364,0.266,.+.
methylstat,Not Clinically Relevant,,0.265,,ctrp_methylstat,0.265,.+.
sch-529074,Not Clinically Relevant,,0.265,,ctrp_SCH-529074,0.265,.+.
sb-743921,kinesin spindle protein (KSP) inhibitor,,0.265,,ctrp_SB-743921,0.265,.+.
purmorphamine,Not Clinically Relevant,,0.265,,ctrp_purmorphamine,0.265,.+.
cay10594,Not Clinically Relevant,,0.265,,ctrp_CAY10594,0.265,.+.
