,moa,GDSC,CTRP,CCLE,drug,score,evidence
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.408,,ctrp_chlorambucil,0.408,.+.
skepinone-l,Not Clinically Relevant,,0.40299999999999997,,ctrp_skepinone-L,0.403,.+.
xl765,PI3K/mTOR inhibitor,,0.401,,ctrp_XL765,0.401,.+.
ml050,Not Clinically Relevant,,0.401,,ctrp_ML050,0.401,.+.
abt-199,Bcl2 inhibitor,,0.4,,ctrp_ABT-199,0.4,.+.
sotrastaurin,pan-PKC inhibitor,,0.4,,ctrp_sotrastaurin,0.4,.+.
brd-k13999467,Not Clinically Relevant,,0.39899999999999997,,ctrp_BRD-K13999467,0.399,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.39899999999999997,,ctrp_barasertib,0.399,.+.
tipifarnib-p1,Not Clinically Relevant,,0.39899999999999997,,ctrp_tipifarnib-P1,0.399,.+.
talazoparib,Not Clinically Relevant,0.397,,,gdsc_Talazoparib,0.397,+..
prima-1-met,Not Clinically Relevant,,0.396,,ctrp_PRIMA-1-Met,0.396,.+.
avrainvillamide,Not Clinically Relevant,,0.395,,ctrp_avrainvillamide,0.395,.+.
cct036477,Not Clinically Relevant,,0.39399999999999996,,ctrp_CCT036477,0.394,.+.
jw-55,Not Clinically Relevant,,0.391,,ctrp_JW-55,0.391,.+.
brd-k88742110,Not Clinically Relevant,,0.39,,ctrp_BRD-K88742110,0.39,.+.
compound 1541a,Not Clinically Relevant,,0.389,,ctrp_Compound 1541A,0.389,.+.
kin001-266,Not Clinically Relevant,0.38799999999999996,,,gdsc_KIN001-266,0.388,+..
foretinib,c-Met/VEGFR2 inhibitor,,0.386,,ctrp_foretinib,0.386,.+.
brd-k19103580,Not Clinically Relevant,,0.384,,ctrp_BRD-K19103580,0.384,.+.
sb-505124,Not Clinically Relevant,0.384,,,gdsc_SB-505124,0.384,+..
compound 7d-cis,Not Clinically Relevant,,0.384,,ctrp_Compound 7d-cis,0.384,.+.
iu1,Not Clinically Relevant,,0.384,,ctrp_IU1,0.384,.+.
brd-a71883111,Not Clinically Relevant,,0.38299999999999995,,ctrp_BRD-A71883111,0.383,.+.
brd1835,Not Clinically Relevant,,0.382,,ctrp_BRD1835,0.382,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.381,,ctrp_cytarabine hydrochloride,0.381,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.381,,ctrp_epigallocatechin-3-monogallate,0.381,.+.
brd-m00053801,Not Clinically Relevant,,0.38,,ctrp_BRD-M00053801,0.38,.+.
nsc30930,Not Clinically Relevant,,0.37799999999999995,,ctrp_NSC30930,0.378,.+.
brd-k34485477,Not Clinically Relevant,,0.37799999999999995,,ctrp_BRD-K34485477,0.378,.+.
compound 1b,Not Clinically Relevant,,0.377,,ctrp_compound 1B,0.377,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.376,,ctrp_KW-2449,0.376,.+.
elcpk,Not Clinically Relevant,,0.375,,ctrp_ELCPK,0.375,.+.
sr1001,Not Clinically Relevant,,0.375,,ctrp_SR1001,0.375,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.374,,ctrp_lenvatinib,0.374,.+.
necrostatin-7,Not Clinically Relevant,,0.374,,ctrp_necrostatin-7,0.374,.+.
968,Not Clinically Relevant,,0.373,,ctrp_968,0.373,.+.
alisertib,Aurora A kinase inhibitor,,0.373,,ctrp_alisertib,0.373,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.37200000000000005,,ctrp_sildenafil,0.372,.+.
rg-108,Not Clinically Relevant,,0.371,,ctrp_RG-108,0.371,.+.
bms-270394,Not Clinically Relevant,,0.371,,ctrp_BMS-270394,0.371,.+.
isoliquiritigenin,Not Clinically Relevant,,0.371,,ctrp_isoliquiritigenin,0.371,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.37,,ctrp_tacrolimus,0.37,.+.
ac55649,Not Clinically Relevant,,0.37,,ctrp_AC55649,0.37,.+.
pdmp,Not Clinically Relevant,,0.36700000000000005,,ctrp_PDMP,0.367,.+.
unc1215,Not Clinically Relevant,0.36700000000000005,,,gdsc_UNC1215,0.367,+..
nvp-adw742,Not Clinically Relevant,,0.364,,ctrp_NVP-ADW742,0.364,.+.
mst-312,Not Clinically Relevant,,0.364,,ctrp_MST-312,0.364,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.363,,ctrp_darinaparsin,0.363,.+.
sb-225002,Not Clinically Relevant,,0.36,,ctrp_SB-225002,0.36,.+.
brd-k92856060,Not Clinically Relevant,,0.35700000000000004,,ctrp_BRD-K92856060,0.357,.+.
npk76-ii-72-1,Not Clinically Relevant,0.35700000000000004,,,gdsc_NPK76-II-72-1,0.357,+..
ski-ii,Not Clinically Relevant,,0.35600000000000004,,ctrp_SKI-II,0.356,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.35600000000000004,,ctrp_PF-4800567 hydrochloride,0.356,.+.
brd-k24690302,Not Clinically Relevant,,0.35600000000000004,,ctrp_BRD-K24690302,0.356,.+.
bibr-1532,Not Clinically Relevant,,0.35600000000000004,,ctrp_BIBR-1532,0.356,.+.
jw-74,Not Clinically Relevant,,0.35600000000000004,,ctrp_JW-74,0.356,.+.
nsc 74859,Not Clinically Relevant,,0.355,,ctrp_NSC 74859,0.355,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.355,,ctrp_AZD4547,0.355,.+.
nsc23766,Not Clinically Relevant,,0.354,,ctrp_NSC23766,0.354,.+.
lbh-589,HDAC inhibitor,,0.354,,ctrp_LBH-589,0.354,.+.
cil41,Not Clinically Relevant,,0.354,,ctrp_CIL41,0.354,.+.
sz4ta2,Not Clinically Relevant,,0.354,,ctrp_SZ4TA2,0.354,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.353,,ctrp_MGCD-265,0.353,.+.
brd-k02251932,Not Clinically Relevant,,0.353,,ctrp_BRD-K02251932,0.353,.+.
brd-k11533227,Not Clinically Relevant,,0.35200000000000004,,ctrp_BRD-K11533227,0.352,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.35100000000000003,,ctrp_omacetaxine mepesuccinate,0.351,.+.
repligen 136,Not Clinically Relevant,,0.35100000000000003,,ctrp_Repligen 136,0.351,.+.
gw-843682x,Not Clinically Relevant,,0.35,,ctrp_GW-843682X,0.35,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.349,,ctrp_PX-12,0.349,.+.
ly-2183240,Not Clinically Relevant,,0.348,,ctrp_LY-2183240,0.348,.+.
brd-k75293299,Not Clinically Relevant,,0.348,,ctrp_BRD-K75293299,0.348,.+.
fsc231,Not Clinically Relevant,,0.34700000000000003,,ctrp_FSC231,0.347,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.34700000000000003,,ctrp_sitagliptin,0.347,.+.
apicidin,Not Clinically Relevant,,0.34700000000000003,,ctrp_apicidin,0.347,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.34600000000000003,,ctrp_TG-100-115,0.346,.+.
isox,Not Clinically Relevant,,0.34600000000000003,,ctrp_ISOX,0.346,.+.
ceranib-2,Not Clinically Relevant,,0.34600000000000003,,ctrp_ceranib-2,0.346,.+.
brd6340,Not Clinically Relevant,,0.345,,ctrp_BRD6340,0.345,.+.
mdivi-1,Not Clinically Relevant,,0.345,,ctrp_Mdivi-1,0.345,.+.
tacedinaline,Not Clinically Relevant,,0.345,,ctrp_tacedinaline,0.345,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.344,,ctrp_fingolimod,0.344,.+.
brd-k42260513,Not Clinically Relevant,,0.344,,ctrp_BRD-K42260513,0.344,.+.
brd-k61166597,Not Clinically Relevant,,0.344,,ctrp_BRD-K61166597,0.344,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.344,,ctrp_AZD1480,0.344,.+.
pf-184,Not Clinically Relevant,,0.34299999999999997,,ctrp_PF-184,0.343,.+.
elocalcitol,vitamin D receptor agonist,,0.34299999999999997,,ctrp_elocalcitol,0.343,.+.
brd-k29313308,Not Clinically Relevant,,0.341,,ctrp_BRD-K29313308,0.341,.+.
ki8751,Not Clinically Relevant,,0.34,,ctrp_Ki8751,0.34,.+.
nsc95397,Not Clinically Relevant,,0.34,,ctrp_NSC95397,0.34,.+.
kpt185,Not Clinically Relevant,,0.33899999999999997,,ctrp_KPT185,0.339,.+.
brd-k80183349,Not Clinically Relevant,,0.33799999999999997,,ctrp_BRD-K80183349,0.338,.+.
nsc19630,Not Clinically Relevant,,0.33799999999999997,,ctrp_NSC19630,0.338,.+.
brd-k41597374,Not Clinically Relevant,,0.337,,ctrp_BRD-K41597374,0.337,.+.
hc-067047,Not Clinically Relevant,,0.336,,ctrp_HC-067047,0.336,.+.
brd-k44224150,Not Clinically Relevant,,0.336,,ctrp_BRD-K44224150,0.336,.+.
ml006,Not Clinically Relevant,,0.336,,ctrp_ML006,0.336,.+.
at-406,Not Clinically Relevant,,0.335,,ctrp_AT-406,0.335,.+.
compound 23 citrate,Not Clinically Relevant,,0.335,,ctrp_Compound 23 citrate,0.335,.+.
isoevodiamine,Not Clinically Relevant,,0.33399999999999996,,ctrp_isoevodiamine,0.334,.+.
brd-k51831558,Not Clinically Relevant,,0.33399999999999996,,ctrp_BRD-K51831558,0.334,.+.
bms-754807,Not Clinically Relevant,0.319,0.34700000000000003,,gdsc_BMS-754807,0.333,++.
brd-k84807411,Not Clinically Relevant,,0.33299999999999996,,ctrp_BRD-K84807411,0.333,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.33299999999999996,,ctrp_lomeguatrib,0.333,.+.
necrostatin-1,Not Clinically Relevant,,0.33299999999999996,,ctrp_necrostatin-1,0.333,.+.
bendamustine,alkylating agent,,0.332,,ctrp_bendamustine,0.332,.+.
brd-k02492147,Not Clinically Relevant,,0.332,,ctrp_BRD-K02492147,0.332,.+.
cisplatin,Not Clinically Relevant,0.332,,,gdsc_Cisplatin,0.332,+..
brd-k04800985,Not Clinically Relevant,,0.331,,ctrp_BRD-K04800985,0.331,.+.
hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.33,,ctrp_hyperforin,0.33,.+.
jw-480,Not Clinically Relevant,,0.33,,ctrp_JW-480,0.33,.+.
plx-4032,BRAF (V600E) inhibitor,,0.33,,ctrp_PLX-4032,0.33,.+.
belinostat,HDAC inhibitor (PXD101),0.254,0.406,,gdsc_Belinostat,0.33,++.
triazolothiadiazine,Not Clinically Relevant,,0.32899999999999996,,ctrp_triazolothiadiazine,0.329,.+.
fqi-1,Not Clinically Relevant,,0.32799999999999996,,ctrp_FQI-1,0.328,.+.
etp-46464,Not Clinically Relevant,,0.32799999999999996,,ctrp_ETP-46464,0.328,.+.
teniposide,Topo II inhibitor,,0.32799999999999996,,ctrp_teniposide,0.328,.+.
qs-11,Not Clinically Relevant,,0.32799999999999996,,ctrp_QS-11,0.328,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.327,,ctrp_brivanib,0.327,.+.
vorinostat,HDAC inhibitor (SAHA),0.318,0.336,,gdsc_Vorinostat,0.327,++.
lrrk2-in-1,Not Clinically Relevant,,0.327,,ctrp_LRRK2-IN-1,0.327,.+.
parbendazole,Not Clinically Relevant,,0.326,,ctrp_parbendazole,0.326,.+.
mi-2,Not Clinically Relevant,,0.326,,ctrp_MI-2,0.326,.+.
brd8899,Not Clinically Relevant,,0.325,,ctrp_BRD8899,0.325,.+.
pyr-41,Not Clinically Relevant,,0.325,,ctrp_PYR-41,0.325,.+.
su11274,Not Clinically Relevant,,0.325,,ctrp_SU11274,0.325,.+.
hg-5-113-01,Not Clinically Relevant,0.32299999999999995,,,gdsc_HG-5-113-01,0.323,+..
ml162,Not Clinically Relevant,,0.32299999999999995,,ctrp_ML162,0.323,.+.
sgx-523, Met inhibitor,,0.32299999999999995,,ctrp_SGX-523,0.323,.+.
nsc48300,Not Clinically Relevant,,0.322,,ctrp_NSC48300,0.322,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.322,,ctrp_gossypol,0.322,.+.
erastin,Not Clinically Relevant,,0.321,,ctrp_erastin,0.321,.+.
mi-1,Not Clinically Relevant,,0.321,,ctrp_MI-1,0.321,.+.
yk 4-279,Not Clinically Relevant,,0.321,,ctrp_YK 4-279,0.321,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.32,,ctrp_cyclophosphamide,0.32,.+.
gmx-1778,Not Clinically Relevant,,0.32,,ctrp_GMX-1778,0.32,.+.
byl-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.32,,ctrp_BYL-719,0.32,.+.
pandacostat,Not Clinically Relevant,,0.32,,ctrp_pandacostat,0.32,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.355,0.284,,ctrp_daporinad,0.32,++.
ku-0063794,Not Clinically Relevant,,0.319,,ctrp_KU-0063794,0.319,.+.
tivantinib,Met inhibitor,,0.319,,ctrp_tivantinib,0.319,.+.
vincristine,"binds tubulin, disrupts microtubule dynamics",,0.319,,ctrp_vincristine,0.319,.+.
pifithrin-mu,Not Clinically Relevant,,0.319,,ctrp_pifithrin-mu,0.319,.+.
brd-k86535717,Not Clinically Relevant,,0.318,,ctrp_BRD-K86535717,0.318,.+.
manumycin a,Not Clinically Relevant,,0.318,,ctrp_manumycin A,0.318,.+.
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.318,,ctrp_nintedanib,0.318,.+.
bix-01294,Not Clinically Relevant,,0.317,,ctrp_BIX-01294,0.317,.+.
brd-k85133207,Not Clinically Relevant,,0.317,,ctrp_BRD-K85133207,0.317,.+.
am-580,Not Clinically Relevant,,0.317,,ctrp_AM-580,0.317,.+.
ro4929097,Notch (gamma secretase) inhibitor,,0.317,,ctrp_RO4929097,0.317,.+.
decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.317,,ctrp_decitabine,0.317,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.316,,ctrp_itraconazole,0.316,.+.
fqi-2,Not Clinically Relevant,,0.316,,ctrp_FQI-2,0.316,.+.
fgin-1-27,Not Clinically Relevant,,0.316,,ctrp_FGIN-1-27,0.316,.+.
vorapaxar," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine",,0.315,,ctrp_vorapaxar,0.315,.+.
brd-k70511574,Not Clinically Relevant,,0.315,,ctrp_BRD-K70511574,0.315,.+.
nvp-231,Not Clinically Relevant,,0.314,,ctrp_NVP-231,0.314,.+.
cay10576,Not Clinically Relevant,,0.314,,ctrp_CAY10576,0.314,.+.
n9-isopropylolomoucine,Not Clinically Relevant,,0.314,,ctrp_N9-isopropylolomoucine,0.314,.+.
birb-796,Not Clinically Relevant,,0.314,,ctrp_BIRB-796,0.314,.+.
ml083,Not Clinically Relevant,,0.312,,ctrp_ML083,0.312,.+.
ml311,Not Clinically Relevant,,0.312,,ctrp_ML311,0.312,.+.
brd-k34222889,Not Clinically Relevant,,0.312,,ctrp_BRD-K34222889,0.312,.+.
brd-k96970199,Not Clinically Relevant,,0.311,,ctrp_BRD-K96970199,0.311,.+.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.31,,ctrp_GSK1059615,0.31,.+.
ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.31,,ctrp_ciclopirox,0.31,.+.
myriocin,Not Clinically Relevant,,0.31,,ctrp_myriocin,0.31,.+.
brd-k16147474,Not Clinically Relevant,,0.309,,ctrp_BRD-K16147474,0.309,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.309,,ctrp_VX-680,0.309,.+.
brd-k66453893,Not Clinically Relevant,,0.308,,ctrp_BRD-K66453893,0.308,.+.
brd-k66532283,Not Clinically Relevant,,0.308,,ctrp_BRD-K66532283,0.308,.+.
pl-di,Not Clinically Relevant,,0.308,,ctrp_PL-DI,0.308,.+.
importazole,Not Clinically Relevant,,0.308,,ctrp_importazole,0.308,.+.
brd-k34099515,Not Clinically Relevant,,0.308,,ctrp_BRD-K34099515,0.308,.+.
kx2-391,Src inhibitor (peptidomimetic) that targets the peptide substrate site of Src,,0.307,,ctrp_KX2-391,0.307,.+.
cil70,Not Clinically Relevant,,0.306,,ctrp_CIL70,0.306,.+.
brd-k30019337,Not Clinically Relevant,,0.306,,ctrp_BRD-K30019337,0.306,.+.
nsc-207895,Not Clinically Relevant,0.306,,,gdsc_NSC-207895,0.306,+..
ml312,Not Clinically Relevant,,0.305,,ctrp_ML312,0.305,.+.
mps-1-in-1,Not Clinically Relevant,0.305,,,gdsc_MPS-1-IN-1,0.305,+..
tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.304,,ctrp_tandutinib,0.304,.+.
zm447439,Not Clinically Relevant,0.304,,,gdsc_ZM447439,0.304,+..
npc-26,Not Clinically Relevant,,0.302,,ctrp_NPC-26,0.302,.+.
cediranib,VEGFR inhibitor,,0.302,,ctrp_cediranib,0.302,.+.
cay10618,Not Clinically Relevant,,0.302,,ctrp_CAY10618,0.302,.+.
brd-k90370028,Not Clinically Relevant,,0.302,,ctrp_BRD-K90370028,0.302,.+.
dacarbazine,"alkylating agent, Dacarbazine works by methylating guanine at the O-6 and N-7 positions",,0.302,,ctrp_dacarbazine,0.302,.+.
gsk-3 inhibitor ix,Not Clinically Relevant,,0.302,,ctrp_GSK-3 inhibitor IX,0.302,.+.
pitstop2,Not Clinically Relevant,,0.301,,ctrp_pitstop2,0.301,.+.
brd1812,Not Clinically Relevant,,0.301,,ctrp_BRD1812,0.301,.+.
brd-k17060750,Not Clinically Relevant,,0.301,,ctrp_BRD-K17060750,0.301,.+.
tipifarnib-p2,Not Clinically Relevant,,0.301,,ctrp_tipifarnib-P2,0.301,.+.
hli 373,Not Clinically Relevant,,0.3,,ctrp_HLI 373,0.3,.+.
pf-573228,Not Clinically Relevant,,0.3,,ctrp_PF-573228,0.3,.+.
ym201636,Not Clinically Relevant,0.3,,,gdsc_YM201636,0.3,+..
ml031,Not Clinically Relevant,,0.3,,ctrp_ML031,0.3,.+.
neopeltolide,Not Clinically Relevant,,0.3,,ctrp_neopeltolide,0.3,.+.
cucurbitacin i,Not Clinically Relevant,,0.299,,ctrp_cucurbitacin I,0.299,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.299,,ctrp_mitomycin,0.299,.+.
b02,Not Clinically Relevant,,0.298,,ctrp_B02,0.298,.+.
i-bet151,Not Clinically Relevant,,0.298,,ctrp_I-BET151,0.298,.+.
necrosulfonamide,Not Clinically Relevant,,0.298,,ctrp_necrosulfonamide,0.298,.+.
neuronal differentiation inducer iii,Not Clinically Relevant,,0.297,,ctrp_neuronal differentiation inducer III,0.297,.+.
ly-2157299,Not Clinically Relevant,,0.29600000000000004,,ctrp_LY-2157299,0.296,.+.
qw-bi-011,Not Clinically Relevant,,0.295,,ctrp_QW-BI-011,0.295,.+.
pifithrin-alpha,Not Clinically Relevant,,0.295,,ctrp_pifithrin-alpha,0.295,.+.
cd-1530,Not Clinically Relevant,,0.294,,ctrp_CD-1530,0.294,.+.
gsk461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,0.294,,ctrp_GSK461364,0.294,.+.
brd-a94377914,Not Clinically Relevant,,0.294,,ctrp_BRD-A94377914,0.294,.+.
trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.293,,ctrp_trifluoperazine,0.293,.+.
cil55a,Not Clinically Relevant,,0.293,,ctrp_CIL55A,0.293,.+.
wz3105,Not Clinically Relevant,0.293,,,gdsc_WZ3105,0.293,+..
bax channel blocker,Not Clinically Relevant,,0.292,,ctrp_Bax channel blocker,0.292,.+.
nakiterpiosin,Not Clinically Relevant,,0.292,,ctrp_nakiterpiosin,0.292,.+.
alvocidib,"Flavopiridol, CDK inhibitor, works against CDK1, 2, 4, 6 and 9",,0.29100000000000004,,ctrp_alvocidib,0.291,.+.
brd-k35604418,Not Clinically Relevant,,0.29100000000000004,,ctrp_BRD-K35604418,0.291,.+.
stf-31,Not Clinically Relevant,,0.29,,ctrp_STF-31,0.29,.+.
pi-103,Not Clinically Relevant,0.237,0.342,,gdsc_PI-103,0.29,++.
curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.289,,ctrp_curcumin,0.289,.+.
zg-10,Not Clinically Relevant,0.289,,,gdsc_ZG-10,0.289,+..
rigosertib,"ON-01910, Plk-1 inhibitor",,0.289,,ctrp_rigosertib,0.289,.+.
ku-60019,Not Clinically Relevant,,0.289,,ctrp_KU-60019,0.289,.+.
fluorouracil,antimetabolite,,0.287,,ctrp_fluorouracil,0.287,.+.
thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.287,,ctrp_thalidomide,0.287,.+.
tgx-221,Not Clinically Relevant,,0.287,,ctrp_TGX-221,0.287,.+.
silmitasertib,casein kinase 2 inhibitor ,,0.287,,ctrp_silmitasertib,0.287,.+.
gdc-0941,"Pictilisib, potent inhibitor of PI3Kα/δ, with modest selectivity against p110β (11-fold) and p110γ",,0.287,,ctrp_GDC-0941,0.287,.+.
nvp-bez235,PI3K/mTOR inhibitor,,0.287,,ctrp_NVP-BEZ235,0.287,.+.
ch-55,Not Clinically Relevant,,0.28600000000000003,,ctrp_Ch-55,0.286,.+.
tw-37,Not Clinically Relevant,,0.28600000000000003,,ctrp_TW-37,0.286,.+.
momelotinib,JAK1 and JAK2 inhibitor,,0.28600000000000003,,ctrp_momelotinib,0.286,.+.
osi-027,Not Clinically Relevant,0.28300000000000003,0.28800000000000003,,gdsc_OSI-027,0.286,++.
cd-437,Not Clinically Relevant,,0.285,,ctrp_CD-437,0.285,.+.
salermide,Not Clinically Relevant,,0.284,,ctrp_salermide,0.284,.+.
gsk525762a,Not Clinically Relevant,,0.284,,ctrp_GSK525762A,0.284,.+.
brd-k37390332,Not Clinically Relevant,,0.28300000000000003,,ctrp_BRD-K37390332,0.283,.+.
mk-1775,Wee1 kinase inhibitor,,0.28300000000000003,,ctrp_MK-1775,0.283,.+.
gant-61,Not Clinically Relevant,,0.28300000000000003,,ctrp_GANT-61,0.283,.+.
bardoxolone methyl,Not Clinically Relevant,,0.282,,ctrp_bardoxolone methyl,0.282,.+.
tamatinib,(R4060) inhibitor of IgE and IgG-mediated activation of Fc receptor signaling. Primary target is Syk,,0.282,,ctrp_tamatinib,0.282,.+.
cerulenin,Not Clinically Relevant,,0.282,,ctrp_cerulenin,0.282,.+.
dinaciclib,"CDK inhibitor, esp CDK1, 2, 5, and 9",,0.281,,ctrp_dinaciclib,0.281,.+.
brd-k96431673,Not Clinically Relevant,,0.281,,ctrp_BRD-K96431673,0.281,.+.
merck60,Not Clinically Relevant,,0.281,,ctrp_Merck60,0.281,.+.
ko-143,Not Clinically Relevant,,0.281,,ctrp_Ko-143,0.281,.+.
3-cl-ahpc,Not Clinically Relevant,,0.28,,ctrp_3-Cl-AHPC,0.28,.+.
cimetidine,(Tagamet) Antacid and antihistamine,,0.28,,ctrp_cimetidine,0.28,.+.
purmorphamine,Not Clinically Relevant,,0.27899999999999997,,ctrp_purmorphamine,0.279,.+.
cx-5461,Not Clinically Relevant,0.27899999999999997,,,gdsc_CX-5461,0.279,+..
narciclasine,Not Clinically Relevant,,0.27899999999999997,,ctrp_narciclasine,0.279,.+.
brd9876,Not Clinically Relevant,,0.27899999999999997,,ctrp_BRD9876,0.279,.+.
srt-1720,Not Clinically Relevant,,0.278,,ctrp_SRT-1720,0.278,.+.
az-3146,Not Clinically Relevant,,0.278,,ctrp_AZ-3146,0.278,.+.
