,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,-0.019000000000000017,...+-,693,85,85.0
brd-k11533227,ctrp_BRD-K11533227,Not Clinically Relevant,,0.35100000000000003,,0.351,,.+..,86,249,86.0
brd-k44224150,ctrp_BRD-K44224150,Not Clinically Relevant,,0.35,,0.35,,.+..,87,250,87.0
darinaparsin,ctrp_darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.355,,0.355,-0.201,.+.-,82,94,88.0
968,ctrp_968,Not Clinically Relevant,,0.349,,0.349,,.+..,88,251,88.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.349,,0.349,,.+..,89,252,89.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.603,0.452,,0.528,-0.9890000000000001,++.-,5,174,89.5
nsc 74859,ctrp_NSC 74859,Not Clinically Relevant,,0.348,,0.348,,.+..,90,253,90.0
azd-6482,cmap_azd-6482,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ ",,,,,-0.129,...-,711,91,91.0
azd-8055,cmap_azd-8055,mTOR inhibitor,,,,,-0.138,...-,712,92,92.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.348,,0.348,,.+..,92,254,92.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,-0.14800000000000002,...-,713,93,93.0
mdivi-1,ctrp_Mdivi-1,Not Clinically Relevant,,0.34700000000000003,,0.347,,.+..,93,255,93.0
itraconazole,ctrp_itraconazole,"Anti-fungal, hedgehog antagonist",,0.344,,0.344,-0.028999999999999998,.+.-,101,87,94.0
ki8751,ctrp_Ki8751,Not Clinically Relevant,,0.34600000000000003,,0.346,,.+..,94,256,94.0
lomeguatrib,ctrp_lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.34600000000000003,,0.346,,.+..,95,257,95.0
brd6340,ctrp_BRD6340,Not Clinically Relevant,,0.345,,0.345,,.+..,96,258,96.0
teniposide,ctrp_teniposide,Topo II inhibitor,,0.31,,0.31,0.907,.+.+,178,15,96.5
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.345,,0.345,,.+..,97,259,97.0
brd-k41597374,ctrp_BRD-K41597374,Not Clinically Relevant,,0.344,,0.344,,.+..,98,260,98.0
brd-k75293299,ctrp_BRD-K75293299,Not Clinically Relevant,,0.344,,0.344,,.+..,99,261,99.0
bibr-1532,ctrp_BIBR-1532,Not Clinically Relevant,,0.344,,0.344,,.+..,100,262,100.0
anastrozole,cmap_anastrozole,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,-0.27399999999999997,...-,714,101,101.0
trifluoperazine,ctrp_trifluoperazine,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors ",,0.312,,0.312,0.7390000000000001,.+.+,173,32,102.5
fsc231,ctrp_FSC231,Not Clinically Relevant,,0.342,,0.342,,.+..,103,263,103.0
pdmp,ctrp_PDMP,Not Clinically Relevant,,0.342,,0.342,,.+..,104,264,104.0
cyproterone,cmap_cyproterone,steroidal antiandrogen,,,,,-0.319,...-,716,105,105.0
brd-k02492147,ctrp_BRD-K02492147,Not Clinically Relevant,,0.341,,0.341,,.+..,105,265,105.0
brd-k86535717,ctrp_BRD-K86535717,Not Clinically Relevant,,0.341,,0.341,,.+..,106,266,106.0
nsc23766,ctrp_NSC23766,Not Clinically Relevant,,0.34,,0.34,,.+..,107,267,107.0
decitabine,ctrp_decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.336,,0.336,-0.20600000000000002,.+.-,119,95,107.0
fludarabine,cmap_fludarabine,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase.",,,,,-0.33324999999999994,...+--,683,107,107.0
methoxsalen,cmap_methoxsalen,used for skin diseases such as vitiligo and psoriasis,,,,,-0.33899999999999997,...-,717,108,108.0
pifithrin-mu,ctrp_pifithrin-mu,Not Clinically Relevant,,0.34,,0.34,,.+..,108,268,108.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,-0.341,...-,718,109,109.0
ski-ii,ctrp_SKI-II,Not Clinically Relevant,,0.33899999999999997,,0.339,,.+..,109,269,109.0
nvp-adw742,ctrp_NVP-ADW742,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,110,270,110.0
jw-480,ctrp_JW-480,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,111,271,111.0
brivanib,ctrp_brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.316,,0.316,0.354,.+.+,165,57,111.0
ly-2183240,ctrp_LY-2183240,Not Clinically Relevant,,0.33799999999999997,,0.338,,.+..,112,272,112.0
omacetaxine mepesuccinate,ctrp_omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.33799999999999997,,0.338,,.+..,113,273,113.0
tamibarotene,cmap_tamibarotene,"retinobenzoic acid, synthetic retinoid used to treat APL",,,,,-0.39899999999999997,...-,719,113,113.0
isox,ctrp_ISOX,Not Clinically Relevant,,0.337,,0.337,,.+..,114,274,114.0
necrostatin-1,ctrp_necrostatin-1,Not Clinically Relevant,,0.337,,0.337,,.+..,115,275,115.0
granisetron,cmap_granisetron,5-HT3 receptor antagonist used as an antiemetic,,,,,-0.43,...-,720,116,116.0
hc-067047,ctrp_HC-067047,Not Clinically Relevant,,0.337,,0.337,,.+..,116,276,116.0
pd 153035,ctrp_PD 153035,Not Clinically Relevant,,0.336,,0.336,,.+..,118,277,118.0
mesna,cmap_mesna,used to decrease the risk of bleeding from the bladder after cyclophosphamide,,,,,-0.455,...-,721,119,119.0
ml162,ctrp_ML162,Not Clinically Relevant,,0.336,,0.336,,.+..,120,278,120.0
myriocin,ctrp_myriocin,Not Clinically Relevant,,0.335,,0.335,,.+..,121,279,121.0
cyclophosphamide,ctrp_cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.342,,0.342,-0.691,.+.-,102,140,121.0
ceranib-2,ctrp_ceranib-2,Not Clinically Relevant,,0.335,,0.335,,.+..,122,280,122.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,-0.535,...-,723,122,122.0
brd-k96970199,ctrp_BRD-K96970199,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,123,281,123.0
dactinomycin,cmap_dactinomycin,inhibits transcription by binding DNA at the transcription initiation complex and preventing elongation of RNA chain by RNA polymerase,,,,,-0.5575,...--,722,124,124.0
mst-312,ctrp_MST-312,Not Clinically Relevant,,0.33399999999999996,,0.334,,.+..,124,282,124.0
compound 23 citrate,ctrp_Compound 23 citrate,Not Clinically Relevant,,0.33299999999999996,,0.333,,.+..,125,283,125.0
azd1480,ctrp_AZD1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.332,,0.332,,.+..,126,284,126.0
hydrocortisone,cmap_hydrocortisone,Anti-inflammatory,,,,,-0.5740468750000001,...+++----,678,126,126.0
elocalcitol,ctrp_elocalcitol,vitamin D receptor agonist,,0.332,,0.332,,.+..,127,285,127.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,-0.5755,...--,715,127,127.0
brd8899,ctrp_BRD8899,Not Clinically Relevant,,0.332,,0.332,,.+..,128,286,128.0
mitoxantrone,cmap_mitoxantrone,Topoisomerase II inhibitor; disrupts DNA synthesis and DNA repair ,,,,,-0.602,...-,725,129,129.0
isoevodiamine,ctrp_isoevodiamine,Not Clinically Relevant,,0.332,,0.332,,.+..,129,287,129.0
bromfenac,cmap_bromfenac,"Nonsteroidal anti-Inflammatory drug, used to treat inflammation, esp in the eye",,,,,-0.625,...-,726,130,130.0
sb-225002,ctrp_SB-225002,Not Clinically Relevant,,0.331,,0.331,,.+..,130,288,130.0
gsk-3 inhibitor ix,ctrp_GSK-3 inhibitor IX,Not Clinically Relevant,,0.331,,0.331,,.+..,131,289,131.0
ubenimex,cmap_ubenimex,"inhibitor of the proinflammatory mediator, LTB4. Adjunct to chemotherapy for acute non-lymphocytic leukemia",,,,,-0.631,...-,727,133,133.0
mitomycin,ctrp_mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.32899999999999996,,0.329,,.+..,133,290,133.0
tacedinaline,ctrp_tacedinaline,Not Clinically Relevant,,0.32899999999999996,,0.329,,.+..,134,291,134.0
pidorubicine,cmap_pidorubicine,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.655,...-,728,135,135.0
bix-01294,ctrp_BIX-01294,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,135,292,135.0
pf-184,ctrp_PF-184,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,136,293,136.0
cediranib,ctrp_cediranib,VEGFR inhibitor,,0.295,,0.295,0.23,.+.+,207,66,136.5
pyr-41,ctrp_PYR-41,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,137,294,137.0
brd-k80183349,ctrp_BRD-K80183349,Not Clinically Relevant,,0.32799999999999996,,0.328,,.+..,138,295,138.0
lrrk2-in-1,ctrp_LRRK2-IN-1,Not Clinically Relevant,,0.327,,0.327,,.+..,139,296,139.0
nsc95397,ctrp_NSC95397,Not Clinically Relevant,,0.327,,0.327,,.+..,140,297,140.0
tg-100-115,ctrp_TG-100-115,PI3Kγ/δ inhibitor,,0.327,,0.327,,.+..,141,298,141.0
am-580,ctrp_AM-580,Not Clinically Relevant,,0.326,,0.326,,.+..,142,299,142.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,-0.73,...-,729,142,142.0
daunorubicin,cmap_daunorubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.734,...---,724,143,143.0
kpt185,ctrp_KPT185,Not Clinically Relevant,,0.325,,0.325,,.+..,143,300,143.0
lbh-589,ctrp_LBH-589,HDAC inhibitor,,0.325,,0.325,,.+..,144,301,144.0
ml006,ctrp_ML006,Not Clinically Relevant,,0.325,,0.325,,.+..,145,302,145.0
pirarubicin,cmap_pirarubicin,"Analog of doxorubicin, DNA intercalator, Topo II antagonist",,,,,-0.7709999999999999,...-,730,146,146.0
brd-k16147474,ctrp_BRD-K16147474,Not Clinically Relevant,,0.325,,0.325,,.+..,146,303,146.0
aminoglutethimide,cmap_aminoglutethimide,"anti-steroid, used in the treatment of metastatic breast cancer",,,,,-0.775,...-,731,147,147.0
brd-k85133207,ctrp_BRD-K85133207,Not Clinically Relevant,,0.324,,0.324,,.+..,147,304,147.0
ml083,ctrp_ML083,Not Clinically Relevant,,0.324,,0.324,,.+..,148,305,148.0
plx-4032,ctrp_PLX-4032,BRAF (V600E) inhibitor,,0.324,,0.324,,.+..,149,306,149.0
letrozole,cmap_letrozole,"nonsteroidal aromatase inhibitor, prevents estrogen production, used for breast cancer",,,,,-0.7909999999999999,...-,732,150,150.0
brd-k66532283,ctrp_BRD-K66532283,Not Clinically Relevant,,0.32299999999999995,,0.323,,.+..,150,307,150.0
birb-796,ctrp_BIRB-796,Not Clinically Relevant,,0.321,,0.321,,.+..,151,308,151.0
riluzole,cmap_riluzole,"Blocks TTX-sensitive sodium channels, and kainate and NMDA glutamate receptors",,,,,-0.799,...-,733,151,151.0
pandacostat,ctrp_pandacostat,Not Clinically Relevant,,0.32,,0.32,,.+..,152,309,152.0
zstk-474,cmap_zstk-474,"PI3K inhibitor, inhibits all four PI3K isoforms, but most active against PI3Kδ",,,,,-0.81,...-,734,152,152.0
gmx-1778,ctrp_GMX-1778,Not Clinically Relevant,,0.32,,0.32,,.+..,153,310,153.0
metformin,cmap_metformin,Anti-diabetic AMPK Activator - mTOR Inhibitor - Autophagy inducer,,,,,-0.833,...-,735,154,154.0
gsk1059615,ctrp_GSK1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.32,,0.32,,.+..,154,311,154.0
tofacitinib,cmap_tofacitinib,JAK Kinase inhibitor,,,,,-0.8390000000000001,...-,736,155,155.0
ciclopirox,ctrp_ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.319,,0.319,,.+..,155,312,155.0
nsc48300,ctrp_NSC48300,Not Clinically Relevant,,0.319,,0.319,,.+..,156,313,156.0
tivantinib,ctrp_tivantinib,Met inhibitor,,0.319,,0.319,,.+..,157,314,157.0
