,mean_rank,weight
cervical squamous cell carcinoma,211.0,1.0
axillary lymph node,212.0,6.0
ovarian endometrioid adenocarcinoma,214.0,11.0
uterine corpus sarcoma,216.0,3.0
childhood acute myeloid leukemia with maturation,216.0,1.0
vertebra,219.5,2.0
gastric adenosquamous carcinoma,220.5,2.0
squamous cell lung carcinoma,226.0,48.0
poorly differentiated thyroid gland carcinoma,231.0,3.0
brca1 syndrome,234.0,1.0
gestational choriocarcinoma,237.0,2.0
ovarian granulosa cell tumor,237.5,2.0
bladder squamous cell carcinoma,239.0,3.0
pharyngeal squamous cell carcinoma,249.0,3.0
gliosarcoma,251.0,6.0
malignant ovarian brenner tumor,253.0,1.0
oligodendroglioma,257.0,5.0
lymphoblastic lymphoma,259.0,1.0
hepatoblastoma,262.5,4.0
plasma cell myeloma,268.5,30.0
b acute lymphoblastic leukemia,278.0,5.0
adenosquamous lung carcinoma,280.0,9.0
brachialis muscle,285.0,3.0
mucinous gastric adenocarcinoma,286.0,3.0
intraperitoneal,286.0,1.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",287.5,2.0
salivary gland squamous cell carcinoma,288.0,3.0
osteosarcoma,289.0,23.0
endometrial carcinoma,294.5,8.0
rhabdoid tumor of the kidney,296.0,3.0
ascites,301.0,103.0
thyroid gland undifferentiated (anaplastic) carcinoma,301.0,13.0
marek disease,304.0,1.0
lung mucoepidermoid carcinoma,307.0,3.0
glioblastoma,310.5,84.0
hepatocellular carcinoma,314.0,51.0
cerebrospinal fluid,318.0,3.0
adult acute monocytic leukemia,320.0,5.0
endometrial adenosquamous carcinoma,320.0,6.0
laryngeal squamous cell carcinoma,320.5,12.0
cutaneous melanoma,326.5,26.0
abdominal wall,326.5,2.0
omentum,330.0,7.0
biphasic synovial sarcoma,332.0,1.0
ovarian serous cystadenocarcinoma,333.0,4.0
lymph node,334.0,105.0
mandible,338.0,1.0
esophageal squamous cell carcinoma,338.0,59.0
diffuse large b-cell lymphoma germinal center b-cell type,348.5,8.0
minimally invasive lung adenocarcinoma,349.5,16.0
skin nodule,354.0,1.0
burkitt lymphoma,354.0,8.0
"chronic myelogenous leukemia, bcr-abl1 positive",355.0,16.0
oral cavity squamous cell carcinoma,356.0,6.0
gastric adenocarcinoma,357.5,26.0
pleural effusion,362.0,224.0
ductal breast carcinoma,363.0,32.0
hodgkin lymphoma,364.0,11.0
subcutaneous,365.0,7.0
hairy cell leukemia,368.0,3.0
melanoma,369.0,94.0
pancreatic adenocarcinoma,371.0,39.0
familial adenomatous polyposis,373.0,1.0
hypopharyngeal squamous cell carcinoma,377.0,5.0
tonsillar squamous cell carcinoma,378.0,1.0
pancreatic ductal adenocarcinoma,379.0,39.0
ovarian cystadenocarcinoma,385.0,6.0
undifferentiated pleomorphic sarcoma,386.5,4.0
ovarian mucinous adenocarcinoma,387.0,4.0
cervical carcinoma,387.0,2.0
tongue squamous cell carcinoma,387.5,34.0
celiac axis lymph node,388.0,2.0
mediastinal (thymic) large b-cell lymphoma,389.0,1.0
gastric carcinoma,390.0,12.0
erythroleukemia,391.0,3.0
lung giant cell carcinoma,393.0,4.0
pleural epithelioid mesothelioma,394.0,18.0
breast carcinoma,396.0,27.0
ovarian leiomyosarcoma,397.0,3.0
down syndrome,397.0,2.0
lung adenocarcinoma,397.0,145.0
epstein-barr virus-related burkitt lymphoma,397.5,10.0
supra-orbital region,398.0,1.0
childhood acute myeloid leukemia,401.0,2.0
bladder carcinoma,402.0,51.0
bronchogenic carcinoma,403.0,2.0
fibrosarcoma,404.0,5.0
invasive lobular breast carcinoma,405.0,1.0
amelanotic melanoma,405.5,16.0
acute promyelocytic leukemia with t(15;17)(q22;q12) pml-rara,406.0,1.0
gingival squamous cell carcinoma,407.5,2.0
acute myeloid leukemia,409.0,1.0
epithelioid cell type gastrointestinal stromal tumor,410.0,3.0
askin tumor,413.5,2.0
breast adenocarcinoma,415.0,23.0
diffuse large b-cell lymphoma,419.0,20.0
left leg muscle,420.0,3.0
pancreatic carcinoma,422.5,12.0
pleural malignant mesothelioma,426.0,5.0
skin,428.0,3.0
non-small cell lung carcinoma,431.5,24.0
papillary renal cell carcinoma,433.0,5.0
liver,437.5,32.0
n/a,439.0,34.0
benign prostatic hyperplasia,441.0,1.0
hereditary spherocytosis,442.0,1.0
chondrosarcoma,444.0,10.0
pancreatic adenosquamous carcinoma,445.0,5.0
barrett adenocarcinoma,446.0,3.0
natural killer cell lymphoblastic leukemia/lymphoma,449.0,1.0
mantle cell lymphoma,449.5,6.0
ovarian mucinous cystadenocarcinoma,451.5,2.0
gastric tubular adenocarcinoma,452.0,11.0
"invasive ductal carcinoma, not otherwise specified",452.0,30.0
cecum adenocarcinoma,454.5,18.0
thigh skin,457.0,1.0
endometrial adenocarcinoma,464.5,34.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",466.5,2.0
peripheral blood,468.0,107.0
myelodysplastic syndrome,469.0,1.0
spleen,472.0,3.0
lung,473.0,7.0
groin lymph node,476.0,5.0
cutaneous t-cell non-hodgkin lymphoma,482.5,2.0
gallbladder carcinoma,484.5,2.0
adrenal cortex carcinoma,486.0,1.0
ovarian clear cell adenocarcinoma,487.0,13.0
peritoneal effusion,487.5,6.0
anaplastic large cell lymphoma,489.0,8.0
cystic fibrosis,489.5,2.0
paragastric lymph node,490.0,2.0
floor of mouth squamous cell carcinoma,490.0,1.0
human papillomavirus-related endocervical adenocarcinoma,492.0,4.0
brca2 syndrome,494.0,1.0
astrocytoma,495.0,19.0
left supraclavicular lymph node,501.0,4.0
renal cell carcinoma,503.0,37.0
clear cell renal cell carcinoma,507.0,18.0
pleural sarcomatoid mesothelioma,507.5,8.0
pelvic wall,510.0,3.0
colon adenocarcinoma,511.0,61.0
anaplastic astrocytoma,517.0,5.0
pericardial effusion,519.0,8.0
rectosigmoid adenocarcinoma,521.0,3.0
adult acute myeloid leukemia,523.0,22.0
pleural biphasic mesothelioma,523.0,7.0
ovarian serous adenocarcinoma,525.0,7.0
b acute lymphoblastic leukemia with t(1;19)(q23;p13.3) e2a-pbx1 (tcf3-pbx1),527.0,4.0
colon carcinoma,529.0,19.0
ampulla of vater adenocarcinoma,529.5,2.0
small intestine,530.0,1.0
childhood t acute lymphoblastic leukemia,531.0,19.0
signet ring cell gastric adenocarcinoma,539.0,9.0
gastric fundus carcinoma,547.0,1.0
human papillomavirus-related cervical squamous cell carcinoma,551.5,8.0
right axillary lymph node,560.0,1.0
vulvar leiomyosarcoma,565.0,3.0
parotid gland mucoepidermoid carcinoma,565.0,1.0
chronic lymphocytic leukemia,573.0,2.0
childhood acute monocytic leukemia,576.0,2.0
mycosis fungoides and sezary syndrome,579.5,2.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,580.0,3.0
b-cell non-hodgkin lymphoma,582.0,7.0
thyroid gland sarcoma,583.0,1.0
b-cell prolymphocytic leukemia,584.5,2.0
childhood b acute lymphoblastic leukemia,585.0,9.0
childhood t lymphoblastic lymphoma,586.5,2.0
thoracic lymph duct,589.0,1.0
hilar cholangiocarcinoma,605.0,1.0
"chronic eosinophilic leukemia, not otherwise specified",613.0,1.0
bone,615.0,1.0
papillary lung adenocarcinoma,615.0,3.0
obturator lymph node,617.0,3.0
rectal adenocarcinoma,619.0,11.0
head and neck squamous cell carcinoma,622.0,9.0
subcutaneous; right buttock,626.0,3.0
peritoneum,626.0,1.0
thyroid gland papillary carcinoma,647.0,1.0
left cervical lymph node,647.0,1.0
diffuse large b-cell lymphoma activated b-cell type,654.0,1.0
buttock,671.5,2.0
vulvar carcinoma,686.0,1.0
meninges,689.0,1.0
acute myelomonocytic leukemia,689.0,1.0
skin squamous cell carcinoma,690.0,1.0
vulvar squamous cell carcinoma,692.0,3.0
esophageal adenocarcinoma,698.0,9.0
adult b acute lymphoblastic leukemia,705.0,3.0
squamous cell carcinoma,707.0,1.0
buccal mucosa squamous cell carcinoma,726.0,2.0
cholangiocarcinoma,736.5,2.0
ovary,745.0,1.0
epithelioid sarcoma,747.0,1.0
follicular lymphoma,751.0,2.0
pelvis; innominate bone,752.0,2.0
oral dysplasia,763.0,1.0
pyriform fossa squamous cell carcinoma,770.0,1.0
primary effusion lymphoma,772.0,3.0
uterine corpus leiomyosarcoma,794.0,3.0
splenic lymphoma with circulating villous lymphocytes,813.0,1.0
adult t acute lymphoblastic leukemia,819.0,5.0
vulvar melanoma,821.0,1.0
lymphoma,853.0,1.0
